time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,49.5498,48.7228,49.3280,49.7257,48.9929,49.5552
100.0000,99.4235,99.0940,99.4717,99.8782,99.0829,99.6614
150.0000,149.3910,148.5828,149.4092,149.7607,148.8729,149.7552
200.0000,199.4585,199.3978,199.0567,199.7557,198.9754,199.8489
250.0000,249.5760,249.1615,241.8977,249.7657,248.7632,249.2764
300.0000,299.7810,298.9878,291.7964,299.8057,298.9807,299.0664
350.0000,349.8860,348.8453,341.9827,349.6282,349.5557,349.6508
400.0000,399.1523,398.8903,391.0989,399.7357,398.8982,399.7020
450.0000,449.2823,449.0728,441.0789,449.7157,449.4282,449.6983
500.0000,499.5310,499.1428,492.0852,499.7707,498.8857,499.8170
550.0000,549.4673,549.3878,541.2014,549.6382,549.6582,549.8208
600.0000,599.4785,598.3440,591.5814,599.7607,599.6582,599.8295
650.0000,649.6210,648.9328,641.7239,649.7557,649.4157,649.7708
700.0000,699.8385,699.3840,692.0039,699.8482,699.2882,699.7670
750.0000,749.7123,748.5215,741.1139,749.7157,749.5307,749.6533
800.0000,799.7798,799.3103,791.4002,799.7707,799.6457,799.7508
850.0000,848.8773,848.5478,841.6739,849.0407,849.1607,849.7808
900.0000,898.9010,899.4115,892.0227,899.2620,899.4607,899.8658
950.0000,948.9781,949.0928,941.2264,949.5895,949.5757,949.6633
1000.0000,998.4234,997.6072,991.2559,998.7647,999.0120,999.5833
1050.0000,1048.8406,1021.6097,1041.4171,1049.0734,1048.3120,1049.0354
1100.0000,1098.5719,1071.5738,1090.5935,1090.7265,1090.5515,1099.1629
1150.0000,1147.2200,1119.2274,1139.9206,1118.3237,1112.0080,1148.9207
1200.0000,1174.3671,1160.9438,1150.1018,1112.9062,1138.7034,1175.0894
1250.0000,1178.4783,1181.3183,1155.6901,1149.2962,1151.6975,1155.1466
1300.0000,1164.5332,847.6439,299.9139,299.5767,1166.0600,299.7711
1350.0000,349.7196,848.8264,348.9052,349.7892,349.2629,349.6999
1400.0000,398.9296,850.0026,398.9039,399.8742,399.0529,399.4899
1450.0000,448.8908,851.1789,449.9102,449.7267,449.8004,449.6349
1500.0000,499.1958,852.3614,499.0202,499.8642,499.5904,499.7536
1550.0000,549.3258,853.5439,549.1377,549.8652,549.6804,549.5724
1600.0000,599.6371,854.7264,599.1614,599.6652,599.0554,599.6361
1650.0000,649.6858,855.9089,649.3414,649.7052,649.4454,649.7236
1700.0000,699.0646,857.0976,699.4964,699.9027,699.1779,699.7199
1750.0000,749.0696,858.2864,749.3077,749.8002,749.5679,749.5386
1800.0000,799.3121,859.4751,799.3689,799.5584,799.0004,799.6911
1850.0000,849.4671,860.6639,849.3989,848.8659,849.6904,849.8986
1900.0000,899.5721,898.9539,899.5102,899.2809,899.4229,899.7174
1950.0000,949.4708,949.5439,949.6777,949.4959,948.8554,949.6249
2000.0000,999.2179,999.0514,999.6827,999.7609,999.6804,999.8061
2050.0000,1049.1979,1048.8089,1049.1394,1049.0184,1049.3804,1049.5574
2100.0000,1095.1271,1098.9666,1097.8917,1098.9959,1095.1943,1098.5096
2150.0000,1137.1283,1134.8283,1147.8592,1118.2334,1138.3063,1136.1704
2200.0000,1141.7031,1171.4261,1166.4217,199.8739,1135.3207,1139.2283
2250.0000,1153.9868,1114.4988,1138.6193,249.9439,1126.3036,1141.0416
2300.0000,299.0210,299.5779,299.8894,299.7504,299.2055,299.5723
2350.0000,349.1635,349.5979,349.0994,349.7229,348.9955,349.7886
2400.0000,399.1497,399.6179,398.9356,399.6804,399.7430,399.7848
2450.0000,449.2797,449.6379,449.1156,449.7954,449.5330,449.7186
2500.0000,499.2535,499.8454,499.1019,499.6779,499.3230,499.8398
2550.0000,549.5272,548.9204,549.1194,549.9204,549.1130,549.6373
2600.0000,599.4760,599.2467,599.2431,599.5329,599.8605,599.5998
2650.0000,649.9247,649.5604,649.5669,649.6029,649.2355,649.5748
2700.0000,699.1472,699.8367,699.7781,699.7179,699.9255,699.5711
2750.0000,749.4897,748.8867,749.7081,749.8029,749.3580,749.5798
2800.0000,799.4697,799.1879,799.7444,799.7679,799.0330,799.6311
2850.0000,849.4935,849.5329,849.8806,849.9454,849.6655,849.7836
2900.0000,899.4297,899.8154,899.8044,899.3404,899.6980,899.8686
2950.0000,949.5660,948.8654,949.0398,949.5304,949.1305,949.5773
3000.0000,999.6585,999.0076,999.1385,999.8704,999.3026,999.7501
3050.0000,1049.8372,1049.2964,1049.1935,1048.6691,1048.9205,1049.4925
3100.0000,1099.4097,1098.9827,1095.4517,1090.2629,1098.7416,1097.2063
3150.0000,1141.8694,1134.2514,1145.5970,1114.6916,1127.5852,1135.0979
3200.0000,1148.0894,1159.0139,1195.9020,1090.5534,1146.1231,1171.7560
3250.0000,1153.0793,1171.1112,1204.2370,249.8147,1152.0420,1162.2202
3300.0000,1159.2305,298.7486,299.0829,299.8022,1197.9420,299.7495
3350.0000,349.0423,349.5061,349.0567,349.9172,349.6366,349.8153
3400.0000,399.1973,398.9936,399.1304,399.7772,399.4266,399.6215
3450.0000,449.2585,449.7636,449.2354,449.7797,449.2166,449.6515
3500.0000,499.4323,499.1636,499.0967,499.8797,499.6066,499.5590
3550.0000,549.3935,549.8461,549.3829,549.5372,549.3966,549.5215
3600.0000,599.2735,599.2836,599.7629,599.4947,599.1866,599.6065
3650.0000,649.3535,649.9411,649.8304,649.9247,648.9766,649.7253
3700.0000,699.2523,699.4911,699.1404,699.2972,699.0666,699.7215
3750.0000,749.2760,748.8661,749.0204,749.6747,749.4566,749.5615
3800.0000,799.1435,799.5236,799.0317,799.0447,799.7891,799.5915
3850.0000,849.2235,848.9486,849.0367,849.4972,849.5216,849.5878
3900.0000,899.2223,899.5936,899.2979,899.7935,898.9541,899.4953
3950.0000,949.3210,948.9436,949.6717,949.1322,948.9866,949.6615
4000.0000,999.1467,999.5573,998.9623,999.3722,999.6191,999.4435
4050.0000,1049.2350,1048.0647,1048.1679,1046.1299,1049.0407,1049.0863
4100.0000,1098.3549,1097.3634,1092.7597,1092.6671,1098.8557,1098.8027
4150.0000,1140.2688,1139.4826,1121.3322,1124.7840,1133.0182,1145.2927
4200.0000,1148.4475,1144.4376,1131.3659,1092.9413,1170.0173,1187.4382
4250.0000,1162.2704,1157.9908,1153.3657,249.7771,1161.0743,1157.4869
4300.0000,298.7782,1179.7327,299.6025,299.7946,299.3480,299.8935
4350.0000,349.1020,349.0373,349.9450,349.8121,349.1380,349.1360
4400.0000,399.3945,398.8373,399.9313,399.7996,399.8855,399.8835
4450.0000,449.5557,449.9886,449.0663,449.7871,449.6755,449.7285
4500.0000,499.5482,499.7198,499.0713,499.7896,499.4655,499.7585
4550.0000,549.5782,549.5448,549.2950,549.7771,549.2555,549.7335
4600.0000,598.7195,599.3073,599.2938,599.6371,599.0455,599.8522
4650.0000,648.7057,649.0323,649.3925,649.7021,649.7355,649.7310
4700.0000,698.7482,698.7573,699.4413,699.0221,699.4680,699.9385
4750.0000,748.9595,749.8273,749.6838,749.3996,749.8580,749.7910
4800.0000,798.9770,799.5648,799.8138,799.7646,799.8905,799.8210
4850.0000,849.2757,849.2648,849.9063,849.1034,849.6230,849.9397
4900.0000,899.2682,899.0273,899.1288,899.3996,899.2980,899.7585
4950.0000,949.3295,949.7742,949.3900,949.6459,949.9880,949.7335
5000.0000,999.2285,999.6544,999.6450,998.9716,999.7205,999.4080
5050.0000,1048.9835,1049.6107,1049.5406,1049.1304,1048.3635,1049.6030
5100.0000,1097.6361,1098.0174,1098.7890,1094.6176,1094.4079,1099.3102
5150.0000,1136.4573,1122.9353,1125.7993,1139.4239,1135.4481,1134.7687
5200.0000,1157.0386,1154.8380,1139.6772,1097.7169,1167.7206,1152.0850
5250.0000,1152.5684,1167.3818,1156.8843,249.6948,1159.4751,1150.2197
5300.0000,1170.8646,298.7580,299.1416,299.8698,1176.2751,299.6303
5350.0000,349.2446,348.9080,349.3716,349.8273,349.2558,349.5803
5400.0000,399.6058,399.0080,399.2641,399.6723,399.0458,399.4540
5450.0000,449.7608,449.2205,449.2566,449.7573,449.7933,449.7528
5500.0000,499.9033,499.5705,499.2116,499.7298,499.5833,499.7828
5550.0000,549.1946,548.8130,549.4104,549.7173,549.6733,549.8128
5600.0000,599.5746,550.0705,599.4654,599.8473,599.4633,599.8090
5650.0000,649.6171,883.8396,649.5454,649.5348,649.2533,649.8053
5700.0000,699.6783,885.0221,699.6004,699.5073,699.3433,699.4465
5750.0000,749.8271,886.1984,748.9729,749.6298,749.7333,749.8103
5800.0000,799.0996,887.3746,799.3654,799.9573,799.8233,799.8065
5850.0000,848.9671,888.5571,849.5954,849.4835,849.4983,849.6590
5900.0000,899.2033,899.2371,899.6254,899.0223,899.1733,899.6215
5950.0000,949.1708,949.5646,949.8304,949.2748,949.2058,949.8078
6000.0000,999.3436,999.0221,999.1644,999.6898,999.4808,999.4109
6050.0000,1048.8077,1049.6576,1049.2506,1048.5770,1049.0646,1049.6396
6100.0000,1096.9758,1099.0945,1099.2931,1091.0352,1098.9938,1097.8804
6150.0000,1122.7133,1132.0189,1142.5399,1112.0929,1129.0355,1137.6115
6200.0000,1140.8291,1135.8048,1150.7687,1116.8929,1134.5885,1173.2219
6250.0000,1162.8842,1147.6584,1158.0978,249.8984,1121.9336,1178.5757
6300.0000,1168.0030,299.0336,299.8657,299.6009,299.2568,299.5107
6350.0000,349.0345,349.0536,349.0694,349.6334,349.0468,349.6294
6400.0000,399.0520,399.0736,399.0494,399.9209,399.7943,399.8582
6450.0000,449.1945,449.0936,449.0169,449.7809,449.8843,449.6432
6500.0000,499.2745,499.1136,499.5282,499.7009,499.6743,499.5507
6550.0000,549.4670,549.4211,549.7332,549.6584,549.7643,549.7294
6600.0000,599.3845,599.7411,599.8444,599.9309,599.8543,599.9032
6650.0000,649.5833,648.8036,649.0982,649.6809,649.9443,649.5994
6700.0000,699.6633,699.1048,699.2969,699.9834,699.3768,699.5957
6750.0000,749.7120,749.3936,749.5269,749.3409,749.7668,749.7144
6800.0000,799.1095,799.6823,799.7694,799.7059,799.1993,799.8882
6850.0000,849.2333,848.7698,849.8869,849.1509,849.8318,849.5844
6900.0000,899.2758,899.1086,898.9907,899.0255,899.9218,899.6144
6950.0000,949.6620,949.4098,949.2457,949.3842,949.6543,949.7871
7000.0000,999.6702,999.5500,999.2757,998.6434,999.3150,999.6609
7050.0000,1049.6706,1048.4977,1048.5122,1048.8709,1049.9475,1049.6784
7100.0000,1099.2990,1098.7740,1093.1367,1091.2009,1097.2414,1098.9084
7150.0000,1134.1852,1132.3176,1142.1468,1114.3212,1137.0164,1121.0801
7200.0000,1141.3438,1164.0318,1159.8465,199.5880,1131.6908,1159.3688
7250.0000,1149.4538,1181.2868,1128.2039,249.5905,1152.1068,1152.8419
7300.0000,299.0991,299.1064,299.1195,299.7055,299.6641,299.5503
7350.0000,349.2041,349.8514,348.9807,349.5205,349.4541,349.2465
7400.0000,399.1528,399.3139,399.1420,399.9355,399.2441,399.0365
7450.0000,449.2578,448.7389,449.4220,449.9230,449.0341,449.8390
7500.0000,499.1878,499.3964,499.2645,499.7080,499.7816,499.7128
7550.0000,549.3803,548.7902,549.2757,549.7877,549.5716,549.6540
7600.0000,599.5353,599.3664,599.4495,599.4602,599.3616,599.8428
7650.0000,649.7278,648.8414,649.6482,649.4177,649.0941,649.6278
7700.0000,699.8953,699.6489,699.6345,699.1827,699.1266,699.7128
7750.0000,749.1553,749.0302,749.7957,749.4727,749.8166,749.8653
7800.0000,799.3166,799.7689,798.9120,798.9552,799.5491,799.5740
7850.0000,849.6403,849.2564,849.7557,849.2202,849.2816,849.8028
7900.0000,899.8391,898.8189,898.9720,899.5477,899.6716,899.7103
7950.0000,948.9241,949.4514,949.0395,948.9177,949.7041,949.5965
8000.0000,999.9491,998.8952,999.2632,999.2390,999.4482,999.7853
8050.0000,1048.9559,1049.1933,1049.4745,1049.2772,1048.8034,1049.5266
8100.0000,1095.3087,1095.8790,1099.6920,1091.5710,1093.5480,1097.8605
8150.0000,1132.8291,1143.7568,1140.9156,1110.9276,1120.3182,1134.8879
8200.0000,1162.9124,1157.4018,1155.2893,199.6370,1168.2853,1151.2736
8250.0000,1165.9599,1150.4100,1180.4835,249.4970,1173.1208,1157.0186
8300.0000,299.1694,1160.3512,299.7615,299.7695,1167.3778,299.9024
8350.0000,349.3932,348.9752,349.8728,349.5020,349.4087,349.6749
8400.0000,399.4482,398.8690,399.8028,399.6920,399.1987,399.6374
8450.0000,449.6532,449.9015,449.0378,449.7245,449.9462,449.1274
8500.0000,499.0319,499.6890,499.2365,499.6820,499.7362,499.8174
8550.0000,549.2369,549.3890,549.1603,549.3395,549.5262,549.9362
8600.0000,599.3044,599.1390,599.1215,599.3720,599.3162,599.9449
8650.0000,649.4094,649.0265,649.3140,648.8770,649.9487,649.8187
8700.0000,699.7207,698.7515,699.3815,699.1608,699.0812,699.9374
8750.0000,748.9932,749.8340,749.6365,749.6570,749.4712,749.8787
8800.0000,799.4294,799.6402,799.7790,799.0395,799.8612,799.7649
8850.0000,849.5219,849.5277,849.8965,849.2670,849.5831,849.8499
8900.0000,899.4207,899.2652,899.0753,899.7195,899.3156,899.5799
8950.0000,949.6382,949.0277,949.0490,949.1895,949.4056,949.7662
9000.0000,999.1367,998.9590,999.1415,999.3435,999.4567,999.6008
9050.0000,1048.5667,1048.8215,1049.3215,1049.5398,1049.1934,1049.4408
9100.0000,1093.1988,1096.7030,1098.6727,1098.6473,1097.7190,1099.5995
9150.0000,1113.7366,1124.0577,1135.5687,1121.9854,1141.5408,1144.0236
9200.0000,1136.9402,1150.4231,1135.1411,1091.5678,1156.7133,1145.5786
9250.0000,1159.3887,1160.2669,1159.1956,249.7318,1155.8278,1117.2062
9300.0000,1161.4225,299.1525,299.5231,299.3899,299.3213,298.9974
9350.0000,349.7782,349.1900,348.9668,349.3774,349.1113,349.6149
9400.0000,399.1194,399.4150,399.1781,399.6349,398.9013,399.7549
9450.0000,449.2244,449.5650,449.0331,449.4949,449.6488,449.7174
9500.0000,499.2982,499.7025,499.2693,499.6249,499.4388,499.8024
9550.0000,549.4157,548.8450,549.4556,549.3274,549.2288,549.8374
9600.0000,599.5644,586.6950,599.6043,599.5699,599.0188,599.8886
9650.0000,649.6319,861.5241,649.7656,649.6549,649.3513,649.6736
9700.0000,699.6119,862.7066,699.7268,699.3424,699.3263,699.8474
9750.0000,749.6794,863.8829,749.9381,748.9874,749.0013,749.6111
9800.0000,799.8657,865.0591,799.0543,799.3336,799.6338,799.7511
9850.0000,848.9632,866.2416,849.3468,849.5299,849.3663,849.8361
9900.0000,899.0244,899.6204,899.3456,898.9999,899.3988,899.5999
9950.0000,949.1669,948.9076,949.6191,949.4836,949.4888,949.6547
10000.0000,999.1657,999.6226,999.8366,999.4583,999.4638,999.8285
10050.0000,1049.2144,1049.1100,1048.5998,1047.4654,1048.6941,1049.4011
10100.0000,1093.0837,1098.8737,1094.9678,1088.3817,1095.9552,1099.0554
10150.0000,1111.7400,1148.6375,1122.5739,1103.1050,1141.8209,1132.2032
10200.0000,1142.9011,1151.0650,1144.4479,1104.9927,1166.0451,1147.3014
10250.0000,1136.6050,1140.2269,1140.6255,249.8464,1166.9039,1178.9603
10300.0000,299.9846,298.9862,298.9865,299.5639,299.8894,1196.2766
10350.0000,349.0633,349.0062,348.9727,349.7239,349.6794,349.2942
10400.0000,399.4496,399.0262,399.1715,399.5989,399.4694,399.0842
10450.0000,449.6546,449.0462,449.3265,449.4439,449.2594,449.7955
10500.0000,499.8408,499.2037,499.4315,499.7764,499.0494,499.6692
10550.0000,549.0508,549.5425,549.4927,549.6064,549.7969,549.6105
10600.0000,599.3558,599.8187,599.6852,599.6089,599.2294,599.7417
10650.0000,649.2733,648.8937,649.7840,649.7239,649.2619,649.7380
10700.0000,699.3283,699.1825,698.9815,699.1439,699.2369,699.6117
10750.0000,749.2958,749.4962,749.1740,749.3714,749.6269,749.8530
10800.0000,799.4696,799.7850,799.1665,799.8302,799.0019,799.9167
10850.0000,849.6433,848.9100,849.2777,849.2064,849.3919,849.5580
10900.0000,899.7296,899.2112,899.6827,899.5089,899.1244,899.8205
10950.0000,949.6971,949.5062,949.5218,948.9539,949.7408,949.8842
11000.0000,999.2754,999.8137,999.6523,999.0532,999.3088,999.4232
11050.0000,1048.7030,1048.1648,1048.8248,1049.3245,1049.8263,1049.4650
11100.0000,1098.4333,1097.0807,1096.5354,1099.0522,1097.5571,1095.6999
11150.0000,1134.2958,1136.7262,1132.5287,1129.9270,1136.5771,1145.6711
11200.0000,1147.1859,1152.3125,1146.6332,1097.6449,1183.3336,1165.6486
11250.0000,1149.3319,1142.6397,1153.0661,249.7256,1186.6336,1173.2157
11300.0000,299.5976,299.5206,298.9819,299.6381,299.4088,299.9719
11350.0000,349.7839,348.9581,348.9807,349.6556,349.1988,349.6557
11400.0000,399.9576,399.6406,399.1294,399.7106,398.9888,399.8294
11450.0000,449.8751,449.0906,449.1594,449.8556,449.7363,449.8594
11500.0000,499.0476,499.6856,499.2957,499.5281,499.5263,499.9707
11550.0000,549.1507,549.0981,549.3944,549.7706,549.3163,549.7894
11600.0000,599.4057,599.7556,599.3494,599.6306,599.1063,599.9419
11650.0000,649.4170,649.2806,649.2982,649.7606,649.4388,649.7607
11700.0000,699.6845,699.9506,699.2094,699.7631,699.1138,699.8119
11750.0000,748.8382,749.4381,749.3519,749.3231,749.7463,749.9307
11800.0000,798.8370,798.8631,799.4382,799.7068,799.4788,799.9607
11850.0000,848.8732,849.4831,849.3807,848.9893,849.1538,849.6569
11900.0000,899.0782,898.8956,899.2857,899.2293,899.8438,899.6532
11950.0000,949.2238,949.2890,949.2657,949.6693,949.5763,949.7719
12000.0000,999.6163,998.4671,999.5082,999.8473,999.4701,999.7622
12050.0000,1048.8825,1047.8636,1049.0946,1048.1601,1048.1529,1048.9880
12100.0000,1097.7604,1096.7616,1099.1225,1087.6926,1094.9578,1098.7154
12150.0000,1133.2607,1128.8971,1143.8289,1111.4164,1133.3833,1138.6023
12200.0000,1141.1959,1170.9583,1176.7779,199.7377,1149.4703,1141.6235
12250.0000,1158.6746,1179.6671,1162.2405,249.8977,1138.3575,1153.8730
12300.0000,1159.7008,299.5158,299.4910,299.7577,299.3987,1157.7030
12350.0000,349.8789,349.2845,349.4210,349.7752,349.1887,349.7058
12400.0000,399.9089,399.0158,399.5260,399.6352,399.2787,399.8796
12450.0000,449.9014,449.9420,449.2085,449.9377,449.0687,449.8758
12500.0000,499.0364,499.6920,499.3385,499.7977,499.8162,499.9946
12550.0000,549.0726,549.4045,549.4435,549.5152,549.6062,549.6646
12600.0000,599.2776,599.2420,599.5485,599.5327,599.3962,599.6608
12650.0000,649.2264,648.9920,649.8473,649.5977,649.7862,649.9908
