time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,24.2498,23.5073,20.0162,24.1915,19.0818,24.7956
100.0000,74.9740,74.4800,74.9041,74.6095,74.7834,74.6706
150.0000,124.9237,124.4332,124.9995,125.0079,124.4567,124.8692
200.0000,174.9502,174.5643,174.8655,174.7114,175.2454,175.0162
250.0000,225.0323,224.8865,225.4668,225.3520,224.2696,219.8422
300.0000,275.1978,274.6654,267.3139,274.8014,273.5837,274.6502
350.0000,325.2914,324.4991,317.4236,324.9576,325.0423,329.6936
400.0000,375.0436,374.4729,367.0629,375.0262,377.4855,375.0715
450.0000,424.7676,424.5726,416.6784,424.8165,425.2447,424.6750
500.0000,474.9101,474.7111,467.1672,475.2328,473.9782,474.9103
550.0000,525.0549,524.8734,517.1297,525.2240,525.2592,523.1392
600.0000,574.9869,574.4392,566.9033,574.7460,573.3850,575.1803
650.0000,625.0281,624.2573,617.0954,624.9786,624.6870,624.8562
700.0000,675.2741,674.7794,667.4198,674.8362,674.6572,674.9331
750.0000,725.2931,724.5820,717.0453,724.5346,724.6717,725.0556
800.0000,775.2755,774.5196,766.7078,769.3399,775.4659,774.9704
850.0000,824.7833,824.5579,816.9645,824.9217,824.3281,824.8368
900.0000,874.4949,874.5321,867.3615,874.6189,876.5236,875.0515
950.0000,924.5064,924.8673,917.1056,924.9354,924.6244,924.8585
1000.0000,974.4490,974.0091,966.7367,974.9720,974.5921,974.8106
1050.0000,1024.1851,1008.2220,1016.8815,1024.3651,1024.7888,1024.3632
1100.0000,1074.0036,1044.7933,1066.8036,1074.4810,1071.8240,1074.2898
1150.0000,1123.0254,1091.3035,1115.5199,1098.2003,1098.7744,1121.7813
1200.0000,1152.9095,1134.6543,1120.7068,1089.4056,1119.6250,1148.4765
1250.0000,1145.2369,1076.7163,887.4052,890.4876,1137.1452,610.0643
1300.0000,347.6285,847.6439,275.3721,274.8854,535.2532,274.9371
1350.0000,325.2701,848.8264,324.9676,324.8219,324.8466,322.3368
1400.0000,374.8356,850.0026,374.4291,375.4842,374.6366,375.0736
1450.0000,424.4432,851.1789,424.9627,424.7803,424.9054,429.7993
1500.0000,474.5611,852.3614,474.9448,475.0988,475.1741,474.8775
1550.0000,524.8139,853.5439,524.6314,525.3547,525.3561,524.7739
1600.0000,574.9511,854.7264,574.7028,574.6828,574.6853,574.8906
1650.0000,625.1376,855.9089,624.7267,624.6154,624.3517,625.1327
1700.0000,674.9063,857.0976,674.9804,675.7409,674.5225,675.0266
1750.0000,724.5491,858.2864,724.8024,724.8649,724.6447,724.7204
1800.0000,774.7073,859.4751,774.8740,774.5931,775.1971,774.9238
1850.0000,824.9137,860.6639,824.8832,820.9998,824.9497,825.1008
1900.0000,875.0298,880.3728,875.0210,874.5267,875.2911,875.1325
1950.0000,925.0463,924.8184,925.1216,924.8768,924.2581,924.8113
2000.0000,974.8301,974.9014,975.2315,975.0995,976.1166,974.5379
2050.0000,1024.6217,1024.5339,1024.6649,1025.4611,1025.6329,1024.9809
2100.0000,1073.3237,1074.7484,1073.9568,1077.4571,1074.8466,1074.2270
2150.0000,1117.6816,1115.2562,1123.3596,1045.6974,1116.0886,1119.4029
2200.0000,1120.3175,1141.3038,1150.2377,174.9993,1118.4133,1120.2444
2250.0000,460.4072,445.3435,876.2021,225.4532,889.0003,707.3833
2300.0000,274.6081,275.1779,275.3836,274.8765,274.7893,274.9799
2350.0000,324.6341,325.1979,324.9819,324.3635,324.5793,324.8748
2400.0000,374.7407,375.2179,374.4440,374.6992,374.8480,375.0567
2450.0000,424.7494,425.2379,424.5276,424.8777,425.1168,421.8036
2500.0000,474.8351,475.3190,474.5849,475.1192,474.9068,479.1501
2550.0000,524.9337,524.9989,524.6143,525.0354,524.6968,525.2714
2600.0000,575.0313,574.7015,574.7005,574.7891,574.9655,574.6785
2650.0000,625.1501,625.0261,624.9352,624.5356,625.1882,624.6920
2700.0000,675.1317,675.3117,675.1791,675.1000,675.5195,674.9378
2750.0000,724.8391,724.9748,725.2551,724.3854,725.2942,725.0071
2800.0000,774.9788,774.6553,775.2283,769.5943,774.9796,774.8866
2850.0000,824.8662,824.9730,825.2827,825.3261,825.0933,824.7187
2900.0000,874.9658,875.2904,875.3267,875.1167,875.2203,875.0257
2950.0000,925.0605,924.9535,924.8944,925.1739,925.0915,924.7172
3000.0000,975.1490,974.5533,974.6182,975.2221,974.6388,975.1022
3050.0000,1025.2369,1024.7636,1024.6446,1026.2160,1024.9355,1024.5657
3100.0000,1074.9917,1074.6634,1071.9934,1073.5583,1074.5442,1074.8018
3150.0000,1118.0454,1114.4165,1120.9193,1096.9774,1111.6626,1115.8174
3200.0000,1127.5286,1141.4139,1171.3725,220.7450,1127.9000,1148.7058
3250.0000,1135.7045,686.9325,1106.4739,225.4153,1140.2816,825.3155
3300.0000,385.8811,274.6298,274.5601,274.8462,1142.0277,270.4708
3350.0000,324.8156,324.7710,324.5276,325.3882,325.2203,328.0858
3400.0000,374.6403,374.8992,374.5671,375.3621,375.0103,375.0889
3450.0000,424.7372,425.0066,424.7300,425.1062,424.8003,424.7696
3500.0000,474.9210,475.0711,474.6799,474.9092,475.0121,474.7559
3550.0000,524.8972,525.1302,524.7515,525.3303,524.9803,522.8111
3600.0000,574.8385,575.1890,575.0982,574.7079,574.7703,574.9744
