time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100.0000,50.5698,49.9178,50.3105,50.1832,49.9504,49.9439
150.0000,100.4560,100.2953,100.4730,100.3357,100.0404,100.0502
200.0000,150.4110,149.7903,150.4167,150.2182,149.8304,150.1439
250.0000,200.4723,200.6115,200.0705,200.2132,199.9329,200.2377
300.0000,250.5835,250.3753,242.8739,250.0657,249.7207,250.2339
350.0000,300.8073,300.2015,292.8102,300.2632,299.9382,300.0239
400.0000,350.8873,350.0653,342.9902,349.9282,350.5132,350.0395
450.0000,400.1973,400.1103,392.1189,400.1932,399.8557,400.0020
500.0000,450.3148,450.2928,442.1239,450.1732,450.3857,449.9983
550.0000,500.5573,500.3628,493.0989,500.0707,499.8432,500.1170
600.0000,550.4685,550.6078,542.2402,549.9382,550.6157,550.2095
650.0000,600.4923,599.5703,592.6077,600.2182,600.6157,600.1295
700.0000,650.6785,650.1653,642.7377,650.0557,650.3732,650.0708
750.0000,700.8460,700.6103,693.0177,700.1482,700.2457,700.1558
800.0000,750.7323,749.7478,742.1277,750.1732,750.4882,750.0420
850.0000,800.7998,800.5365,792.4202,800.7282,799.9457,800.1395
900.0000,849.9098,849.7740,842.7252,849.9982,850.1182,850.1695
950.0000,899.9148,900.6628,893.0427,900.2257,900.4182,900.1658
1000.0000,949.9919,950.3253,942.2589,950.5532,950.5332,950.0520
1050.0000,999.4372,993.6849,992.2884,999.7222,999.9695,999.9720
1100.0000,1049.8481,1021.7335,1042.4496,1050.0372,1048.6120,1049.4241
1150.0000,1099.5919,1071.7070,1091.6510,1059.2008,1087.1080,1099.5516
1200.0000,1132.1388,1120.2996,1103.4794,1064.8183,1102.1038,1121.6803
1250.0000,1125.7732,242.2496,236.6364,236.7717,1121.6561,220.8761
1300.0000,253.8083,847.6439,250.8789,250.2642,265.0029,250.0661
1350.0000,300.7533,848.8264,300.9402,300.0342,300.4304,300.1599
1400.0000,350.7521,850.0026,349.9252,350.2467,350.2204,350.6574
1450.0000,399.9371,851.1789,399.9239,400.3317,400.0104,400.4474
1500.0000,449.9296,852.3614,450.9114,450.1842,450.7579,449.9349
1550.0000,500.2221,853.5439,500.0339,500.3217,500.5479,500.0536
1600.0000,550.3583,854.7264,550.1639,550.1652,549.9804,549.9611
1650.0000,600.6571,855.9089,600.1939,600.1227,600.0129,599.9361
1700.0000,650.6933,857.0976,650.3739,650.1627,650.4029,650.1124
1750.0000,700.0783,858.2864,700.5164,700.2027,700.1354,700.0199
1800.0000,750.0771,859.4751,750.3214,750.2577,750.5254,749.9274
1850.0000,800.3321,860.6639,800.3764,800.0159,799.9579,799.9911
1900.0000,850.5371,861.8526,850.4439,849.8422,850.6479,850.2874
1950.0000,900.5983,900.1551,900.5364,900.2572,900.3804,900.1061
2000.0000,950.2917,950.7514,950.7227,950.4534,949.8129,950.0136
2050.0000,1000.2192,1000.2589,1000.7152,1000.7247,1000.6379,1000.1949
2100.0000,1050.1992,1050.0226,1050.1782,1049.9822,1050.3379,1049.9461
2150.0000,1096.1846,1093.5608,1098.9242,148.1189,1096.1518,1098.8984
2200.0000,1101.9606,1096.1988,1130.5342,149.9914,1098.7444,1100.7779
2250.0000,213.1535,212.9579,236.4806,200.1739,224.5205,230.4173
2300.0000,250.1047,250.7779,250.8544,250.4014,250.3730,250.2223
2350.0000,300.0410,300.7979,300.9281,300.2079,300.1630,299.9611
2400.0000,350.1835,350.8179,350.1381,350.1804,349.9530,350.1773
2450.0000,400.1635,400.8379,399.9806,400.1379,400.7005,400.1736
2500.0000,450.2997,450.8579,450.1169,450.2529,450.4905,450.6761
2550.0000,500.2735,501.0717,500.1094,500.1354,500.2805,500.2286
2600.0000,550.5410,550.1467,550.1269,550.2204,550.0705,550.0261
2650.0000,600.4897,600.4729,600.2631,599.9904,600.8180,599.9886
2700.0000,650.9885,650.7867,650.5681,650.0604,650.1930,649.9636
2750.0000,700.1672,701.0629,700.7856,700.0179,700.8830,699.9598
2800.0000,750.5035,750.1129,750.7344,750.2604,750.3155,749.9686
2850.0000,800.5085,800.4142,800.7831,800.7254,799.9905,799.9311
2900.0000,850.5260,850.7654,850.8944,850.9029,850.6230,850.0836
2950.0000,900.4622,901.0417,900.8431,900.3041,900.6555,900.2573
3000.0000,950.5860,950.0917,950.0598,950.5004,950.0880,949.9661
3050.0000,1000.6785,1000.2339,1000.1460,1000.8341,1000.2601,1000.0501
3100.0000,1050.8572,1050.5226,1050.0198,1049.6641,1049.8780,1049.8813
3150.0000,1097.7719,1100.2214,1096.3308,1082.5063,1099.0416,1094.6767
3200.0000,1111.1134,1126.5740,1146.6295,150.0297,1108.7017,1126.1160
3250.0000,1124.1344,224.6361,247.9267,200.3147,1125.4273,232.4782
3300.0000,256.8985,250.5311,249.9667,250.2722,296.0166,250.1832
3350.0000,300.7710,299.9873,300.0967,300.2597,300.8041,300.7070
3400.0000,350.0748,350.7386,350.0829,350.3747,350.5941,350.2040
3450.0000,400.2173,400.2386,400.1379,400.2347,400.3841,399.9215
3500.0000,450.3035,450.9961,450.2429,450.2372,450.1741,449.9515
3550.0000,500.4523,500.4023,500.1229,500.1797,500.5641,499.9478
3600.0000,550.4323,551.0786,550.4029,549.9947,550.3541,549.9103
3650.0000,600.2685,600.5161,600.7892,599.9522,600.1441,599.9953
3700.0000,650.3423,651.1798,650.8504,650.3822,649.9341,650.1140
3750.0000,700.2723,700.7236,700.1729,700.2547,700.0241,700.1103
3800.0000,750.2835,750.0986,750.0717,750.6385,750.4141,749.9503
3850.0000,800.1635,800.7561,800.0517,800.0272,800.7466,799.9803
3900.0000,850.2373,850.1811,850.0567,850.4547,850.4791,849.9765
3950.0000,900.2610,900.8386,900.3242,900.7760,899.9116,899.8840
4000.0000,950.3473,950.1948,950.6917,950.0897,949.9441,950.0503
4050.0000,1000.1729,1000.7961,999.9635,1000.3422,1000.5766,999.8323
4100.0000,1050.2175,1049.3097,1049.1816,1047.0874,1049.9982,1049.4751
4150.0000,1099.3937,1098.6084,1093.7735,1089.0169,1099.8132,1099.1915
4200.0000,1109.8296,1117.0620,1104.4461,150.4046,1120.5873,1132.2802
4250.0000,1123.4045,1132.2977,231.3375,199.9321,239.9830,244.2010
4300.0000,250.0307,275.5386,250.7050,250.2346,250.5155,250.3322
4350.0000,299.8170,300.3761,300.6225,300.2521,300.3055,300.2822
4400.0000,350.1157,350.2761,350.9650,350.2696,350.0955,350.0935
4450.0000,400.4145,400.0948,400.9700,400.2571,400.8430,400.8410
4500.0000,450.5695,451.2523,450.0800,450.2446,450.6330,450.1172
4550.0000,500.5495,500.9648,500.1038,500.2471,500.4230,500.1472
4600.0000,550.5982,550.8023,550.3400,550.0771,550.2130,550.1222
4650.0000,599.7457,600.5523,600.3263,599.9371,600.0030,600.2410
4700.0000,649.7320,650.2773,650.4250,650.6596,650.6930,650.1197
4750.0000,699.7557,700.0023,700.4675,699.9921,700.4255,700.2385
4800.0000,749.9795,751.0661,750.6975,750.3634,750.8155,750.0910
4850.0000,799.9907,800.8036,800.8338,800.7346,800.8480,800.2097
4900.0000,850.2770,850.5036,850.9200,850.0671,850.5805,850.2397
4950.0000,900.2945,900.2661,900.2113,900.3634,900.2555,900.1472
5000.0000,950.3557,951.0129,950.4225,950.6096,950.9455,950.1222
5050.0000,1000.2422,1000.9119,1000.6775,999.9291,1000.6780,999.7967
