time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,14.8395,14.6644,15.3143,14.4713,12.5194,14.4809
100.0000,14.4202,14.5441,14.5056,14.5520,14.5506,14.4452
150.0000,14.4203,14.2866,14.4208,14.4083,14.3705,14.4631
200.0000,14.4766,14.6619,14.3672,14.4994,14.9465,14.4203
250.0000,14.4655,14.3613,12.8180,14.3633,14.3317,14.9420
300.0000,14.5049,14.3699,14.4441,14.5026,14.7843,14.3705
350.0000,14.4443,14.3863,14.5088,14.4994,14.3289,13.2039
400.0000,14.2274,14.4442,14.1983,14.3661,14.0794,14.3760
450.0000,14.4764,14.4820,14.4033,14.3878,14.5168,14.4030
500.0000,14.5227,14.4459,14.6816,14.4049,14.6446,14.4955
550.0000,14.4097,14.5051,14.1650,14.5546,15.0565,16.7567
600.0000,14.4354,14.1224,14.5580,14.3665,14.3921,14.4499
650.0000,14.4414,14.5910,14.4700,14.2584,14.0280,14.3804
700.0000,14.4998,14.5742,14.4970,14.4017,14.4180,14.5022
750.0000,14.3926,14.1818,14.1468,14.5106,13.8116,14.3964
800.0000,14.4474,14.6622,14.5096,14.2590,14.4691,14.3753
850.0000,14.1524,14.2209,14.5488,14.2105,14.4185,14.4000
900.0000,14.4758,14.6893,14.4972,14.5009,14.6195,14.4013
950.0000,14.4223,14.3337,14.2019,14.5367,15.1237,14.3321
1000.0000,14.3971,14.2133,14.3972,14.3827,14.4323,14.3646
1050.0000,14.5050,7.7179,14.4437,14.5245,14.1560,14.2432
1100.0000,14.4097,14.0387,14.1863,10.7358,11.9005,14.4150
1150.0000,14.0299,12.7949,14.2326,15.0282,6.4386,15.4475
1200.0000,11.6534,10.4289,14.0140,14.2792,11.6979,16.1457
1250.0000,13.1701,278.2115,401.7854,395.0359,7.6664,444.7886
1300.0000,240.8149,0.0000,14.4644,14.1415,397.4761,14.4566
1350.0000,14.4235,0.0000,14.1412,14.4484,14.3705,13.2231
1400.0000,14.1995,0.0000,14.3964,14.4511,14.3705,14.3705
1450.0000,14.4322,0.0000,14.7296,14.1498,14.6469,12.9926
1500.0000,14.5313,0.0000,14.1827,14.3503,14.3705,14.6001
1550.0000,14.4447,0.0000,14.4585,14.3436,14.5175,14.3309
1600.0000,14.5145,0.0000,14.4264,14.6166,14.6666,14.4709
1650.0000,14.4231,0.0000,14.5120,14.5002,14.5603,14.5058
1700.0000,14.2665,0.0000,14.4525,14.3457,14.4024,14.4412
1750.0000,14.4070,0.0000,14.4308,14.4430,14.4452,14.3891
1800.0000,14.4948,0.0000,14.4837,14.4412,14.3486,14.5504
1850.0000,14.4843,0.0000,14.4611,12.9615,14.6070,14.4585
1900.0000,14.4427,11.0512,14.4705,14.5310,14.5658,14.3658
1950.0000,14.3898,14.6022,14.4716,14.4876,14.2532,14.4279
2000.0000,14.4165,14.2873,14.4023,14.5250,14.9351,14.4823
2050.0000,14.3803,14.3613,14.3594,14.2147,15.0163,14.4074
2100.0000,13.8038,14.4947,13.8948,13.6576,12.9533,13.9785
2150.0000,11.3455,12.8951,14.4037,210.6913,12.1759,10.4675
2200.0000,12.0733,23.0894,9.7465,14.4478,9.6236,10.0101
2250.0000,397.2971,377.0600,400.3987,14.3859,383.6830,443.6437
2300.0000,14.4364,14.4352,14.4451,14.3996,14.3705,14.3817
2350.0000,14.4884,14.4352,14.2214,14.6104,14.3705,14.5179
2400.0000,14.4458,14.4352,14.3999,14.3286,14.6469,14.4126
2450.0000,14.4814,14.4352,14.4786,14.6530,14.3705,13.0997
2500.0000,14.4120,14.4965,14.4211,14.4308,14.3705,15.4865
2550.0000,14.5499,14.1653,14.4252,14.4312,14.3705,14.4219
2600.0000,14.4027,14.5300,14.4751,14.3213,14.6469,14.4267
2650.0000,14.5674,14.5208,14.5130,14.4999,14.2636,14.4579
2700.0000,14.1950,14.5092,14.5006,14.4609,14.8695,14.4066
2750.0000,14.5336,14.1551,14.4050,14.5573,14.1917,14.3247
2800.0000,14.4246,14.5177,14.4364,14.5591,14.2676,14.4177
2850.0000,14.4526,14.5276,14.4640,14.4916,14.5502,14.5426
2900.0000,14.4292,14.5092,14.4179,14.2669,14.3817,14.3804
2950.0000,14.4611,14.1551,14.2081,14.3502,14.1337,14.2476
3000.0000,14.4819,14.4507,14.4547,14.4904,14.3494,14.5353
3050.0000,14.5110,14.5143,14.4542,14.0131,14.0759,14.4345
3100.0000,14.3458,14.2436,12.0853,12.3176,13.4205,15.2933
3150.0000,13.4089,9.9337,14.4993,10.4518,7.5232,10.8380
3200.0000,9.9176,8.8065,14.5247,201.5947,9.8235,12.8020
3250.0000,7.8873,461.1402,180.9205,14.5326,6.5863,432.4149
3300.0000,288.1674,14.2858,14.4390,14.4798,167.7237,13.1965
3350.0000,14.2268,14.6521,14.4120,14.4882,14.3705,15.3802
3400.0000,14.4641,14.2735,14.4793,14.4722,14.3705,14.3412
3450.0000,14.4536,14.6717,14.4712,14.4428,14.3705,14.5612
3500.0000,14.4791,14.2483,14.3722,14.5103,14.5505,14.4255
3550.0000,14.4107,14.6341,14.5364,14.5062,14.3705,14.1433
3600.0000,14.3440,14.2726,14.5358,14.4330,14.3705,14.4528
3650.0000,14.4617,14.6189,14.4538,14.6932,14.3705,14.5597
3700.0000,14.4317,14.3007,14.2018,14.3028,14.5336,14.4265
3750.0000,14.4593,14.2505,14.3958,14.5522,14.5341,14.3956
3800.0000,14.4017,14.6186,14.4247,14.2442,14.7126,14.3845
3850.0000,14.4570,14.2604,14.3779,14.5550,14.3086,14.3743
3900.0000,14.4012,14.6119,14.5167,14.5178,14.3767,14.4267
3950.0000,14.4517,14.2380,14.5461,14.2294,14.2836,14.5495
4000.0000,14.4431,14.5905,14.2083,14.3734,14.5356,14.2999
4050.0000,14.4763,14.0326,14.2061,13.3802,13.9619,14.3857
4100.0000,14.2004,14.0710,12.8685,13.6928,13.9029,14.3181
4150.0000,11.2038,11.9168,7.6801,12.6744,7.9834,12.9574
4200.0000,11.6553,7.1910,7.3529,344.2807,14.1469,14.7528
4250.0000,10.5851,7.2934,439.1369,14.4902,247.8704,293.2523
4300.0000,14.3191,440.3131,14.3985,14.4691,14.3705,14.3708
4350.0000,14.5215,14.4103,14.5540,14.3668,14.3705,14.1370
4400.0000,14.4894,14.3958,14.4157,14.4934,14.6469,14.6469
4450.0000,14.4836,14.7561,14.1659,14.4198,14.3705,12.8427
4500.0000,14.4175,14.3471,14.4475,14.4475,14.3705,14.5248
4550.0000,14.4395,14.3832,14.5056,14.4514,14.3705,14.4934
4600.0000,14.1958,14.3629,14.4111,14.4525,14.3705,14.4808
4650.0000,14.4310,14.3561,14.4427,13.1972,14.4444,14.4192
4700.0000,14.4387,14.3512,14.4878,14.2373,14.5120,14.4809
4750.0000,14.4980,14.7347,14.5039,14.5411,14.3990,14.3522
4800.0000,14.4361,14.3390,14.4588,14.5325,14.4741,14.5871
4850.0000,14.4878,14.3542,14.4577,14.2469,14.3087,14.5099
4900.0000,14.4271,14.3528,14.2087,14.5300,14.8130,14.3099
4950.0000,14.4513,14.6353,14.4732,14.4985,14.6990,14.4101
5000.0000,14.3713,14.4118,14.4852,14.2307,14.4859,13.9847
5050.0000,14.3720,14.4220,14.3483,14.3808,14.1499,14.4931
5100.0000,14.0678,14.2375,14.1027,14.2400,12.3564,14.2874
5150.0000,9.9094,7.4583,7.8187,14.3384,10.9434,10.0702
5200.0000,9.3479,10.9891,8.2127,445.4712,12.6698,6.0700
5250.0000,10.0976,410.1930,405.8631,14.3729,11.8142,443.6913
5300.0000,427.4884,14.4280,14.2164,14.6559,432.1194,14.4661
