time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0.4712,0.5140,0.5480,0.1729,0.0726,0.2979
100.0000,1.0000,0.0000,0.6018,1.0000,0.0968,0.3986
150.0000,1.0000,0.0000,1.0000,0.4538,0.2222,0.4000
200.0000,1.0000,0.0716,1.0000,0.7531,1.0000,0.5000
250.0000,1.0000,0.2105,1.0000,0.5471,0.2353,0.8049
300.0000,1.0000,0.2008,0.4933,0.5471,1.0000,1.0000
350.0000,0.5733,0.3333,1.0000,0.5041,1.0000,1.0000
400.0000,0.5410,1.0000,0.6680,0.5412,0.2376,0.5000
450.0000,1.0000,0.5910,1.0000,0.5000,0.0000,0.1733
500.0000,0.6694,0.6005,1.0000,0.7531,0.0000,0.0000
550.0000,1.0000,1.0000,0.5740,0.6667,0.0000,0.7193
600.0000,0.5414,0.5869,0.6693,0.5798,0.0000,0.0000
650.0000,1.0000,1.0000,0.6694,1.0000,0.0000,0.0000
700.0000,0.5176,1.0000,0.5884,0.6040,0.0000,0.0000
750.0000,0.6680,0.7487,0.6733,0.4499,0.0000,0.0000
800.0000,1.0000,1.0000,1.0000,0.5515,0.0000,0.0000
850.0000,0.7515,0.6679,0.6027,1.0000,0.0000,0.0000
900.0000,1.0000,0.8017,1.0000,1.0000,0.0000,0.0000
950.0000,0.7530,0.9005,1.0000,1.0000,0.0491,0.0000
1000.0000,1.0000,1.0000,0.6733,0.6703,0.1355,0.1667
1050.0000,0.6017,1.0000,1.0000,1.0000,0.4253,0.2210
1100.0000,1.0000,0.0000,0.6680,1.0000,1.0000,0.3333
1150.0000,0.7515,0.0000,1.0000,1.0000,0.0298,0.7839
1200.0000,0.6027,0.0000,1.0000,1.0000,0.0000,0.2500
1250.0000,1.0000,0.0000,0.5586,0.6040,0.0000,0.5000
1300.0000,0.4644,0.0000,0.6017,0.5000,0.0000,0.2889
1350.0000,0.5772,0.0000,0.5452,0.5103,0.1667,0.3241
1400.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
1450.0000,0.6017,0.0000,1.0000,1.0000,0.0000,1.0000
1500.0000,1.0000,0.0000,0.6721,0.6958,0.0000,0.0827
1550.0000,1.0000,0.0000,0.5583,0.8592,0.2159,0.0000
1600.0000,1.0000,0.0000,1.0000,0.4745,1.0000,0.0000
1650.0000,0.5749,0.0000,1.0000,0.6040,0.2652,0.0928
1700.0000,0.6707,0.0000,1.0000,1.0000,0.2652,0.0000
1750.0000,0.7515,0.0000,1.0000,1.0000,0.2402,0.0000
1800.0000,0.5661,0.0000,0.5153,0.5177,0.6000,0.0000
1850.0000,1.0000,0.0000,0.6680,0.3946,0.6667,0.0000
1900.0000,1.0000,0.0000,1.0000,1.0000,0.2735,0.0000
1950.0000,1.0000,0.0000,1.0000,1.0000,0.1162,0.0239
2000.0000,0.6680,0.0000,1.0000,1.0000,0.3333,0.1160
2050.0000,0.5592,0.0000,0.6680,1.0000,0.5389,0.1869
