time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0.3490,0.3022,0.3726,0.0809,0.0090,0.1995
100.0000,0.5094,0.0000,0.4901,0.4819,0.0552,0.2986
150.0000,0.4728,0.0000,0.5439,0.3721,0.1240,0.1749
200.0000,0.5355,0.0100,0.5365,0.3678,0.3483,0.1769
250.0000,0.5219,0.1321,0.5556,0.4265,0.1618,0.4373
300.0000,0.4908,0.1385,0.3616,0.4362,0.3029,1.0000
350.0000,0.4495,0.1508,0.5189,0.3642,0.3242,0.7901
400.0000,0.4590,0.4658,0.5286,0.4364,0.1074,0.1843
450.0000,0.5317,0.4045,0.5625,0.3049,0.0000,0.0252
500.0000,0.4840,0.4375,0.6243,0.4776,0.0000,0.0000
550.0000,0.5528,0.5645,0.4713,0.4537,0.0000,0.3424
600.0000,0.4485,0.3910,0.4938,0.4300,0.0000,0.0000
650.0000,0.5629,0.8543,0.4425,0.4334,0.0000,0.0000
700.0000,0.4059,0.8864,0.4881,0.3722,0.0000,0.0000
750.0000,0.4941,0.5786,0.5014,0.3634,0.0000,0.0000
800.0000,0.5403,0.9031,0.5599,0.4086,0.0000,0.0000
850.0000,0.5206,0.5774,0.4086,0.6608,0.0000,0.0000
900.0000,0.4677,0.6208,0.5407,0.6537,0.0000,0.0000
950.0000,0.5249,0.8122,0.5171,0.6591,0.0215,0.0000
1000.0000,0.5261,0.9690,0.5193,0.6257,0.0615,0.0537
1050.0000,0.4805,1.0000,0.4990,0.7361,0.3496,0.1507
1100.0000,0.5141,0.0000,0.5097,0.7955,0.3268,0.1622
1150.0000,0.5115,0.0000,0.5270,0.8984,0.0039,0.4500
1200.0000,0.4873,0.0000,0.4835,0.4809,0.0000,0.1344
1250.0000,0.5205,0.0000,0.4232,0.3651,0.0000,0.1585
1300.0000,0.3001,0.0000,0.4924,0.3761,0.0000,0.1818
1350.0000,0.4775,0.0000,0.4476,0.4367,0.0668,0.1907
1400.0000,0.5536,0.0000,0.5680,0.4127,0.1107,1.0000
1450.0000,0.4861,0.0000,0.5900,0.4339,0.0000,0.6958
1500.0000,0.5134,0.0000,0.5097,0.4068,0.0000,0.0187
1550.0000,0.5971,0.0000,0.4269,0.4413,0.1260,0.0000
1600.0000,0.4935,0.0000,0.6409,0.4087,0.1589,0.0000
1650.0000,0.4514,0.0000,0.4823,0.3592,0.1531,0.0313
1700.0000,0.5013,0.0000,0.6008,0.5448,0.1449,0.0000
1750.0000,0.5347,0.0000,0.3633,0.4584,0.1604,0.0000
1800.0000,0.4652,0.0000,0.4051,0.3546,0.3405,0.0000
1850.0000,0.5242,0.0000,0.5222,0.2581,0.2183,0.0000
1900.0000,0.5190,0.0000,0.5625,0.6526,0.1871,0.0000
1950.0000,0.5892,0.0000,0.5641,0.6251,0.0633,0.0092
2000.0000,0.5300,0.0000,0.5712,0.6865,0.1796,0.0260
2050.0000,0.4397,0.0000,0.4630,0.7196,0.3738,0.1328
2100.0000,0.4774,0.0000,0.5459,0.8477,0.6780,0.1797
2150.0000,0.4824,0.0000,0.4566,0.9149,0.2308,0.1867
2200.0000,0.4577,0.0291,0.4170,0.3601,0.0649,0.2059
2250.0000,0.5202,0.0000,0.4206,0.4674,0.0000,0.9895
2300.0000,0.5182,0.0387,0.5387,0.4458,0.0000,0.1759
2350.0000,0.5812,0.0000,0.5126,0.2557,0.0000,0.2913
2400.0000,0.5151,0.0000,0.3905,0.4032,0.0397,0.0461
2450.0000,0.5395,0.0031,0.6101,0.3533,0.0155,0.0289
2500.0000,0.5861,0.0682,0.4926,0.3602,0.0329,0.9795
2550.0000,0.5294,0.1602,0.4773,0.3638,0.0015,0.0000
2600.0000,0.5021,0.2769,0.4955,0.5289,0.0307,0.0000
2650.0000,0.5045,0.1317,0.4740,0.4296,0.1042,0.0000
2700.0000,0.4397,0.1948,0.4218,0.5111,0.2131,0.0000
2750.0000,0.5252,0.0928,0.4479,0.3237,0.0868,0.0000
2800.0000,0.4394,0.2329,0.5495,0.4379,0.1071,0.0000
2850.0000,0.4645,0.2881,0.5362,0.6885,0.0701,0.0000
2900.0000,0.4227,0.0854,0.5252,0.6731,0.2105,0.0000
2950.0000,0.6168,0.0760,0.5279,0.5861,0.1993,0.0000
3000.0000,0.5567,0.2640,0.4553,0.7283,0.2332,0.0283
3050.0000,0.4742,0.3800,0.5211,0.7159,0.2113,0.2076
3100.0000,0.4696,0.2895,0.4790,0.7103,0.2776,0.4411
3150.0000,0.5556,0.4661,0.5178,0.9114,0.3477,0.0965
3200.0000,0.5502,0.5027,0.5832,0.4123,0.0265,0.1351
3250.0000,0.4451,0.6792,0.5009,0.3419,0.0125,0.1544
3300.0000,0.4825,0.5349,0.5817,0.4326,0.0000,0.1678
3350.0000,0.4672,0.4812,0.4865,0.3220,0.0000,0.9911
3400.0000,0.5619,0.6286,0.4258,0.4397,0.0000,0.0735
3450.0000,0.5786,0.6151,0.4759,0.5091,0.0000,0.0000
3500.0000,0.5622,0.4902,0.5227,0.4864,0.0853,0.0000
