time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100.0000,0.3375,0.0000,0.0000,0.3789,0.0000,0.0000
150.0000,0.2546,0.0000,0.4783,0.0000,0.0000,0.0000
200.0000,0.4464,0.0000,0.4005,0.0000,0.1474,0.0000
250.0000,0.4137,0.0000,0.4644,0.0000,0.0000,0.0000
300.0000,0.3306,0.0000,0.0000,0.0000,0.1119,1.0000
350.0000,0.0000,0.0000,0.3340,0.0000,0.1667,0.5643
400.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000
450.0000,0.4188,0.0000,0.4740,0.0000,0.0000,0.0000
500.0000,0.0000,0.0000,0.5158,0.0000,0.0000,0.0000
550.0000,0.4498,0.2497,0.0000,0.0000,0.0000,0.0000
600.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
650.0000,0.4663,0.7508,0.0000,0.2521,0.0000,0.0000
700.0000,0.0000,0.7503,0.0000,0.0000,0.0000,0.0000
750.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.0000,0.4472,0.8247,0.4754,0.0000,0.0000,0.0000
850.0000,0.0000,0.0000,0.0000,0.5072,0.0000,0.0000
900.0000,0.1680,0.0000,0.4061,0.5000,0.0000,0.0000
950.0000,0.0000,0.0000,0.2882,0.5016,0.0000,0.0000
1000.0000,0.3422,0.9234,0.0000,0.0000,0.0000,0.0000
1050.0000,0.0000,1.0000,0.3357,0.6703,0.0000,0.0000
1100.0000,0.4029,0.0000,0.0000,0.5000,0.2075,0.0000
1150.0000,0.0000,0.0000,0.3421,0.7500,0.0000,0.0000
1200.0000,0.0000,0.0000,0.2025,0.3627,0.0000,0.0000
1250.0000,0.3890,0.0000,0.0000,0.0000,0.0000,0.0000
1300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1350.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1400.0000,0.4054,0.0000,0.4720,0.3213,0.0385,1.0000
1450.0000,0.0000,0.0000,0.5050,0.3530,0.0000,0.4063
1500.0000,0.3395,0.0000,0.0000,0.0000,0.0000,0.0000
1550.0000,0.4919,0.0000,0.0000,0.0000,0.0000,0.0000
1600.0000,0.2512,0.0000,0.5262,0.0000,0.0632,0.0000
1650.0000,0.0000,0.0000,0.2529,0.0000,0.0000,0.0000
1700.0000,0.0000,0.0000,0.5047,0.4621,0.0000,0.0000
1750.0000,0.0000,0.0000,0.1139,0.3765,0.0000,0.0000
1800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1850.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000
1900.0000,0.3354,0.0000,0.4929,0.5024,0.0000,0.0000
1950.0000,0.4842,0.0000,0.4343,0.3369,0.0000,0.0000
2000.0000,0.0000,0.0000,0.4650,0.6332,0.0000,0.0000
2050.0000,0.0000,0.0000,0.0000,0.6681,0.0000,0.0000
2100.0000,0.0000,0.0000,0.4054,0.7833,0.5669,0.0000
2150.0000,0.3138,0.0000,0.0000,0.8008,0.0000,0.0000
2200.0000,0.1446,0.0000,0.0000,0.2155,0.0000,0.0000
2250.0000,0.0000,0.0000,0.0000,0.3670,0.0000,0.9282
2300.0000,0.3368,0.0000,0.4395,0.0000,0.0000,0.0928
2350.0000,0.0000,0.0000,0.3395,0.0000,0.0000,0.1703
2400.0000,0.0000,0.0000,0.1305,0.0000,0.0000,0.0000
2450.0000,0.0000,0.0000,0.5303,0.0000,0.0000,0.0000
2500.0000,0.5042,0.0000,0.0000,0.0000,0.0000,0.8695
2550.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2600.0000,0.0000,0.1333,0.0000,0.3557,0.0000,0.0000
2650.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2700.0000,0.0000,0.1111,0.0000,0.0000,0.1092,0.0000
