time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0.1451,0.1463,0.1229,0.0640,0.0203,0.0765
100.0000,0.1113,0.0000,0.1070,0.0733,0.0348,0.0643
150.0000,0.0914,0.0000,0.0769,0.0625,0.0500,0.0480
200.0000,0.0785,0.0192,0.0777,0.0715,0.1195,0.0421
250.0000,0.0882,0.0672,0.0715,0.0632,0.0749,0.2591
300.0000,0.0940,0.0532,0.1553,0.0667,0.1240,0.0000
350.0000,0.1063,0.0649,0.0788,0.0657,0.1003,0.1597
400.0000,0.1086,0.1111,0.0844,0.0798,0.0545,0.0589
450.0000,0.1061,0.1538,0.0847,0.0696,0.0000,0.0288
500.0000,0.0799,0.1532,0.1270,0.0753,0.0000,0.0000
550.0000,0.1088,0.1037,0.0789,0.0557,0.0000,0.3068
600.0000,0.1303,0.1601,0.0825,0.0880,0.0000,0.0000
650.0000,0.1017,0.0910,0.0990,0.0647,0.0000,0.0000
700.0000,0.1401,0.0594,0.1338,0.0495,0.0000,0.0000
750.0000,0.0849,0.1226,0.0884,0.0685,0.0000,0.0000
800.0000,0.0768,0.0665,0.1096,0.1036,0.0000,0.0000
850.0000,0.0964,0.1336,0.1064,0.0736,0.0000,0.0000
900.0000,0.1100,0.2213,0.1041,0.0579,0.0000,0.0000
950.0000,0.0899,0.1477,0.1167,0.0739,0.0181,0.0000
1000.0000,0.1069,0.0291,0.0848,0.0928,0.0373,0.0225
1050.0000,0.0784,0.0000,0.1169,0.0606,0.0887,0.0621
1100.0000,0.0964,0.0000,0.0819,0.0576,0.0827,0.0429
1150.0000,0.0890,0.0000,0.0800,0.0361,0.0090,0.2838
1200.0000,0.1101,0.0000,0.1009,0.1087,0.0000,0.0392
1250.0000,0.0837,0.0000,0.1022,0.0496,0.0000,0.0574
1300.0000,0.1594,0.0000,0.0821,0.0571,0.0000,0.0442
1350.0000,0.1081,0.0000,0.1319,0.0918,0.0357,0.0527
1400.0000,0.1025,0.0000,0.1040,0.0948,0.1471,0.0000
1450.0000,0.1080,0.0000,0.1155,0.1137,0.0000,0.2148
1500.0000,0.0828,0.0000,0.0849,0.1083,0.0000,0.0162
1550.0000,0.1190,0.0000,0.1397,0.1029,0.0697,0.0000
1600.0000,0.0918,0.0000,0.1385,0.0726,0.1344,0.0000
1650.0000,0.1037,0.0000,0.1250,0.0714,0.0555,0.0228
1700.0000,0.0828,0.0000,0.1064,0.0622,0.0567,0.0000
