time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,8,10,9,0,461,30
100.0000,7,31,7,0,459,64
150.0000,9,51,7,0,455,86
200.0000,9,70,7,0,448,110
250.0000,10,83,6,0,428,115
300.0000,9,96,11,0,415,74
350.0000,9,110,10,0,398,22
400.0000,8,112,10,0,384,32
450.0000,8,115,11,0,381,33
500.0000,7,110,9,0,381,33
550.0000,9,109,9,0,381,33
600.0000,9,108,9,0,381,0
650.0000,9,103,11,0,381,0
700.0000,8,92,11,0,381,0
750.0000,10,81,10,0,381,0
800.0000,7,72,8,317,381,0
850.0000,7,60,10,309,381,0
900.0000,8,54,10,294,381,0
950.0000,9,43,9,280,374,0
1000.0000,7,26,7,265,347,9
1050.0000,7,8,11,248,226,37
1100.0000,8,0,10,227,72,55
1150.0000,7,0,10,158,1617,57
1200.0000,7,0,9,0,1555,24
1250.0000,6,0,11,0,1508,47
1300.0000,11,1,9,0,1501,69
1350.0000,11,0,8,0,1500,84
1400.0000,10,2,9,0,1497,72
1450.0000,10,1,8,0,1496,20
1500.0000,11,3,8,0,1496,1
1550.0000,10,2,10,0,1496,1
1600.0000,9,4,8,0,1484,1
1650.0000,12,3,8,0,1477,1
1700.0000,11,5,7,0,1469,0
1750.0000,10,4,11,0,1463,0
1800.0000,10,6,10,0,1452,0
1850.0000,9,5,10,376,1435,0
1900.0000,9,22,8,372,1425,0
1950.0000,9,43,10,357,1409,2
2000.0000,8,64,9,341,1348,5
2050.0000,10,84,10,327,1099,26
2100.0000,10,105,8,304,650,45
2150.0000,11,126,7,240,209,67
2200.0000,10,144,8,0,36,82
2250.0000,9,165,8,0,1500,47
2300.0000,9,184,8,0,1500,29
2350.0000,10,205,6,0,1500,51
2400.0000,9,225,11,0,1500,57
2450.0000,10,245,8,0,1498,58
2500.0000,8,258,8,0,1497,44
2550.0000,9,272,8,0,1496,0
2600.0000,9,283,8,0,1495,0
2650.0000,9,296,8,0,1492,0
2700.0000,8,311,9,0,1486,0
2750.0000,8,325,8,0,1477,0
2800.0000,6,337,8,391,1469,0
2850.0000,11,347,8,383,1462,0
2900.0000,10,361,7,367,1458,0
2950.0000,9,376,6,354,1443,0
3000.0000,9,388,6,340,1379,6
3050.0000,9,396,6,323,1121,31
3100.0000,9,404,11,290,735,33
3150.0000,9,404,12,240,274,23
3200.0000,8,403,13,13,62,43
3250.0000,10,399,11,0,3,65
3300.0000,9,394,9,0,1500,72
3350.0000,8,391,10,0,1500,46
3400.0000,9,387,8,0,1500,10
3450.0000,9,384,11,0,1500,10
3500.0000,7,381,11,0,1499,10
3550.0000,6,382,11,0,1499,10
3600.0000,8,382,10,0,1497,0
3650.0000,9,379,10,0,1496,0
3700.0000,8,377,8,401,1496,0
3750.0000,10,373,8,400,1488,0
3800.0000,8,373,8,389,1477,0
3850.0000,7,375,11,375,1473,0
3900.0000,9,376,11,361,1468,0
3950.0000,7,374,10,348,1451,2
4000.0000,9,375,10,335,1395,9
4050.0000,7,377,9,319,1152,32
4100.0000,8,377,11,292,700,54
4150.0000,7,371,9,240,276,60
4200.0000,7,362,8,31,53,21
4250.0000,6,352,8,0,1500,46
4300.0000,13,338,9,0,1500,67
4350.0000,11,326,11,0,1500,76
4400.0000,11,314,9,0,1500,73
4450.0000,11,304,9,0,1500,20
4500.0000,11,291,9,0,1500,2
4550.0000,10,278,8,0,1499,2
4600.0000,9,265,8,0,1499,2
4650.0000,8,254,6,425,1499,2
4700.0000,13,244,11,420,1490,0
4750.0000,9,232,12,406,1482,0
4800.0000,9,226,11,395,1477,0
4850.0000,10,215,8,381,1470,0
4900.0000,10,210,10,367,1459,0
4950.0000,9,197,8,355,1444,2
5000.0000,8,186,8,343,1381,9
5050.0000,11,170,7,329,1149,25
5100.0000,10,153,9,308,695,42
5150.0000,11,139,8,250,282,60
5200.0000,10,125,9,76,39,79
5250.0000,9,110,9,0,4,54
5300.0000,9,95,9,0,1500,25
5350.0000,8,81,7,0,1500,44
5400.0000,8,65,7,0,1500,49
5450.0000,10,50,6,0,1500,51
5500.0000,9,34,11,0,1500,33
5550.0000,8,18,9,0,1499,0
5600.0000,8,0,8,0,1499,0
5650.0000,7,1,8,0,1497,0
5700.0000,7,0,9,0,1493,0
5750.0000,8,2,8,409,1484,0
5800.0000,7,1,7,396,1474,0
5850.0000,10,3,8,382,1465,0
5900.0000,10,7,9,368,1457,0
5950.0000,9,28,7,355,1445,0
6000.0000,10,49,7,339,1379,10
6050.0000,9,70,7,326,1140,35
6100.0000,9,90,8,302,688,35
6150.0000,8,111,8,247,246,17
6200.0000,10,131,7,39,39,34
