time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,5.1961,2.9333,3.7273,0.0000,83.0569,10.0362
100.0000,5.2653,20.0000,4.7000,0.0000,457.0755,48.7744
150.0000,5.8163,40.7317,3.9800,0.0000,451.5385,75.2154
200.0000,6.2449,61.1667,4.1000,0.0000,439.2812,97.1846
250.0000,6.1020,75.9268,2.4407,0.0000,422.8644,102.5352
300.0000,5.7551,89.5610,8.5714,0.0000,407.8333,48.5000
350.0000,5.6122,102.0976,7.6531,0.0000,390.6780,8.7113
400.0000,5.6250,110.0244,7.5417,0.0000,381.3418,26.7313
450.0000,4.8980,111.4634,7.4286,0.0000,381.0000,32.9630
500.0000,4.4694,107.6829,6.7000,0.0000,381.0000,33.0000
550.0000,4.6531,106.6585,6.7083,0.0000,381.0000,19.4118
600.0000,6.5510,105.1750,6.0612,0.0000,381.0000,0.0000
650.0000,5.7551,97.1951,7.7551,0.0000,381.0000,0.0000
700.0000,5.9796,84.3902,7.2449,0.0000,381.0000,0.0000
750.0000,5.4694,77.0750,7.0000,0.0000,381.0000,0.0000
800.0000,4.9184,64.8780,6.0000,127.3457,381.0000,0.0000
850.0000,4.5000,55.5500,7.2041,301.3137,381.0000,0.0000
900.0000,4.1224,47.8780,6.4898,286.2692,380.0125,0.0000
950.0000,6.6327,35.4500,6.3333,272.3462,364.7467,0.0000
1000.0000,4.6122,17.4000,5.1633,256.0189,298.0133,3.6449
1050.0000,4.3400,0.1048,6.6939,237.5769,142.7294,20.5344
1100.0000,4.7959,0.0000,7.5714,195.4767,28.8485,47.1221
1150.0000,4.5306,0.0000,6.7347,74.9274,244.7419,31.0792
1200.0000,3.9796,0.0000,6.5000,0.0000,1524.2500,12.7385
1250.0000,2.7708,0.0000,6.6600,0.0000,1504.2642,33.9615
1300.0000,8.3800,1.0000,5.8980,0.0000,1500.2885,58.9000
1350.0000,8.0204,0.0000,5.5833,0.0000,1498.3846,78.1111
1400.0000,7.8333,2.0000,5.9592,0.0000,1496.2885,46.5000
1450.0000,7.0204,1.0000,5.7400,0.0000,1496.0000,2.0792
1500.0000,7.9388,3.0000,5.3333,0.0000,1496.0000,0.9118
1550.0000,6.7347,2.0000,6.0612,0.0000,1491.7170,1.0000
1600.0000,6.3469,4.0000,5.1837,0.0000,1481.5818,1.0000
1650.0000,6.9388,3.0000,5.3265,0.0000,1472.7963,0.1852
1700.0000,7.8750,5.0000,4.2857,0.0000,1465.1852,0.0000
1750.0000,6.9592,4.0000,7.4898,0.0000,1457.7963,0.0000
1800.0000,7.0612,6.0000,6.8163,0.0000,1443.1321,0.0000
1850.0000,5.7347,5.0000,6.8367,43.3571,1429.6545,0.0000
1900.0000,6.4898,14.0000,5.7551,363.9615,1418.6296,0.0000
1950.0000,6.1020,32.5000,6.7959,349.0000,1389.2075,0.8815
2000.0000,5.5102,53.2683,5.5510,333.4615,1244.6333,2.1778
2050.0000,6.4286,73.7317,5.9796,316.6604,876.8846,13.9925
2100.0000,6.9388,94.5000,6.0000,272.9390,409.5843,36.4031
2150.0000,7.2041,115.2683,5.3265,121.1847,107.3383,56.2385
2200.0000,6.0408,134.8537,4.9796,0.0000,12.4540,72.2188
2250.0000,6.8750,154.2683,5.6122,0.0000,386.1468,18.2857
2300.0000,5.8980,173.9512,4.7347,0.0000,1500.0000,16.1385
2350.0000,5.7551,194.2683,3.8750,0.0000,1500.0000,43.2137
2400.0000,4.9184,214.7317,6.5102,0.0000,1499.0000,54.4667
2450.0000,6.9796,235.1463,5.7143,0.0000,1497.4423,56.9652
2500.0000,5.8571,252.6829,5.6531,0.0000,1496.1731,15.4688
2550.0000,5.7551,264.3500,5.0612,0.0000,1495.9231,0.0000
2600.0000,5.3265,277.0976,5.3265,0.0000,1494.0566,0.0000
2650.0000,6.5714,289.2683,5.3061,0.0000,1488.9818,0.0000
2700.0000,5.1667,303.0488,4.9592,0.0000,1481.8727,0.0000
2750.0000,5.3673,318.5500,5.3061,0.0000,1474.2264,0.0000
2800.0000,4.0816,329.3659,4.9592,180.8831,1465.5179,0.0000
2850.0000,7.2041,342.2683,4.8980,375.2692,1459.8772,0.0000
2900.0000,6.8571,354.2439,3.9796,360.3922,1451.5091,0.0000
2950.0000,6.8367,369.0000,4.5000,346.3889,1419.6038,0.0000
3000.0000,6.2449,380.1463,3.8776,330.6154,1270.3704,2.4745
3050.0000,6.6735,390.8049,3.1633,307.8793,946.4833,19.7121
3100.0000,6.1224,399.9756,4.8305,266.9722,499.1136,13.6132
3150.0000,6.4286,402.3750,8.7755,128.4979,141.9478,11.5191
3200.0000,5.1429,401.3500,8.4694,0.6594,25.6037,32.6308
3250.0000,6.4286,396.3171,8.2500,0.0000,2.2000,53.6846
3300.0000,5.5918,391.2000,6.7755,0.0000,57.5660,65.9697
3350.0000,5.3333,387.9756,7.3265,0.0000,1500.0000,18.1667
3400.0000,5.4082,383.6750,6.4490,0.0000,1500.0000,6.4621
3450.0000,5.4694,381.9756,7.2449,0.0000,1500.0000,10.0000
3500.0000,4.6327,378.4500,6.4898,0.0000,1499.0000,10.0000
3550.0000,4.2041,380.5854,8.0204,0.0000,1497.6154,8.5294
3600.0000,5.1633,379.1500,7.2653,0.0000,1496.1731,0.0000
