time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0,0,0,0,0,0
100.0000,3,9,2,0,455,30
150.0000,2,30,1,0,449,64
200.0000,4,51,1,0,428,86
250.0000,3,69,0,0,416,75
300.0000,3,82,6,0,399,23
350.0000,2,95,5,0,384,0
400.0000,3,108,5,0,381,16
450.0000,2,107,4,0,381,32
500.0000,2,106,4,0,381,33
550.0000,1,105,4,0,381,0
600.0000,4,102,4,0,381,0
650.0000,3,92,3,0,381,0
700.0000,3,79,5,0,381,0
750.0000,2,73,4,0,381,0
800.0000,3,58,4,0,381,0
850.0000,2,52,3,293,381,0
900.0000,1,43,4,279,376,0
950.0000,4,27,3,264,348,0
1000.0000,2,9,3,248,232,0
1050.0000,2,0,2,227,73,9
1100.0000,1,0,5,159,5,37
1150.0000,2,0,4,0,0,0
1200.0000,1,0,4,0,1508,3
1250.0000,0,0,3,0,1501,24
1300.0000,3,1,3,0,1500,47
1350.0000,5,0,3,0,1498,69
1400.0000,5,2,2,0,1496,21
1450.0000,4,1,3,0,1496,0
1500.0000,5,3,3,0,1496,0
1550.0000,4,2,2,0,1485,1
1600.0000,4,4,3,0,1477,1
1650.0000,3,3,2,0,1469,0
1700.0000,5,5,2,0,1463,0
1750.0000,4,4,1,0,1452,0
1800.0000,4,6,4,0,1435,0
1850.0000,3,5,4,0,1426,0
1900.0000,4,6,3,356,1409,0
1950.0000,3,22,4,341,1352,0
2000.0000,3,43,3,326,1108,0
2050.0000,2,63,2,305,659,4
2100.0000,5,84,4,241,215,26
2150.0000,4,105,3,0,36,45
2200.0000,3,125,2,0,2,48
2250.0000,5,144,3,0,1,0
2300.0000,3,164,2,0,1500,6
2350.0000,3,184,2,0,1500,30
2400.0000,2,204,1,0,1498,51
2450.0000,4,225,3,0,1497,45
2500.0000,3,244,3,0,1496,0
2550.0000,3,258,2,0,1495,0
2600.0000,2,271,3,0,1492,0
2650.0000,4,282,2,0,1487,0
2700.0000,3,295,2,0,1477,0
2750.0000,2,310,1,0,1469,0
2800.0000,2,324,3,0,1462,0
2850.0000,1,336,2,367,1458,0
2900.0000,4,346,1,353,1443,0
2950.0000,4,361,2,339,1380,0
3000.0000,3,375,1,323,1132,0
3050.0000,4,387,1,289,744,6
3100.0000,3,396,0,241,275,0
3150.0000,4,400,6,14,62,4
3200.0000,2,400,5,0,5,23
3250.0000,4,393,6,0,1,43
3300.0000,3,388,5,0,1,47
3350.0000,3,385,4,0,1500,0
3400.0000,2,381,4,0,1500,2
3450.0000,3,378,4,0,1500,10
3500.0000,2,375,3,0,1499,10
3550.0000,2,379,5,0,1497,0
3600.0000,1,376,5,0,1496,0
3650.0000,3,375,4,0,1496,0
3700.0000,3,370,4,0,1488,0
3750.0000,2,368,3,389,1478,0
3800.0000,2,367,3,374,1473,0
3850.0000,2,371,2,361,1468,0
3900.0000,1,370,5,348,1451,0
3950.0000,3,368,5,334,1396,0
4000.0000,2,370,4,318,1158,1
4050.0000,1,371,4,293,715,9
4100.0000,3,370,3,240,280,32
4150.0000,2,361,4,32,53,5
4200.0000,1,352,3,0,7,0
4250.0000,1,338,3,0,1,21
4300.0000,0,325,2,0,1500,46
4350.0000,6,313,4,0,1500,67
4400.0000,5,304,3,0,1500,21
4450.0000,5,291,3,0,1500,0
4500.0000,4,278,2,0,1499,2
4550.0000,5,264,3,0,1499,2
4600.0000,4,253,2,0,1499,2
4650.0000,4,244,2,0,1490,0
4700.0000,3,232,1,405,1482,0
4750.0000,5,223,5,393,1477,0
4800.0000,4,214,4,381,1470,0
4850.0000,4,209,4,366,1459,0
4900.0000,3,197,3,354,1444,0
4950.0000,4,186,4,342,1381,0
5000.0000,3,171,3,328,1157,0
5050.0000,2,154,3,307,706,1
5100.0000,5,140,2,251,284,25
5150.0000,4,126,4,77,40,42
5200.0000,5,110,3,0,4,55
5250.0000,3,95,2,0,1,0
5300.0000,4,80,3,0,1,4
5350.0000,3,65,3,0,1500,25
5400.0000,3,50,2,0,1500,44
5450.0000,2,34,1,0,1500,34
5500.0000,4,18,4,0,1499,0
5550.0000,3,0,3,0,1499,0
5600.0000,3,0,3,0,1497,0
5650.0000,2,1,2,0,1493,0
5700.0000,3,0,3,0,1485,0
5750.0000,2,2,2,0,1474,0
5800.0000,2,1,2,382,1465,0
5850.0000,1,3,1,367,1457,0
5900.0000,5,2,2,355,1446,0
5950.0000,4,7,2,339,1382,0
6000.0000,3,28,2,325,1147,0
6050.0000,4,48,1,302,703,10
6100.0000,3,69,2,248,257,0
6150.0000,3,90,1,40,39,3
6200.0000,2,110,1,0,1,17
6250.0000,4,131,1,0,1,34
6300.0000,3,151,0,0,1500,40
6350.0000,3,171,6,0,1500,0
6400.0000,2,191,5,0,1500,3
6450.0000,3,212,4,0,1500,6
6500.0000,2,231,5,0,1499,7
6550.0000,2,249,5,0,1498,0
6600.0000,1,263,4,0,1496,0
6650.0000,4,275,4,0,1489,0
6700.0000,3,291,3,416,1485,0
6750.0000,3,301,5,405,1476,0
6800.0000,2,317,4,393,1469,0
6850.0000,3,334,4,382,1457,0
6900.0000,2,345,3,368,1443,0
6950.0000,2,356,4,354,1389,0
7000.0000,1,372,3,337,1180,2
7050.0000,2,382,3,315,730,8
7100.0000,2,393,2,267,295,30
7150.0000,2,409,5,0,56,0
7200.0000,1,413,4,0,4,7
7250.0000,2,414,4,0,1,18
7300.0000,1,415,4,0,1500,41
7350.0000,1,416,3,0,1500,59
7400.0000,0,412,3,0,1498,7
7450.0000,6,404,3,0,1498,0
7500.0000,5,397,2,0,1497,1
7550.0000,5,394,4,0,1495,1
7600.0000,4,391,3,0,1493,0
7650.0000,5,391,3,0,1485,0
7700.0000,4,386,2,0,1472,0
7750.0000,4,384,3,415,1466,0
7800.0000,3,387,2,402,1455,0
7850.0000,5,382,1,386,1447,0
7900.0000,4,377,5,373,1431,0
7950.0000,4,373,4,361,1374,0
8000.0000,3,367,4,348,1139,0
8050.0000,3,366,3,322,693,2
8100.0000,3,368,4,263,263,28
8150.0000,2,368,3,1,52,45
8200.0000,5,362,3,0,5,21
8250.0000,4,352,2,0,1,0
8300.0000,4,340,4,0,1,14
8350.0000,3,328,3,0,1500,36
8400.0000,4,312,2,0,1498,62
8450.0000,3,302,4,0,1497,26
8500.0000,3,289,2,0,1496,0
8550.0000,3,281,2,0,1496,0
8600.0000,2,271,1,0,1496,0
8650.0000,4,261,4,0,1489,0
8700.0000,3,251,3,411,1474,0
8750.0000,3,243,3,400,1463,0
8800.0000,3,229,2,387,1455,0
8850.0000,2,215,3,373,1444,0
8900.0000,2,205,2,361,1436,0
