time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,1.4283,2.5854,2.9053,0.0000,175.8614,10.2748
100.0000,1.0454,6.1373,1.1358,0.0000,1.4647,9.3033
150.0000,1.7575,5.9634,1.2408,0.0000,1.8446,6.4581
200.0000,1.0791,5.6312,1.3601,0.0000,6.5442,6.5278
250.0000,1.5152,3.6183,1.6700,0.0000,3.4565,12.6233
300.0000,1.4919,3.8385,1.1780,0.0000,5.7740,15.0083
350.0000,1.5755,4.1778,1.0212,0.0000,4.2603,5.3592
400.0000,1.0129,0.8407,1.0985,0.0000,0.8250,4.9251
450.0000,1.3131,1.9767,1.5649,0.0000,0.0000,0.1889
500.0000,1.0518,0.9484,1.2042,0.0000,0.0000,0.0000
550.0000,1.9954,1.1177,1.0400,0.0000,0.0000,13.9058
600.0000,1.2299,1.7013,1.0768,0.0000,0.0000,0.0000
650.0000,1.1523,2.8389,1.9223,0.0000,0.0000,0.0000
700.0000,1.2204,3.9067,1.3781,0.0000,0.0000,0.0000
750.0000,1.6794,2.2955,1.1902,0.0000,0.0000,0.0000
800.0000,0.9864,3.8394,0.9035,153.5918,0.0000,0.0000
850.0000,1.0408,2.2798,1.5516,4.5092,0.0000,0.0000
900.0000,1.4233,3.2922,1.2474,4.3814,1.5771,0.0000
950.0000,1.4098,4.6365,1.5184,4.3318,7.0220,0.0000
1000.0000,1.1215,4.9437,0.9334,4.5204,35.6444,2.6232
1050.0000,1.1935,0.7635,2.5250,5.8387,47.4263,8.1046
1100.0000,1.6286,0.0000,1.0302,20.1551,20.4122,5.2539
1150.0000,1.1267,0.0000,1.2252,49.7767,571.3672,21.6437
1200.0000,1.2534,0.0000,1.2583,0.0000,13.8062,6.6107
1250.0000,1.2457,0.0000,1.7845,0.0000,2.2416,6.5120
1300.0000,1.6111,0.0000,1.2163,0.0000,0.4530,6.3608
1350.0000,1.2856,0.0000,1.2555,0.0000,0.6550,4.2663
1400.0000,1.1785,0.0000,1.8066,0.0000,0.4530,15.0083
1450.0000,1.4068,0.0000,1.1101,0.0000,0.0000,4.9084
1500.0000,1.2521,0.0000,1.2134,0.0000,0.0000,0.2836
1550.0000,1.1566,0.0000,2.0445,0.0000,3.6979,0.0000
1600.0000,1.0983,0.0000,1.2067,0.0000,2.2295,0.0000
1650.0000,2.0445,0.0000,1.3308,0.0000,2.5990,0.3884
1700.0000,1.2183,0.0000,1.2778,0.0000,1.8961,0.0000
1750.0000,1.2771,0.0000,1.9807,0.0000,3.7386,0.0000
1800.0000,1.3463,0.0000,1.2725,0.0000,4.8914,0.0000
1850.0000,1.2252,0.0000,1.2011,119.6490,2.7845,0.0000
1900.0000,1.0714,4.6368,1.1523,4.7756,4.6519,0.0000
1950.0000,1.3739,6.0759,1.2286,4.4246,18.0600,0.9031
2000.0000,1.2142,5.9634,1.2299,4.2220,73.7898,1.0602
2050.0000,2.1571,5.9634,2.1428,6.6615,133.8340,7.1129
2100.0000,1.1851,6.0759,1.1429,19.4537,128.9697,5.3794
