time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,695,739,710,731,747,750
100.0000,1449,1485,1450,1430,1483,1498
150.0000,1451,1488,1452,1430,1493,1498
200.0000,1428,1488,1427,1383,1486,1498
250.0000,1403,1485,1402,1340,1466,1498
300.0000,1378,1478,1379,1294,1453,1457
350.0000,1354,1470,1355,1245,1436,1405
400.0000,1330,1463,1332,1205,1422,1383
450.0000,1305,1445,1307,1160,1419,1383
500.0000,1281,1421,1283,1118,1419,1383
550.0000,1256,1400,1257,1072,1419,1383
600.0000,1233,1377,1233,1023,1419,1350
650.0000,1208,1355,1208,979,1419,1350
700.0000,1183,1323,1185,935,1419,1350
750.0000,1159,1291,1160,895,1419,1350
800.0000,1134,1263,1135,853,1419,1350
850.0000,1110,1229,1110,815,1419,1350
900.0000,1082,1203,1086,781,1419,1350
950.0000,1059,1170,1056,745,1411,1344
1000.0000,1004,1116,1008,681,1367,1301
1050.0000,1257,1413,1278,1067,1482,1394
1100.0000,1676,1769,1716,1599,1786,1751
1150.0000,1674,1768,1719,1602,1782,1751
1200.0000,1498,1562,1545,1498,1555,1517
1250.0000,1435,1508,1504,1443,1508,1473
1300.0000,1406,1499,1500,1405,1501,1468
1350.0000,1383,1499,1500,1359,1500,1468
1400.0000,1358,1499,1500,1305,1497,1456
1450.0000,1334,1499,1500,1260,1496,1404
1500.0000,1309,1499,1500,1215,1496,1384
1550.0000,1285,1499,1500,1173,1496,1384
1600.0000,1259,1499,1500,1131,1484,1384
1650.0000,1235,1499,1500,1083,1477,1384
1700.0000,1212,1499,1500,1035,1469,1383
1750.0000,1188,1499,1500,982,1463,1383
1800.0000,1163,1499,1500,938,1452,1383
1850.0000,1137,1499,1500,897,1435,1383
1900.0000,1113,1499,1500,861,1425,1383
1950.0000,1082,1494,1490,822,1409,1376
2000.0000,1011,1445,1431,760,1348,1334
2050.0000,1265,1463,1493,1096,1356,1412
2100.0000,1650,1759,1759,1589,1715,1769
2150.0000,1650,1758,1760,1596,1709,1774
2200.0000,1489,1553,1562,1498,1536,1559
2250.0000,1436,1503,1503,1454,1502,1489
2300.0000,1406,1500,1500,1403,1500,1439
2350.0000,1384,1500,1500,1353,1500,1439
2400.0000,1358,1500,1500,1312,1500,1439
2450.0000,1335,1500,1500,1264,1498,1439
2500.0000,1309,1500,1500,1217,1497,1425
2550.0000,1285,1500,1500,1177,1496,1381
2600.0000,1260,1500,1500,1131,1495,1381
2650.0000,1236,1500,1500,1079,1492,1381
2700.0000,1210,1500,1500,1032,1486,1381
2750.0000,1187,1500,1500,986,1477,1381
2800.0000,1161,1500,1500,942,1469,1381
2850.0000,1136,1500,1500,908,1462,1381
2900.0000,1112,1500,1499,874,1458,1381
2950.0000,1084,1495,1493,839,1443,1375
3000.0000,1012,1439,1444,785,1379,1318
3050.0000,1229,1496,1492,1112,1474,1443
3100.0000,1669,1801,1755,1598,1773,1751
3150.0000,1667,1798,1766,1612,1774,1753
3200.0000,1489,1565,1526,1501,1562,1564
3250.0000,1432,1508,1472,1463,1503,1496
3300.0000,1403,1500,1449,1417,1501,1488
3350.0000,1376,1500,1438,1369,1500,1464
3400.0000,1353,1500,1423,1325,1500,1418
3450.0000,1329,1500,1408,1276,1500,1418
3500.0000,1304,1500,1390,1221,1499,1418
3550.0000,1280,1500,1373,1171,1499,1418
3600.0000,1255,1500,1358,1132,1497,1408
3650.0000,1231,1500,1345,1084,1496,1408
3700.0000,1206,1500,1329,1040,1496,1408
3750.0000,1181,1500,1316,991,1488,1408
3800.0000,1158,1500,1299,959,1477,1408
3850.0000,1133,1500,1284,927,1473,1408
3900.0000,1107,1500,1271,894,1468,1408
3950.0000,1074,1492,1249,858,1451,1404
4000.0000,1016,1424,1198,794,1395,1350
4050.0000,1233,1458,1386,1076,1439,1457
4100.0000,1675,1766,1773,1601,1765,1764
4150.0000,1671,1762,1779,1604,1776,1767
4200.0000,1498,1550,1563,1501,1553,1529
4250.0000,1431,1503,1508,1463,1507,1480
4300.0000,1402,1501,1500,1413,1500,1471
4350.0000,1381,1500,1500,1365,1500,1471
4400.0000,1355,1500,1500,1329,1500,1468
4450.0000,1331,1500,1500,1290,1500,1415
4500.0000,1306,1500,1500,1252,1500,1395
4550.0000,1282,1500,1500,1205,1499,1395
4600.0000,1257,1500,1500,1167,1499,1395
4650.0000,1232,1500,1500,1126,1499,1395
4700.0000,1208,1500,1500,1081,1490,1393
4750.0000,1185,1500,1500,1049,1482,1393
4800.0000,1159,1500,1500,1017,1477,1393
4850.0000,1136,1500,1500,984,1470,1393
4900.0000,1110,1500,1500,952,1459,1392
4950.0000,1082,1493,1497,917,1444,1385
5000.0000,1020,1431,1447,863,1381,1326
5050.0000,1224,1569,1483,1148,1435,1479
5100.0000,1654,1783,1784,1632,1784,1761
5150.0000,1652,1775,1783,1644,1782,1758
5200.0000,1485,1566,1560,1509,1539,1549
5250.0000,1435,1506,1506,1461,1504,1494
5300.0000,1408,1500,1500,1414,1501,1448
5350.0000,1383,1500,1500,1367,1500,1448
5400.0000,1358,1500,1500,1321,1500,1448
