time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,332.9804,358.7778,289.8636,374.1026,294.2683,369.7609
100.0000,1082.7959,1113.3810,1081.5800,1080.3182,1116.9623,1128.3008
150.0000,1440.4082,1488.0000,1439.7400,1408.5736,1489.5385,1498.0000
200.0000,1416.1224,1487.6190,1414.8000,1363.2121,1477.2812,1498.0000
250.0000,1391.5510,1481.5854,1387.7458,1315.9695,1460.8644,1486.4507
300.0000,1366.8776,1474.7073,1368.2857,1269.3566,1445.8333,1431.5000
350.0000,1342.3061,1466.7317,1343.3265,1224.7368,1428.6780,1385.6082
400.0000,1318.0625,1454.0244,1319.0208,1180.5852,1419.3418,1383.0000
450.0000,1293.4490,1434.9512,1294.7143,1141.6466,1419.0000,1383.0000
500.0000,1268.7347,1410.6829,1269.6000,1092.6875,1419.0000,1383.0000
550.0000,1244.3265,1389.1707,1245.1042,1046.2308,1419.0000,1369.4118
600.0000,1220.7755,1367.3500,1220.5306,999.5000,1419.0000,1350.0000
650.0000,1195.8776,1339.0488,1196.8776,957.0379,1419.0000,1350.0000
700.0000,1171.4898,1305.7317,1172.1224,914.7794,1419.0000,1350.0000
750.0000,1146.7347,1278.3000,1147.7500,874.3692,1419.0000,1350.0000
800.0000,1121.9592,1245.7317,1123.0000,837.3086,1419.0000,1350.0000
850.0000,1097.3333,1216.1750,1099.1020,799.0980,1419.0000,1350.0000
900.0000,1070.7347,1187.3415,1073.0408,763.1346,1417.6375,1348.9407
950.0000,1035.7551,1145.7000,1037.5417,718.3269,1395.4133,1329.1957
1000.0000,937.8367,1056.5250,931.0612,619.6415,1280.7333,1226.8116
1050.0000,1057.2000,1322.8370,1063.6122,809.1538,1325.3412,1245.2214
1100.0000,1451.4694,1591.1250,1495.2245,1385.8953,1631.2879,1549.0076
1150.0000,1570.9592,1667.1652,1620.8571,1536.6648,1678.4758,1635.2574
1200.0000,1461.6531,1535.5000,1517.8542,1473.0391,1524.2500,1489.4923
1250.0000,1419.3958,1504.2000,1501.2200,1422.5659,1504.2642,1468.7923
1300.0000,1395.5200,1499.0000,1500.0000,1383.4286,1500.2885,1468.0000
1350.0000,1370.5102,1499.0000,1500.0000,1333.2266,1498.3846,1467.4359
1400.0000,1346.1667,1499.0000,1500.0000,1284.1984,1496.2885,1430.5000
1450.0000,1321.5102,1499.0000,1500.0000,1239.4580,1496.0000,1386.0792
1500.0000,1297.4694,1499.0000,1500.0000,1194.0827,1496.0000,1384.0000
1550.0000,1272.3673,1499.0000,1500.0000,1150.5194,1491.7170,1384.0000
1600.0000,1247.6735,1499.0000,1500.0000,1107.5565,1481.5818,1384.0000
1650.0000,1223.4694,1499.0000,1500.0000,1062.4031,1472.7963,1383.1852
1700.0000,1199.6875,1499.0000,1500.0000,1006.3411,1465.1852,1383.0000
1750.0000,1174.9796,1499.0000,1500.0000,959.6562,1457.7963,1383.0000
1800.0000,1150.5306,1499.0000,1500.0000,918.4615,1443.1321,1383.0000
1850.0000,1125.3673,1499.0000,1500.0000,883.2500,1429.6545,1383.0000
1900.0000,1100.3673,1497.8438,1497.7959,842.9615,1418.6296,1380.2148
1950.0000,1056.5510,1477.1667,1471.6122,796.2115,1389.2075,1362.2074
2000.0000,932.4694,1347.0732,1342.6939,709.3654,1244.6333,1242.8074
2050.0000,1063.3469,1355.8780,1367.5918,854.1698,1238.1410,1275.5940
2100.0000,1469.5102,1597.5476,1621.1020,1360.9024,1529.3258,1576.2016
2150.0000,1558.1224,1635.1220,1648.9796,1527.0884,1607.3383,1644.1462
2200.0000,1457.3265,1519.2195,1525.1429,1478.3769,1512.4540,1523.8672
2250.0000,1419.8958,1500.4878,1501.5510,1429.1811,1500.8257,1457.5714
2300.0000,1394.4490,1500.0000,1500.0000,1377.8455,1500.0000,1439.0000
2350.0000,1369.8776,1500.0000,1500.0000,1336.0488,1500.0000,1439.0000
