time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,0,0,0,0,0,0
100.0000,713,752,726,738,766,755
150.0000,1429,1488,1428,1383,1487,1498
200.0000,1404,1485,1403,1340,1466,1498
250.0000,1379,1478,1379,1294,1454,1458
300.0000,1354,1470,1356,1245,1437,1406
350.0000,1330,1464,1332,1205,1422,1383
400.0000,1306,1445,1308,1160,1419,1383
450.0000,1281,1421,1284,1118,1419,1383
500.0000,1257,1401,1257,1072,1419,1383
550.0000,1233,1377,1233,1023,1419,1350
600.0000,1209,1356,1208,980,1419,1350
650.0000,1183,1324,1185,935,1419,1350
700.0000,1159,1291,1160,895,1419,1350
750.0000,1135,1264,1136,853,1419,1350
800.0000,1110,1229,1110,816,1419,1350
850.0000,1084,1203,1087,782,1419,1350
900.0000,1059,1171,1057,746,1413,1344
950.0000,1007,1119,1009,682,1368,1301
1000.0000,840,976,846,543,1153,1105
1050.0000,837,979,844,540,1150,1103
1100.0000,1265,1411,1287,1066,1483,1399
1150.0000,1498,1563,1546,1499,1559,1518
1200.0000,1436,1509,1504,1443,1508,1473
1250.0000,1406,1500,1500,1405,1501,1468
1300.0000,1383,1499,1500,1359,1500,1468
1350.0000,1359,1499,1500,1306,1498,1457
1400.0000,1334,1499,1500,1261,1496,1405
1450.0000,1310,1499,1500,1215,1496,1384
1500.0000,1286,1499,1500,1173,1496,1384
1550.0000,1260,1499,1500,1131,1485,1384
1600.0000,1235,1499,1500,1083,1477,1384
1650.0000,1212,1499,1500,1036,1469,1383
1700.0000,1188,1499,1500,983,1463,1383
1750.0000,1163,1499,1500,938,1452,1383
1800.0000,1138,1499,1500,897,1435,1383
1850.0000,1114,1499,1500,862,1426,1383
1900.0000,1084,1495,1491,823,1409,1376
1950.0000,1013,1449,1436,762,1352,1334
2000.0000,827,1222,1212,629,1108,1117
2050.0000,846,1213,1217,646,1112,1119
2100.0000,1273,1465,1493,1105,1358,1416
2150.0000,1491,1554,1563,1499,1536,1561
2200.0000,1436,1503,1504,1455,1502,1490
2250.0000,1407,1500,1500,1403,1500,1439
2300.0000,1384,1500,1500,1353,1500,1439
2350.0000,1358,1500,1500,1312,1500,1439
2400.0000,1335,1500,1500,1264,1498,1439
2450.0000,1310,1500,1500,1217,1497,1426
2500.0000,1285,1500,1500,1177,1496,1381
2550.0000,1260,1500,1500,1132,1495,1381
