time_ms,DCT,ACDQT,TAD,CSCT,ABP,MRSMBA
50.0000,203.4405,224.0639,217.4613,204.6972,190.6677,220.5832
100.0000,211.7336,213.0463,219.0876,202.7300,208.5288,217.3804
150.0000,6.5867,0.0000,7.2189,13.0424,1.8446,0.0000
200.0000,7.1845,0.7544,7.1805,12.3895,6.5442,0.0000
250.0000,7.0828,2.3989,7.7647,13.4368,3.4565,13.3583
300.0000,7.3029,2.2223,7.3039,14.1118,5.7740,15.0083
350.0000,6.8160,1.8613,7.2263,11.5374,4.2603,5.6851
400.0000,7.0723,5.9366,7.2096,12.6464,0.8250,0.0000
450.0000,6.9578,7.5610,6.9722,12.5442,0.0000,0.0000
500.0000,7.0415,6.2016,7.2774,13.2787,0.0000,0.0000
550.0000,6.4567,6.5886,6.9379,15.1488,0.0000,13.9058
600.0000,7.3464,7.0659,7.2284,12.3323,0.0000,0.0000
650.0000,7.0120,8.6672,6.8441,12.3186,0.0000,0.0000
700.0000,7.2847,9.6879,7.3724,11.1630,0.0000,0.0000
750.0000,6.8177,8.0194,6.9237,12.4537,0.0000,0.0000
800.0000,7.2702,9.6979,7.0740,11.0159,0.0000,0.0000
850.0000,7.1599,7.9621,6.9700,9.6959,0.0000,0.0000
900.0000,7.5964,9.7895,8.4756,10.8007,1.9890,1.4441
950.0000,14.5090,14.5657,14.2813,17.5661,11.6734,11.7386
1000.0000,48.1352,41.0676,46.7378,41.6454,63.5430,55.8036
1050.0000,122.1381,65.1217,127.2887,159.4797,94.6765,80.0429
1100.0000,119.3650,106.6682,120.0307,151.5548,88.7104,99.0449
1150.0000,51.7758,59.4639,52.3357,26.0498,59.4018,78.0935
1200.0000,18.1497,15.5858,11.7171,14.3006,13.8062,13.4246
1250.0000,8.2531,2.5219,1.1539,11.5650,2.2416,1.2570
1300.0000,7.2698,0.0000,0.0000,13.0733,0.4530,0.0000
1350.0000,7.1888,0.0000,0.0000,15.4799,0.6550,2.0016
1400.0000,7.0277,0.0000,0.0000,12.5597,0.4530,15.0083
1450.0000,6.9256,0.0000,0.0000,11.7391,0.0000,4.9084
1500.0000,7.1887,0.0000,0.0000,11.2658,0.0000,0.0000
1550.0000,7.0151,0.0000,0.0000,11.2657,3.6979,0.0000
1600.0000,7.1239,0.0000,0.0000,14.1389,2.2295,0.0000
1650.0000,6.6027,0.0000,0.0000,14.0069,2.5990,0.3884
1700.0000,6.9467,0.0000,0.0000,14.9534,1.8961,0.0000
1750.0000,7.0000,0.0000,0.0000,12.2560,3.7386,0.0000
1800.0000,7.3042,0.0000,0.0000,11.7186,4.8914,0.0000
1850.0000,6.9361,0.0000,0.0000,9.5408,2.7845,0.0000
1900.0000,8.0855,1.5634,2.2037,10.8521,4.6519,2.4537
1950.0000,20.4979,12.9944,16.6596,17.9190,18.0600,12.4097
2000.0000,53.3028,69.2529,60.4487,38.1354,73.7898,63.3918
2050.0000,130.3668,73.7835,77.8101,133.1653,77.7621,84.5707
2100.0000,111.7585,87.6778,81.5911,124.8214,100.9280,100.2125
2150.0000,45.4639,58.3982,59.4387,24.7977,53.1099,60.8017
2200.0000,16.2234,14.9316,16.4280,13.0539,9.9663,18.5331
2250.0000,8.2468,0.9139,1.2787,14.4099,0.5559,16.3219
2300.0000,7.2452,0.0000,0.0000,14.4008,0.0000,0.0000
2350.0000,7.4331,0.0000,0.0000,12.7502,0.0000,0.0000
2400.0000,7.2364,0.0000,0.0000,14.0304,0.5140,0.0000
2450.0000,7.4014,0.0000,0.0000,15.3247,0.4967,2.5486
2500.0000,7.0941,0.0000,0.0000,12.3372,0.3783,14.8197
2550.0000,7.3669,0.0000,0.0000,13.3884,0.2665,0.0000
2600.0000,7.0141,0.0000,0.0000,14.7678,0.7375,0.0000
2650.0000,7.1714,0.0000,0.0000,13.5910,1.8339,0.0000
2700.0000,7.0632,0.0000,0.0000,13.0956,3.0154,0.0000
2750.0000,6.9420,0.0000,0.0000,12.5736,2.1687,0.0000
2800.0000,7.2505,0.0000,0.0000,9.9196,2.3068,0.0000
2850.0000,7.1578,0.0000,0.0000,9.7194,1.2293,0.0000
2900.0000,7.5904,1.0704,2.0820,9.6303,4.2932,1.5721
2950.0000,19.1631,16.3183,15.0315,15.8390,18.9222,14.2983
3000.0000,55.8969,62.3078,62.9269,43.0580,76.3518,54.2419
3050.0000,122.9576,78.7252,85.6835,134.2897,99.5231,93.2916
3100.0000,122.0343,94.4678,75.2941,139.7819,81.1092,92.9013
3150.0000,50.2609,65.0485,70.7689,29.0504,61.8068,52.5512
3200.0000,15.4005,18.0444,16.3440,12.2734,16.5708,20.2476
3250.0000,8.6250,2.7186,5.9650,13.4668,0.8890,2.4762
3300.0000,7.3480,0.0000,2.6726,14.2684,0.1906,6.0102
3350.0000,6.8764,0.0000,4.0056,14.3953,0.0000,15.2943
3400.0000,6.7672,0.0000,4.6948,14.8234,0.0000,0.0000
3450.0000,7.0762,0.0000,5.1230,15.8717,0.0000,0.0000
3500.0000,6.9684,0.0000,4.7251,14.2947,0.0000,0.0000
3550.0000,7.1578,0.0000,4.9031,12.1155,0.8123,3.3402
3600.0000,6.6050,0.0000,3.2061,13.8619,0.3783,0.0000
3650.0000,7.5915,0.0000,5.1070,13.1491,0.0000,0.0000
3700.0000,7.3690,0.0000,3.8743,14.4342,2.9586,0.0000
3750.0000,6.7149,0.0000,4.6289,8.8993,3.2073,0.0000
3800.0000,7.4237,0.0000,4.6861,9.3528,1.3458,0.0000
3850.0000,7.4555,0.0000,3.8932,9.3031,1.5979,0.0000
3900.0000,8.5453,2.1386,5.4483,10.1959,6.1294,1.3529
3950.0000,17.3142,18.9960,14.5209,17.6182,15.3635,17.3174
4000.0000,56.1608,70.8164,45.0798,46.0109,67.8079,65.1306
4050.0000,122.8994,87.1633,108.7184,131.7980,78.1729,105.4393
4100.0000,126.1771,78.1071,117.8018,147.8244,95.4441,89.0012
4150.0000,51.2077,62.0296,61.3677,27.2787,60.3777,66.0127
4200.0000,18.9841,14.7054,17.1671,11.6848,11.1753,13.0812
4250.0000,8.3242,0.7742,2.7763,14.5413,1.1858,1.8155
4300.0000,5.8146,0.5000,0.0000,14.2192,0.0000,0.0000
4350.0000,7.2658,0.0000,0.0000,10.7285,0.0000,0.1948
4400.0000,7.0046,0.0000,0.0000,10.7348,0.0000,15.2971
4450.0000,7.0797,0.0000,0.0000,12.0832,0.0000,4.9285
4500.0000,6.7612,0.0000,0.0000,13.4038,0.4865,0.0000
4550.0000,7.2790,0.0000,0.0000,10.5467,0.0000,0.0000
4600.0000,6.8606,0.0000,0.0000,12.6761,0.0000,0.0000
4650.0000,7.1022,0.0000,0.0000,12.3229,2.8352,0.7825
4700.0000,6.5736,0.0000,0.0000,9.4754,2.8607,0.0000
4750.0000,7.1998,0.0000,0.0000,9.2961,1.4468,0.0000
4800.0000,7.0191,0.0000,0.0000,9.4521,2.3960,0.0000
4850.0000,7.2045,0.0000,0.0000,9.3326,2.8778,0.3389
4900.0000,8.0661,1.2183,0.7286,9.9455,4.1766,1.5627
4950.0000,18.0783,18.9572,13.3791,15.6363,17.6209,18.2607
