tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,623.4721,0.0000,0.7463,98.5978,243.0678,1.9354
600,722.7185,0.0000,424.6934,176.7341,423.1104,762.5161
900,767.4161,2144.0727,464.3019,514.5833,337.7690,1161.5598
1200,795.1332,2680.7782,470.5782,569.0042,353.8821,1471.9307
1500,811.3419,2935.7718,473.8419,589.6272,350.6014,1751.7910
1800,840.2127,3367.7029,469.8521,602.6583,632.4224,1833.5067
2100,850.7674,3997.1262,475.4643,607.1389,344.9238,1962.4839
2400,853.2433,4110.1712,473.9868,609.6742,329.5646,2445.6881
2700,863.9010,4512.7809,477.4521,612.9990,350.1063,2462.8992
3000,870.7253,3884.8826,482.0185,611.4151,310.2981,2558.6744
