tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,637.9431,638.4887,110.7373,0.7881,185.3765,2.0777
600,725.6498,1365.3581,252.3661,415.8338,440.2397,784.7031
900,765.4576,1776.0192,521.0041,464.9106,398.6063,1160.9492
1200,792.6843,2250.9466,571.2297,470.2260,353.8902,1468.4431
1500,821.6836,2593.7270,587.8685,474.3164,366.2022,1707.9908
1800,836.7821,3012.1895,595.0990,472.9073,591.8190,1887.1200
2100,843.9400,3287.1943,611.2085,473.4261,337.6190,2152.1935
2400,858.0671,3733.4327,612.4137,477.8182,337.3307,2245.6885
2700,853.7093,4273.5944,623.1246,473.5266,326.2718,2412.8742
3000,868.2024,4847.8974,616.2270,472.5956,323.3932,2586.1120
