tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
300,0.9998,0.6919,0.6579,1.0000,1.0000,1.0000
600,0.9998,0.8393,0.9979,1.0000,1.0000,1.0000
900,1.0000,0.8914,1.0000,1.0000,1.0000,1.0000
1200,1.0000,0.9138,1.0000,1.0000,1.0000,1.0000
1500,0.9999,0.9251,1.0000,1.0000,1.0000,1.0000
1800,1.0000,0.9338,1.0000,1.0000,1.0000,1.0000
2100,1.0000,0.9338,1.0000,1.0000,1.0000,1.0000
2400,1.0000,0.9346,1.0000,1.0000,1.0000,1.0000
2700,0.9999,0.9353,1.0000,1.0000,1.0000,1.0000
3000,1.0000,0.9494,1.0000,1.0000,1.0000,1.0000
