tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,131.3000,281.4000,297.4500,301.6000,258.8000,300.7000
600,165.2500,340.7500,572.4000,494.8000,290.8500,493.4500
900,240.7000,351.0000,741.5500,491.2000,387.8500,491.0500
1200,248.2500,368.0500,788.5500,489.6500,370.5500,489.8000
1500,237.7500,349.0500,815.4500,488.7500,320.3500,489.3000
1800,222.1000,360.4000,834.9000,488.0500,133.3500,488.4500
2100,212.8000,325.6000,835.4500,486.8500,197.5000,487.9000
2400,195.5000,318.2000,843.2000,486.6500,143.4500,487.4500
2700,169.6500,338.8000,827.9500,486.1000,114.3500,486.9500
3000,158.6500,361.7000,828.6500,485.6000,80.7500,486.5500
