tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,0.5586,0.0655,0.0010,0.0002,0.1278,0.0002
600,0.7242,0.4349,0.0483,0.1710,0.5163,0.2018
900,0.7317,0.6138,0.1832,0.4553,0.5722,0.4483
1200,0.7913,0.6942,0.3457,0.5955,0.6919,0.5932
1500,0.8413,0.7676,0.4553,0.6717,0.7880,0.6711
1800,0.8765,0.7999,0.5356,0.7286,0.9261,0.7310
2100,0.8987,0.8452,0.5989,0.7667,0.9062,0.7688
2400,0.9194,0.8683,0.6485,0.7977,0.9403,0.7961
2700,0.9371,0.8737,0.6918,0.8197,0.9574,0.8187
3000,0.9471,0.8800,0.7266,0.8372,0.9733,0.8384
