tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,9980.6082,10000.1275,9996.3295,9997.9062,9925.9012,9997.5112
600,9982.9463,9759.8468,9999.6681,9999.8106,9633.6606,10000.3088
900,9995.7176,9908.4901,9999.9800,9997.7800,9921.2638,10000.2794
1200,9996.1870,10000.6019,10000.4850,9998.8581,9837.2056,10000.4906
1500,9998.6117,9993.4809,10000.1856,9998.1737,9955.9794,10000.1237
1800,10000.3653,9999.8805,9999.9088,9999.5231,6825.4606,10000.5275
2100,9999.7093,9998.0472,10000.3325,9999.1000,9897.9000,9998.1637
2400,9999.6383,10000.1435,10000.4888,9999.1544,9825.2669,9998.5719
2700,9750.1978,9982.4547,10000.4300,9995.8638,9876.5944,9999.2294
3000,9770.8961,9903.1348,10000.2456,9998.8363,9831.9144,9998.6681
