tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,120.0000,45056.0000,733348.0000,733348.0000,733348.0000
300,2023189.0000,2628614.5000,565930.0000,932395.0000,860685.0000,929400.0000
600,2396414.0000,3717859.0000,1543161.5000,4493865.0000,880038.5000,4737442.0000
900,2512338.0000,4131358.0000,1239530.0000,5008709.5000,948718.5000,5156632.5000
1200,2904603.0000,4214195.0000,1223168.0000,5285721.5000,984711.0000,5464361.0000
1500,3389677.0000,4966929.0000,1204580.0000,5425772.0000,1011677.0000,5510035.0000
1800,3878029.0000,4661331.5000,1192849.0000,5407778.5000,808522.0000,5640189.0000
2100,4383999.0000,5458381.0000,1190389.5000,5639500.0000,1092932.0000,5854846.5000
2400,4925399.0000,5996143.0000,1179038.0000,5681618.5000,1149116.5000,5899151.0000
2700,5263466.0000,6462567.5000,1191484.5000,5911505.0000,1209091.5000,5986938.0000
3000,5803062.0000,5782313.0000,1193014.5000,5940407.0000,1286686.0000,6091837.5000
