tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,120.0000,45056.0000,733348.0000,733348.0000,733348.0000
300,368533.0000,264165.0000,414247.0000,572369.0000,583077.0000,564854.0000
600,343310.0000,327948.0000,469791.0000,304963.0000,556325.0000,303780.5000
900,337986.0000,351021.0000,421913.0000,310423.0000,485155.0000,309301.0000
1200,330363.0000,362648.0000,413734.0000,313574.0000,471933.0000,312583.0000
1500,324973.0000,367644.5000,414097.5000,316039.5000,480216.0000,314831.5000
1800,319165.0000,372864.0000,416954.0000,318253.0000,625416.0000,316706.0000
2100,314127.0000,372225.0000,417356.0000,320232.0000,511302.0000,318194.5000
2400,316679.0000,373324.0000,419667.0000,321584.5000,526042.0000,319526.0000
2700,332090.0000,374881.0000,419741.0000,322777.5000,533808.0000,320516.5000
3000,329142.0000,382623.0000,419909.5000,323653.5000,542806.0000,321857.5000
