tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,1654656.0000,2364449.5000,151683.0000,360026.0000,277608.0000,364546.0000
600,2053104.0000,3389911.0000,1073370.5000,4188902.0000,323713.5000,4433661.5000
900,2174352.0000,3780337.0000,817617.0000,4698286.5000,463563.5000,4847331.5000
1200,2574240.0000,3851547.0000,809434.0000,4972147.5000,512778.0000,5151778.0000
1500,3064704.0000,4599284.5000,790482.5000,5109732.5000,531461.0000,5195203.5000
1800,3558864.0000,4288467.5000,775895.0000,5089525.5000,183106.0000,5323483.0000
2100,4069872.0000,5086156.0000,773033.5000,5319268.0000,581630.0000,5536652.0000
2400,4608720.0000,5622819.0000,759371.0000,5360034.0000,623074.5000,5579625.0000
2700,4931376.0000,6087686.5000,771743.5000,5588727.5000,675283.5000,5666421.5000
3000,5473920.0000,5399690.0000,773105.0000,5616753.5000,743880.0000,5769980.0000
