tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
300,1.0000,0.0002,1.0000,0.6647,1.0000,1.0000
600,0.9999,0.0002,1.0000,0.9650,1.0000,1.0000
900,0.9998,0.8760,1.0000,1.0000,1.0000,1.0000
1200,0.9999,0.9103,1.0000,1.0000,1.0000,1.0000
1500,1.0000,0.9217,1.0000,1.0000,1.0000,1.0000
1800,0.9999,0.9328,1.0000,1.0000,1.0000,1.0000
2100,1.0000,0.9437,1.0000,1.0000,1.0000,1.0000
2400,1.0000,0.9416,1.0000,1.0000,1.0000,1.0000
2700,1.0000,0.9462,1.0000,1.0000,1.0000,1.0000
3000,1.0000,0.9433,1.0000,1.0000,1.0000,1.0000
