tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,13.0806,0.0000,8.7933,6.4216,20.6748,32.3769
600,9.6232,0.0000,2.0287,3.5686,16.3784,2.0939
900,6.3926,2.1017,2.0014,2.5552,5.4293,2.0364
1200,6.3374,2.2159,2.0037,2.3813,5.8368,2.0196
1500,6.1780,2.2024,2.0014,2.3518,7.1204,2.0202
1800,6.2026,2.3860,2.0045,2.3797,13.4345,2.0162
2100,6.8975,2.3843,2.0053,2.4160,11.5223,2.0197
2400,7.0099,2.1246,2.0053,2.4395,15.8845,2.0121
2700,8.4348,2.1357,2.0068,2.5020,22.0751,2.0133
3000,9.3377,2.4862,2.0031,2.5716,30.2515,2.0144
