tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,127.8000,0.0000,296.6000,293.9000,144.2000,299.0000
600,162.4000,0.0000,494.8000,595.7000,176.0000,494.2000
900,237.4000,275.2000,491.6000,741.2000,401.8000,491.3000
1200,238.0000,271.0000,490.0000,790.1000,370.8000,490.4000
1500,242.1000,275.7000,489.4000,819.5000,311.5000,489.1000
1800,232.5000,257.5000,487.7000,826.9000,215.4000,488.6000
2100,205.8000,260.5000,487.0000,842.4000,202.2000,487.9000
2400,202.4000,291.3000,486.5000,841.5000,150.6000,487.4000
2700,175.5000,291.0000,485.7000,832.1000,110.5000,486.9000
3000,160.8000,249.5000,485.9000,825.4000,81.9000,486.8000
