tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,0.5826,1.0000,0.0000,0.0024,0.5291,0.0000
600,0.7293,1.0000,0.1768,0.0055,0.7064,0.1924
900,0.7355,0.6948,0.4480,0.1837,0.5495,0.4540
1200,0.8043,0.7777,0.6019,0.3453,0.6945,0.5917
1500,0.8382,0.8161,0.6716,0.4477,0.7923,0.6707
1800,0.8724,0.8582,0.7279,0.5446,0.8798,0.7288
2100,0.9028,0.8764,0.7697,0.6010,0.9039,0.7665
2400,0.9156,0.8776,0.7969,0.6515,0.9368,0.7975
2700,0.9358,0.8910,0.8213,0.6938,0.9591,0.8210
3000,0.9466,0.9162,0.8382,0.7247,0.9728,0.8371
