tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,189.0000,733348.0000,45056.0000,733348.0000,733348.0000
300,2051690.0000,189.0000,926355.0000,576235.0000,805233.0000,917288.0000
600,2315052.0000,189.0000,4501978.0000,1134574.0000,818646.0000,4659667.0000
900,2544532.0000,3444973.0000,4990625.0000,1243090.0000,962442.0000,5149776.0000
1200,2958048.0000,4290089.0000,5297405.0000,1232003.0000,987673.0000,5288064.0000
1500,3341410.0000,3962173.0000,5416120.0000,1205932.0000,1009090.0000,5680225.0000
1800,3895538.0000,4623058.0000,5623142.0000,1196991.0000,870097.0000,5658551.0000
2100,4413286.0000,5144549.0000,5586730.0000,1175594.0000,1093328.0000,5855102.0000
2400,4945836.0000,4019419.0000,5733171.0000,1181406.0000,1146047.0000,5811395.0000
2700,5394438.0000,4109418.0000,6007368.0000,1189536.0000,1214660.0000,6055816.0000
3000,5829566.0000,4735031.0000,5824798.0000,1190297.0000,1284318.0000,5936264.0000
