tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,189.0000,733348.0000,45056.0000,733348.0000,733348.0000
300,367466.0000,189.0000,575514.0000,416434.0000,647196.0000,568340.0000
600,343596.0000,189.0000,305262.0000,474299.0000,625306.0000,302230.0000
900,333652.0000,412709.0000,310161.0000,421252.0000,474584.0000,308699.0000
1200,331584.0000,429677.0000,313763.0000,411999.0000,471240.0000,311984.0000
1500,328834.0000,436235.0000,315521.0000,415204.0000,483560.0000,314672.0000
1800,317042.0000,441752.0000,318614.0000,415370.0000,566148.0000,316475.0000
2100,312070.0000,447572.0000,320231.0000,424116.0000,509696.0000,317998.0000
2400,311916.0000,447931.0000,321553.0000,420101.0000,523996.0000,320000.0000
2700,325446.0000,450947.0000,322928.0000,419555.0000,534710.0000,320956.0000
3000,330110.0000,448255.0000,323761.0000,422147.0000,543334.0000,321296.0000
