tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,1684224.0000,0.0000,350841.0000,159801.0000,158037.0000,348948.0000
600,1971456.0000,0.0000,4196716.0000,660275.0000,193340.0000,4357437.0000
900,2210880.0000,3032264.0000,4680464.0000,821838.0000,487858.0000,4841077.0000
1200,2626464.0000,3860412.0000,4983642.0000,820004.0000,516433.0000,4976080.0000
1500,3012576.0000,3525938.0000,5100599.0000,790728.0000,525530.0000,5365553.0000
1800,3578496.0000,4181306.0000,5304528.0000,781621.0000,303949.0000,5342076.0000
2100,4101216.0000,4696977.0000,5266499.0000,751478.0000,583632.0000,5537104.0000
2400,4633920.0000,3571488.0000,5411618.0000,761305.0000,622051.0000,5491395.0000
2700,5068992.0000,3658471.0000,5684440.0000,769981.0000,679950.0000,5734860.0000
3000,5499456.0000,4286776.0000,5501037.0000,768150.0000,740984.0000,5614968.0000
