time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,449.9442,1.8648,424.1318,391.8148,3.8039,465.9066
2000.0000,852.9194,11.6049,1044.9197,864.7248,3.3253,1053.2670
3000.0000,711.7109,2.9612,1084.6474,1021.4879,1.8832,1052.1372
4000.0000,526.3370,38.9043,1086.1777,1065.7399,61.8977,1060.4198
5000.0000,314.0567,107.6969,1081.6811,1076.2397,36.2748,1063.9542
6000.0000,98.8235,7.7748,1078.2302,1075.8068,1.6603,1065.3207
7000.0000,1.8466,8.0949,1065.3867,1073.2617,10.2862,1059.2597
8000.0000,1.8474,74.3644,1050.3522,1078.2214,8.2776,1050.1738
9000.0000,3.8656,126.8582,1022.6351,1070.8269,84.6399,1056.0656
10000.0000,2.0531,101.0287,1064.9727,1076.4350,174.9985,1059.2958
11000.0000,297.3230,392.3195,1030.2171,1081.5696,379.8136,1071.1913
12000.0000,878.7371,1001.0757,1073.8911,1097.8985,972.6731,1077.8292
13000.0000,1032.5795,1080.7547,1086.3425,1091.6661,1073.4448,1077.9009
14000.0000,1049.9060,1072.6817,1087.2039,1086.1911,1085.9260,1069.5234
15000.0000,1044.1857,1073.0873,1082.5694,1089.3581,1091.9932,1083.7161
16000.0000,1044.9479,1077.9341,1074.8045,1102.7429,1098.9417,1089.5284
17000.0000,1047.5462,1077.1148,1075.0153,1092.4374,1084.6889,1087.3269
18000.0000,1022.3774,1082.0889,1082.6825,1096.8684,1112.1403,1078.9585
19000.0000,1050.0717,1076.5816,1080.1165,1094.5734,1084.2362,1077.6229
20000.0000,1050.3662,1081.4304,1084.1317,1096.3609,1096.4388,1076.2596
21000.0000,1047.5192,1088.8992,1086.7397,1086.8620,1086.8547,1088.2084
22000.0000,1092.0175,1098.9354,1107.9510,1105.4677,1109.5999,1100.4172
23000.0000,1094.0107,1091.9606,1102.6484,1104.5785,1100.1549,1098.6219
24000.0000,1096.9437,1106.4792,1106.1340,1107.1117,1104.9532,1095.1665
25000.0000,1094.6238,1091.2955,1104.0199,1114.4150,1109.0850,1102.8142
26000.0000,1083.3697,1095.5053,1101.0707,1106.8295,1102.6139,1105.2106
27000.0000,1086.6935,1095.3295,1105.4105,1104.5079,1106.1605,1097.2584
28000.0000,1093.3580,1101.9962,1100.0343,1110.5119,1108.5425,1093.7590
29000.0000,1093.0480,1106.7198,1104.5663,1114.3383,1105.8775,1089.3927
30000.0000,1090.2791,1096.8659,1103.0029,1101.7350,1107.4194,1093.2318
31000.0000,1090.1388,1099.6098,1103.7335,1101.0189,1100.8133,1091.2944
32000.0000,1042.4018,1083.2660,1092.7602,1098.9605,1098.8290,1078.3515
33000.0000,995.8378,1066.3867,1078.1646,1092.1295,1092.9668,1087.9763
34000.0000,1028.1075,1075.2441,1080.2596,1078.8569,1094.5205,1090.7256
35000.0000,1016.0799,1074.4213,1085.7156,1093.3762,1086.0058,1085.3875
36000.0000,1024.9811,1068.5832,1089.0148,1094.5396,1092.9745,1081.7220
37000.0000,1027.9689,1081.4880,1078.2890,1095.7674,1090.1157,1090.2053
38000.0000,1000.7504,1072.5103,1092.1281,1094.5366,1083.0213,1082.7273
39000.0000,999.4009,1087.3845,1075.2645,1099.1263,1087.4694,1071.8804
40000.0000,1012.0273,1085.3485,1087.5133,1097.5827,1085.1922,1085.4998
41000.0000,1012.8889,1077.7388,1086.7217,1093.3713,1086.4256,1082.9121
42000.0000,402.3382,1011.0456,1066.9596,1078.6117,1069.9289,1063.6344
43000.0000,77.6192,935.8917,1070.8098,1083.2870,1059.4687,1056.5104
44000.0000,7.2061,898.2771,1058.6032,1067.0967,1049.5314,1060.2460
45000.0000,3.0917,925.6583,1033.1383,1080.8272,1048.7002,1056.6604
46000.0000,10.2477,903.1676,1039.5550,1086.2081,1059.2992,1075.5858
47000.0000,3.8835,875.3080,1034.6318,1072.5425,1054.0161,1066.1490
48000.0000,4.1470,885.9371,1042.1949,1074.8881,1050.3025,1074.2938
49000.0000,2.1344,860.5080,1063.2852,1072.4234,1057.4782,1053.2803
