time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000.0000,530.0265,0.0000,954.6084,531.3269,0.0000,986.3805
3000.0000,437.7111,0.0000,1017.5211,800.1249,0.0000,950.8395
4000.0000,287.8804,0.0000,1030.2411,998.2896,19.1172,994.9244
5000.0000,167.6153,0.0000,1038.8570,1019.4807,0.0000,992.5195
6000.0000,0.0000,0.0000,1020.3948,1020.6454,0.0000,997.3878
7000.0000,0.0000,0.0000,1003.6994,1012.5161,0.0000,987.0682
8000.0000,0.0000,0.0000,962.1794,988.1956,0.0000,931.5905
9000.0000,0.0000,81.0538,960.7610,1010.4591,3.4219,974.5478
10000.0000,0.0000,17.6203,990.4097,1026.5004,109.4295,985.2427
11000.0000,0.0000,33.9322,968.7784,1017.6722,100.1673,986.3496
12000.0000,529.5289,748.3892,1023.7565,1039.0340,673.5518,1022.7160
13000.0000,838.2531,1021.5933,1013.5048,1034.4165,1024.1378,1004.9897
14000.0000,854.4288,1014.1298,1018.4498,1023.6817,1044.6482,1007.4298
15000.0000,852.3213,1025.6665,1023.8963,1044.2566,1038.8601,1001.8693
16000.0000,834.2384,1030.0773,1007.7289,1033.9586,1052.4286,1034.9823
17000.0000,887.9131,1023.8081,1030.0133,1052.6341,1032.1914,1035.0532
18000.0000,832.6823,1023.6106,1023.7686,1045.7035,1056.2627,967.6272
19000.0000,861.1783,1008.0537,1035.1912,1040.7292,1008.1558,1010.7846
20000.0000,822.7557,1026.7392,1024.1754,1037.5887,1036.0216,1001.8479
21000.0000,853.3916,1018.5777,1033.7026,1028.5590,1027.9283,1005.3682
22000.0000,979.1099,1053.8445,1055.2116,1040.1733,1056.1317,1037.6803
23000.0000,988.3345,1042.3628,1052.6806,1066.1705,1047.0867,1041.4931
24000.0000,999.1407,1070.2992,1065.1461,1068.7469,1060.6664,1040.3414
25000.0000,988.0973,1046.7688,1057.3851,1066.9605,1059.8805,1028.8361
26000.0000,964.5571,1057.2049,1057.4502,1054.6024,1052.2138,1042.2969
27000.0000,973.8030,1056.2837,1056.1193,1058.4165,1060.5286,1030.4799
28000.0000,987.7353,1053.1963,1061.9702,1061.9213,1050.3342,1029.0832
29000.0000,985.2266,1047.5619,1064.2286,1065.0748,1063.6379,1029.2076
30000.0000,986.2840,1055.4104,1064.7637,1064.8404,1064.6289,1013.3995
31000.0000,988.5426,1057.2171,1051.0462,1056.4271,1051.2473,1032.8266
32000.0000,868.3371,1024.5802,1036.8976,1037.9746,1047.9105,959.3076
33000.0000,807.8411,1018.6061,1032.8743,1041.1141,1039.3203,1011.2241
34000.0000,837.9794,1028.4759,1030.5075,1042.5842,1053.5333,988.5135
35000.0000,817.3974,1028.2069,1036.2698,1050.8790,1051.1739,1002.6701
36000.0000,813.9627,1019.0734,1033.4983,1031.1534,1044.1233,1006.0854
37000.0000,848.8584,1033.9905,1035.0070,1051.5279,1031.9861,1015.6988
38000.0000,823.7437,1028.5718,1022.7779,1043.3156,1032.4066,985.1584
39000.0000,831.5169,1041.7969,1023.0501,1054.8197,1038.4738,991.0405
40000.0000,823.6120,1034.6822,1029.8190,1044.7335,1033.5629,1005.0473
41000.0000,837.5117,1014.6010,1026.8420,1044.7280,1037.0716,984.8026
42000.0000,104.4543,908.8141,1013.9137,1014.2142,1016.0172,968.9977
43000.0000,0.0000,844.6238,1007.9222,1026.2600,956.3718,976.9649
44000.0000,0.0000,808.4142,987.4268,1008.6736,969.4881,965.0697
45000.0000,0.0000,838.4897,946.6193,1033.3162,970.2177,987.6276
46000.0000,0.0000,816.6670,977.1033,1032.4067,950.1826,972.3515
47000.0000,0.0000,784.9731,926.6707,1003.8874,976.3574,1000.3899
48000.0000,0.0000,820.0669,945.2626,1011.6816,947.1124,1015.3665
49000.0000,0.0000,774.0512,993.4579,1005.7188,956.5143,1003.0537
