time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,908.3505,,,,,
1000.0900,,0.0000,,,,
1000.5785,,,,680.5123,,
1000.6788,,,990.1639,,,
1000.8090,,,,,,966.2917
1000.9588,,,,,22.2845,
2000.1200,675.1762,,,,,
2000.2591,,,,1061.0149,,
2000.3512,,,,,30.4961,
2000.4050,,3.8412,,,,
2000.4565,,,,,,1094.2060
2000.7838,,,1063.3119,,,
3000.0725,547.2860,,,,,
3000.1490,,,,,,1029.8927
3000.2238,,,1091.4772,,,
3000.4513,,,,1063.8140,,
3000.5188,,43.7799,,,,
3000.9237,,,,,34.5680,
4000.0188,,,,,0.0000,
4000.1200,384.7364,,,,,
4000.2550,,,1079.8669,,,
4000.3475,,213.0683,,,,
4000.9215,,,,,,1027.3713
4001.2138,,,,1081.1273,,
5000.0337,,185.9355,,,,
5000.0422,,,,1075.6094,,
5000.1337,,,1083.8482,,,
5000.1675,162.4402,,,,,
5000.2163,,,,,0.0000,
5000.2890,,,,,,1067.0529
6000.0887,,,1014.3735,,,
6000.1740,,,,,,1055.7966
6000.5100,,165.0069,,,,
6000.9113,,,,,0.0000,
6001.0784,,,,1043.3216,,
6001.4749,7.3391,,,,,
7000.1163,,11.9116,,,,
7000.1763,,,1047.2751,,,
7000.1800,,,,,75.9854,
7000.1977,0.0000,,,,,
7000.8240,,,,,,1038.7962
7001.1754,,,,1159.4180,,
8000.0117,0.0000,,,,,
8000.0288,,,1033.5242,,,
8000.1090,,,,,,1113.5937
8000.2388,,,,,0.0000,
8000.3638,,17.0532,,,,
8002.1929,,,,1119.3947,,
9000.0100,,0.0000,,,,
9000.0713,,,1087.6346,,,
9000.1150,,,,,12.0708,
9000.1730,1.5194,,,,,
9000.2740,,,,,,1069.2124
9000.8413,,,,1058.9205,,
10000.1737,,,1035.5940,,,
10000.4430,2.4115,,,,,
10000.5100,,,,,0.0000,
10000.6712,,32.7873,,,,
10000.8990,,,,,,1057.7983
10001.2787,,,,1067.0166,,
11000.1588,,,1022.9792,,,
11000.2530,469.5053,,,,,
11000.3315,,,,,,1056.7428
11000.4312,,,,,656.8190,
11000.5788,,766.7437,,,,
11001.4012,,,,1043.4672,,
12000.1030,1005.2413,,,,,
12000.2075,,,,,1077.1716,
12000.2612,,,1101.2960,,,
12000.4040,,,,,,1074.8512
12000.5378,,,,1077.4814,,
12000.9487,,1083.1034,,,,
13000.1065,,,,,,1056.3383
13000.3037,,,1065.7113,,,
13000.3817,1068.8133,,,,,
13000.6612,,1083.9213,,,,
13000.9103,,,,1089.6349,,
13000.9762,,,,,1079.0177,
14000.1055,1077.4699,,,,,
14000.1562,,1049.0321,,,,
14000.2200,,,1081.1747,,,
14000.8137,,,,,1118.2416,
14000.8815,,,,,,1077.3136
14001.3253,,,,1068.0432,,
15000.2015,,,,,,1113.4553
15000.2955,1072.7969,,,,,
15000.3638,,1074.3253,,,,
15000.3700,,,1074.1456,,,
15000.9513,,,,,1111.2285,
15001.5214,,,,1085.0762,,
16000.0315,,,,,,1081.2981
16000.1575,,1067.6048,,,,
16000.1600,,,1071.4677,,,
16000.1900,,,,,1094.3511,
16000.4255,1012.8433,,,,,
16001.3699,,,,1099.8756,,
17000.1063,,,1092.4186,,,
17000.1190,,,,,,1109.9960
17000.1725,,,,,1157.1857,
17000.2924,,,,1059.9631,,
17000.3187,,1089.3907,,,,
17000.6317,968.8370,,,,,
18000.1813,,,,,1062.4868,
18000.2412,,,1084.1582,,,
18000.2625,,1065.8776,,,,
18000.6065,,,,,,1069.8592
18000.7517,1080.1489,,,,,
18001.3049,,,,1073.6872,,
19000.2515,,,,,,1128.1895
19000.2875,,,1098.2837,,,
19000.4087,,1100.7597,,,,
19000.6767,1032.2822,,,,,
19000.7400,,,,,1072.7509,
19000.9344,,,,1090.0291,,
20000.0438,,,,,1105.8662,
20000.1162,,1114.9723,,,,
20000.2615,,,,,,1061.4427
20000.2637,,,1130.2715,,,
20000.5930,1036.1289,,,,,
20000.5982,,,,1080.0123,,
21000.0013,,,1091.8738,,,
21000.2650,,1051.8525,,,,
21000.2665,,,,,,1076.7051
21000.5342,1167.5217,,,,,
21000.6888,,,,,1050.5412,
21001.1682,,,,1075.2976,,
22000.0367,1085.0494,,,,,
22000.1875,,,1110.6590,,,
22000.2238,,,,,1113.7256,
22000.2463,,1113.9162,,,,
22000.2765,,,,,,1099.6721
22000.5585,,,,1057.9156,,
23000.0062,,,1095.3468,,,
23000.1130,1076.6105,,,,,
23000.2310,,,,1139.6266,,
23000.3625,,1137.7517,,,,
23000.4000,,,,,1094.1289,
23000.9315,,,,,,1101.8852
24000.3237,,,1079.6065,,,
24000.5513,,1100.7921,,,,
24000.5590,,,,,,1194.3567
24000.9485,,,,1125.4389,,
24000.9617,1097.9606,,,,,
24001.0075,,,,,1123.1970,
25000.1350,,,1105.0558,,,
25000.2497,,,,1100.5266,,
25000.4888,,,,,1120.9822,
25000.5767,1080.5509,,,,,
25000.6065,,,,,,1066.8545
25000.6188,,1116.5181,,,,
26000.3675,,1126.5027,,,,
26000.3763,,,1118.9095,,,
26000.4890,,,,,,1084.9962
26000.7155,1139.0114,,,,,
26000.7863,,,,,1076.3942,
26001.0047,,,,1076.6889,,
27000.1705,1127.5719,,,,,
27000.2190,,,,,,1101.6537
27000.3825,,,1101.5611,,,
27000.8438,,1080.7391,,,,
27000.9613,,,,,1110.7054,
27001.2010,,,,1125.6373,,
28000.0890,,,,,,1112.5877
28000.1188,,1092.8461,,,,
28000.3363,,,1077.3125,,,
28000.4113,,,,,1126.9271,
28000.4880,1108.1471,,,,,
28001.5185,,,,1150.2436,,
29000.2012,,,1091.8752,,,
29000.2715,,,,,,1135.1877
29000.3254,,,,1107.7267,,
29000.4487,,,,,1110.6766,
29000.5167,1068.1020,,,,,
29000.7125,,1078.6837,,,,
30000.2200,,,,,1084.5207,
30000.2287,,,1105.6166,,,
30000.4829,,,,1092.9052,,
30000.6392,1059.6673,,,,,
30000.9390,,,,,,1108.8573
30000.9637,,1094.1569,,,,
31000.2287,,,1090.3676,,,
31000.3979,,,,1100.2864,,
31000.6755,1165.4893,,,,,
31000.6838,,1161.2628,,,,
31000.8025,,,,,1083.6839,
31000.8090,,,,,,1121.4440
32000.0025,,,1096.8836,,,
32000.0840,,,,,,1066.4901
32000.2775,,,,,1084.4936,
32000.3855,924.3953,,,,,
32000.5700,,1079.4785,,,,
32001.2416,,,,1077.9633,,
33000.0200,,1088.5646,,,,
33000.0825,,,1083.0991,,,
33000.1367,1068.3907,,,,,
33000.6165,,,,,,1120.3129
33000.8525,,,,,1106.0650,
33001.3829,,,,1131.2975,,
34000.2550,,,1064.9131,,,
34000.2930,1053.3244,,,,,
34000.3890,,,,,,1117.0160
34000.5441,,,,1088.2783,,
34000.8587,,,,,1096.2801,
34000.9662,,1065.5945,,,,
35000.1781,,,,1117.5004,,
35000.2462,,,,,1079.6785,
35000.3763,,,1092.9015,,,
35000.5315,,,,,,1088.3604
35000.6630,1084.0734,,,,,
35000.8800,,1116.0911,,,,
36000.0056,,,,1108.9222,,
36000.1125,,,,,1067.2254,
36000.4890,,,,,,1084.4785
36000.6000,,,1111.9917,,,
36000.6255,1070.2941,,,,,
36000.7562,,1059.2942,,,,
37000.1712,,,1086.0487,,,
37000.2018,,,,1089.8300,,
37000.4015,,,,,,1079.8929
37000.7267,1017.0976,,,,,
37000.7325,,1047.3769,,,,
37001.0150,,,,,1113.6125,
38000.0400,,,1107.2955,,,
38000.3015,,,,,,1076.2681
38000.4017,965.0992,,,,,
38000.5150,,1076.8402,,,,
38000.9362,,,,,1069.9787,
38002.0029,,,,1137.8484,,
39000.0290,,,,,,1078.1397
39000.1374,,,,1090.4442,,
39000.1612,,,,,1077.7253,
39000.2500,,,1109.5997,,,
39000.3605,1068.0424,,,,,
39000.8913,,1108.6601,,,,
40000.3565,,,,,,1100.0188
40000.4800,,1102.7847,,,,
40000.4967,1063.8072,,,,,
40000.5049,,,,1099.5547,,
40000.5088,,,,,1168.0708,
40000.7862,,,1048.7456,,,
41000.1790,,,,,,1113.5341
41000.2538,,,1078.1548,,,
41000.2724,,,,1082.0619,,
41000.3725,,1061.3745,,,,
41000.4413,,,,,1089.8096,
41000.4855,1053.5243,,,,,
42000.1455,124.5921,,,,,
42000.3662,,,1045.3362,,,
42000.5490,,,,,,1094.4161
42000.8262,,,,,1061.5083,
42001.0200,,976.6983,,,,
42001.0452,,,,1043.2186,,
43000.1215,,,,,,1071.5230
43000.1338,,,1039.0518,,,
43000.1641,0.0000,,,,,
43000.2115,,,,1065.0418,,
43000.3200,,,,,1050.3306,
43000.3475,,911.7700,,,,
44000.1087,,,1049.4804,,,
44000.1621,5.6746,,,,,
44000.2903,,,,1076.4209,,
44000.4915,,,,,,1030.9010
44000.5725,,,,,1050.6167,
44000.8325,,930.6691,,,,
45000.0908,0.0000,,,,,
45000.1937,,,1014.4838,,,
45000.6065,,,,,,1074.3718
45000.6600,,,,,1084.2566,
45000.8225,,958.2709,,,,
45002.2783,,,,1057.1088,,
46000.0212,,,1023.3463,,,
46000.4525,,,,,1057.8168,
46000.5713,,828.7346,,,,
46000.6214,23.5270,,,,,
46000.7840,,,,,,1017.7557
46001.3443,,,,1038.1516,,
47000.1300,,838.6420,,,,
47000.3135,1.8404,,,,,
47000.3815,,,,,,1081.3959
47000.5700,,,994.6366,,,
47000.6250,,,,,1076.9651,
47001.7147,,,,1072.3191,,
48000.0750,,,1050.3115,,,
48000.3012,,,,,1089.4017,
48000.3662,,853.9074,,,,
48000.5344,4.4517,,,,,
48000.8915,,,,,,1096.9253
48001.0560,,,,1066.9468,,
49000.0040,,,,,,1066.5597
49000.1288,,,,,1029.7688,
49000.2812,,,1014.5621,,,
49000.4075,,815.1772,,,,
49000.6171,,,,1138.7665,,
49002.4158,0.0000,,,,,
