time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,257.4808,5.8402,287.2285,204.4863,10.0791,298.8431
2000.0000,157.0918,15.3055,36.3195,159.2082,6.7912,27.9855
3000.0000,141.5415,6.9171,33.0237,78.2603,5.2698,35.8257
4000.0000,108.9130,46.8858,28.1734,24.9038,20.8072,29.9990
5000.0000,82.2423,57.4103,23.2012,26.6690,37.3513,20.5306
6000.0000,60.2979,12.6720,26.9299,23.3870,4.4369,31.3127
7000.0000,3.3362,16.2697,25.5546,25.1924,15.2605,31.3094
8000.0000,3.7775,51.9921,36.9352,40.6884,17.5999,39.3630
9000.0000,5.9209,21.4538,26.9562,26.8235,51.3209,31.4654
10000.0000,3.9722,43.7241,33.0611,24.7292,37.9880,30.3352
11000.0000,202.3410,211.0088,25.3450,29.5401,167.2676,25.0399
12000.0000,169.9244,94.4953,25.7383,30.0163,115.5268,23.2200
13000.0000,66.2487,19.6125,35.7860,28.7164,21.1355,29.7492
14000.0000,62.5952,21.4590,34.1122,18.5007,17.7042,27.4986
15000.0000,62.1368,22.3557,25.5170,21.5456,24.3793,33.3167
16000.0000,67.3297,24.3746,24.4401,36.8528,22.2737,20.8282
17000.0000,50.0178,19.9026,23.2039,24.1866,22.3720,22.0849
18000.0000,82.9146,26.4347,28.1578,28.8395,33.0840,34.2386
19000.0000,62.2145,30.0389,21.9241,22.9922,25.3787,24.1678
20000.0000,82.0701,28.4871,25.9290,30.4908,29.7121,25.3035
21000.0000,65.0283,36.6672,20.1318,18.3047,22.4170,33.1612
22000.0000,37.4531,20.6423,21.0656,23.5104,20.2825,25.4595
23000.0000,33.2485,22.0236,19.1716,18.1600,22.3970,21.0017
24000.0000,32.2367,19.7214,23.2676,18.7869,19.7930,20.7431
25000.0000,38.1707,17.7869,19.7109,24.7099,25.5400,25.9659
26000.0000,37.6122,21.1020,22.9306,23.6176,24.3509,25.3589
27000.0000,42.2668,19.4536,20.0733,18.6348,21.2815,26.8042
28000.0000,37.5398,18.9335,19.6688,25.5974,23.0977,29.6904
29000.0000,36.5403,25.0684,19.9770,19.5286,17.8542,24.7324
30000.0000,35.6071,20.6107,20.3537,19.0523,21.4596,23.9879
31000.0000,35.3071,22.3405,22.7036,18.3104,20.5284,24.1557
32000.0000,67.5517,27.4620,24.3275,29.6735,21.2488,28.6919
33000.0000,94.0916,23.4721,20.3963,27.8291,19.7770,30.8995
34000.0000,79.2001,20.6739,20.8977,16.0631,21.8814,34.5800
35000.0000,83.2206,25.3149,29.8578,25.8583,19.5333,34.6242
36000.0000,93.9102,26.3265,20.4784,28.2419,24.1798,32.6183
37000.0000,75.2862,22.8872,18.9138,20.2070,24.8066,32.9860
38000.0000,87.5253,23.2077,34.1161,22.6661,20.9716,26.5717
39000.0000,71.7132,30.3703,19.8712,22.9874,23.6205,28.9486
40000.0000,79.3664,25.4087,29.4567,24.0924,21.5643,30.8306
41000.0000,74.3594,26.1346,26.6711,21.2978,21.7908,30.7896
42000.0000,196.7215,38.8662,23.6287,30.8240,23.0966,31.4380
43000.0000,56.2674,27.6567,23.7096,27.3731,36.0648,28.0934
44000.0000,9.4487,29.6696,27.0064,23.6099,35.9239,31.1387
45000.0000,5.3183,34.4266,28.7317,27.0807,29.4129,29.0059
46000.0000,15.1127,34.0260,30.4725,25.1242,43.6804,33.6440
47000.0000,5.4983,32.6714,36.8146,29.7013,29.6258,24.8860
48000.0000,7.3121,29.3651,35.7349,27.0483,38.8717,27.6381
49000.0000,4.2571,33.4953,29.0214,29.6441,41.0527,21.7321
