time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.1356,0.7614,0.5521,0.5444,0.6148,0.2262
2000.0000,0.4326,0.7614,1.0000,1.0000,0.7714,0.2112
3000.0000,0.3192,0.7144,0.0585,0.8373,1.0000,0.2248
4000.0000,0.3671,1.0000,0.0477,0.7247,1.0000,0.2573
5000.0000,1.0000,0.6292,0.0468,0.4397,1.0000,0.2211
6000.0000,0.6313,0.7148,0.1054,1.0000,1.0000,0.1918
7000.0000,0.5544,1.0000,0.5517,0.8339,0.7075,0.1745
8000.0000,0.6036,0.4929,0.5903,1.0000,0.6681,0.2128
9000.0000,0.6589,0.6695,0.5749,0.3372,0.5878,0.2398
10000.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1913
11000.0000,1.0000,1.0000,1.0000,0.6539,1.0000,0.2199
12000.0000,0.6695,1.0000,1.0000,0.1542,1.0000,0.2577
13000.0000,0.5371,0.5533,0.5886,1.0000,1.0000,0.3555
14000.0000,1.0000,0.6680,1.0000,1.0000,1.0000,0.6803
15000.0000,1.0000,0.5604,1.0000,0.2777,0.6707,0.2635
16000.0000,0.7516,0.6694,0.7361,0.7502,0.5433,0.6803
17000.0000,0.7161,0.5734,0.8335,1.0000,0.5273,1.0000
18000.0000,1.0000,0.6026,1.0000,0.4679,0.6680,0.6484
19000.0000,0.6708,1.0000,0.7106,0.7955,0.7515,0.5293
20000.0000,0.6708,1.0000,1.0000,0.1490,0.5527,0.4911
21000.0000,1.0000,0.6017,0.6247,0.5638,1.0000,0.5978
22000.0000,1.0000,0.5170,0.7283,1.0000,0.6072,0.5176
23000.0000,1.0000,1.0000,0.8299,0.0410,1.0000,0.5349
24000.0000,1.0000,0.7508,1.0000,0.3506,1.0000,0.4323
25000.0000,1.0000,1.0000,0.2869,0.6153,0.6677,1.0000
26000.0000,1.0000,1.0000,0.2924,1.0000,0.6282,0.4030
27000.0000,0.5628,1.0000,0.3724,0.9411,0.5436,0.4458
28000.0000,1.0000,1.0000,0.4023,0.0358,0.7515,0.3675
29000.0000,1.0000,0.5085,0.4890,0.2928,1.0000,0.3503
30000.0000,1.0000,1.0000,0.6277,0.7506,0.5681,0.3673
31000.0000,1.0000,1.0000,1.0000,1.0000,0.6770,0.3227
32000.0000,0.6737,1.0000,0.5263,0.9489,1.0000,0.3785
33000.0000,1.0000,1.0000,0.7512,1.0000,1.0000,0.4179
34000.0000,0.5986,1.0000,1.0000,0.5203,1.0000,0.3717
35000.0000,1.0000,0.5252,1.0000,1.0000,1.0000,0.3549
36000.0000,0.6738,0.7515,0.7411,0.1433,0.5438,0.3763
37000.0000,0.6685,0.5282,1.0000,1.0000,0.6773,0.4211
38000.0000,1.0000,1.0000,0.6806,1.0000,1.0000,0.3336
39000.0000,0.5992,0.6707,1.0000,0.2654,1.0000,0.6000
40000.0000,1.0000,0.7508,1.0000,0.7469,1.0000,0.3694
41000.0000,1.0000,1.0000,0.7304,1.0000,0.6680,0.3835
42000.0000,1.0000,1.0000,0.2058,0.5767,1.0000,1.0000
43000.0000,0.3789,0.8022,0.5248,1.0000,0.5250,0.4711
44000.0000,1.0000,0.6047,0.7492,0.6714,1.0000,0.5000
45000.0000,0.8171,1.0000,1.0000,0.3611,1.0000,0.3356
46000.0000,1.0000,1.0000,0.8209,0.8747,0.5083,1.0000
47000.0000,1.0000,0.5583,0.4924,0.6807,0.6680,0.3384
48000.0000,1.0000,1.0000,1.0000,0.4103,0.6677,0.6734
49000.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4589
