time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000.0000,0.0000,0.0000,0.1207,0.2000,0.0000,0.0000
3000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4000.0000,0.0000,0.3383,0.0000,0.0000,0.4295,0.0000
5000.0000,0.1050,0.0000,0.0000,0.0000,0.4869,0.0000
6000.0000,0.0000,0.0000,0.0000,0.3751,0.0000,0.0000
7000.0000,0.0000,0.2117,0.0000,0.0000,0.0000,0.0000
8000.0000,0.0000,0.0000,0.0000,0.0857,0.0000,0.0000
9000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10000.0000,0.5553,0.3326,0.2604,0.4925,0.2083,0.0000
11000.0000,0.1613,0.4972,0.6013,0.0000,0.2729,0.0000
12000.0000,0.0000,0.4224,0.4477,0.0000,0.4559,0.0000
13000.0000,0.0000,0.0000,0.0000,0.4033,0.5008,0.0000
14000.0000,0.3394,0.0000,0.2822,0.6159,0.4460,0.0000
15000.0000,0.4485,0.0000,0.2439,0.0000,0.0000,0.0000
16000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17000.0000,0.0000,0.0000,0.0000,0.3316,0.0000,0.1464
18000.0000,0.3515,0.0000,0.1999,0.0000,0.0000,0.0000
19000.0000,0.0000,0.4580,0.0000,0.0000,0.0000,0.0000
20000.0000,0.0000,0.4749,0.4636,0.0000,0.0000,0.0000
21000.0000,0.5000,0.0000,0.0000,0.0000,0.2504,0.0000
22000.0000,0.4838,0.0000,0.0000,0.5559,0.0000,0.0000
23000.0000,0.4694,0.4715,0.0000,0.0000,0.4908,0.0000
24000.0000,0.3326,0.0000,0.2573,0.0000,0.2500,0.0000
25000.0000,0.5018,0.4308,0.0000,0.0000,0.0000,0.2224
26000.0000,0.3348,0.4763,0.0000,0.6242,0.0000,0.0000
27000.0000,0.0000,0.4642,0.0000,0.0000,0.0000,0.0000
28000.0000,0.3397,0.5024,0.0000,0.0000,0.0000,0.0000
29000.0000,0.5032,0.0000,0.0000,0.0000,0.4854,0.0000
30000.0000,0.2520,0.4453,0.0000,0.0000,0.0000,0.0000
31000.0000,0.4324,0.4606,0.1008,0.5000,0.0000,0.0000
32000.0000,0.0000,0.4059,0.0000,0.0000,0.4047,0.0000
33000.0000,0.2187,0.3354,0.0000,0.1393,0.3340,0.0000
34000.0000,0.0000,0.2500,0.5170,0.0000,0.4328,0.0000
35000.0000,0.5048,0.0000,0.2364,0.5996,0.4769,0.0000
36000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37000.0000,0.0000,0.0000,0.0000,0.3056,0.0000,0.0000
38000.0000,0.4038,0.4059,0.0000,0.5000,0.3401,0.0000
39000.0000,0.0000,0.0000,0.5306,0.0000,0.5044,0.0000
40000.0000,0.5056,0.0000,0.1198,0.0000,0.4784,0.0000
41000.0000,0.5000,0.4841,0.0000,0.3291,0.0000,0.0000
42000.0000,0.4428,0.4104,0.0000,0.0000,0.4059,0.1565
43000.0000,0.0000,0.0000,0.0000,0.2857,0.0000,0.0000
44000.0000,0.5355,0.0000,0.0000,0.0000,0.4854,0.0000
45000.0000,0.0000,0.4887,0.3629,0.0000,0.2075,0.0000
46000.0000,0.3355,0.1680,0.0000,0.0000,0.0000,0.1268
47000.0000,0.5016,0.0000,0.0000,0.0000,0.0000,0.0000
48000.0000,0.5250,0.4471,0.2121,0.0000,0.0000,0.0000
49000.0000,0.5471,0.4604,0.1616,0.4062,0.4041,0.0000
