time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.0389,0.0327,0.0859,0.1173,0.0762,0.0519
2000.0000,0.0303,0.0336,0.1662,0.1448,0.0273,0.0552
3000.0000,0.0516,0.0359,0.0065,0.1653,0.0218,0.0330
4000.0000,0.0424,0.0272,0.0072,0.0985,0.0186,0.0582
5000.0000,0.0492,0.0187,0.0091,0.1441,0.0207,0.0403
6000.0000,0.0385,0.0370,0.0049,0.2285,0.0842,0.0553
7000.0000,0.0815,0.0389,0.2074,0.0571,0.0341,0.0564
8000.0000,0.0278,0.0930,0.0945,0.1491,0.0119,0.0447
9000.0000,0.0250,0.0195,0.1456,0.1126,0.0360,0.0652
10000.0000,0.0305,0.0186,0.1290,0.1084,0.0375,0.0591
11000.0000,0.0287,0.0362,0.1094,0.1267,0.0358,0.0572
12000.0000,0.0188,0.0257,0.1063,0.0412,0.0201,0.0759
13000.0000,0.0343,0.0301,0.1242,0.0671,0.0314,0.0751
14000.0000,0.0218,0.0195,0.1111,0.0695,0.0204,0.0910
15000.0000,0.0205,0.0299,0.1078,0.0931,0.0207,0.0587
16000.0000,0.0214,0.0262,0.0873,0.0484,0.0342,0.0770
17000.0000,0.0237,0.0246,0.0961,0.2234,0.0369,0.0889
18000.0000,0.0285,0.0186,0.1098,0.0921,0.0206,0.0727
19000.0000,0.0188,0.0208,0.0974,0.0559,0.0207,0.0683
20000.0000,0.0183,0.0367,0.1035,0.0395,0.0252,0.0789
21000.0000,0.0254,0.0215,0.0898,0.0988,0.0201,0.1204
22000.0000,0.0266,0.0421,0.0929,0.0594,0.0247,0.0903
23000.0000,0.0193,0.0327,0.1052,0.0148,0.0256,0.1079
24000.0000,0.0190,0.0210,0.1445,0.0927,0.0205,0.0718
25000.0000,0.0306,0.0311,0.0484,0.0860,0.0257,0.0678
26000.0000,0.0196,0.0225,0.0584,0.0296,0.0251,0.0700
27000.0000,0.0286,0.0193,0.0674,0.0308,0.0256,0.0634
28000.0000,0.0214,0.0293,0.0766,0.0086,0.0206,0.0669
29000.0000,0.0260,0.0459,0.0635,0.1008,0.0259,0.0855
30000.0000,0.0267,0.0265,0.0697,0.0673,0.0302,0.1072
31000.0000,0.0281,0.0228,0.0644,0.0261,0.0247,0.0988
32000.0000,0.0410,0.0242,0.1079,0.0403,0.0334,0.0891
33000.0000,0.0913,0.0218,0.0981,0.3660,0.0187,0.0772
34000.0000,0.0314,0.0213,0.1068,0.0673,0.0262,0.0759
35000.0000,0.0284,0.0306,0.0953,0.0447,0.0294,0.0808
36000.0000,0.0383,0.0233,0.1139,0.0438,0.0277,0.0755
37000.0000,0.0574,0.0317,0.1048,0.0918,0.0195,0.0764
38000.0000,0.0809,0.0259,0.1047,0.0571,0.0249,0.0735
39000.0000,0.1142,0.0219,0.1283,0.0816,0.0346,0.0578
40000.0000,0.0327,0.0216,0.1203,0.0487,0.0252,0.0830
41000.0000,0.0333,0.0282,0.0975,0.2217,0.0201,0.0788
42000.0000,0.0621,0.0239,0.0135,0.1423,0.0257,0.0817
43000.0000,0.0277,0.0271,0.1657,0.1254,0.0358,0.0737
44000.0000,0.0275,0.0257,0.1191,0.1094,0.0263,0.0577
45000.0000,0.0234,0.0247,0.1024,0.1225,0.0263,0.0350
46000.0000,0.0227,0.0259,0.1424,0.1412,0.0427,0.0628
47000.0000,0.0155,0.0309,0.1024,0.1291,0.0196,0.0225
48000.0000,0.0237,0.0276,0.1267,0.1384,0.0228,0.0521
49000.0000,0.0367,0.0218,0.0837,0.2238,0.0197,0.0382
