time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,280.9768,,,,,
1000.0900,,489.9559,,,,
1000.5785,,,,155.9098,,
1000.6788,,,302.7945,,,
1000.8090,,,,,,27.9774
1000.9588,,,,,500.5201,
2000.1200,530.9801,,,,,
2000.2591,,,,229.0732,,
2000.3512,,,,,503.3058,
2000.4050,,483.8476,,,,
2000.4565,,,,,,171.0603
2000.7838,,,310.9673,,,
3000.0725,544.0258,,,,,
3000.1490,,,,,,172.0529
3000.2238,,,303.1698,,,
3000.4513,,,,181.9650,,
3000.5188,,513.9415,,,,
3000.9237,,,,,502.7122,
4000.0188,,,,,499.4520,
4000.1200,524.9751,,,,,
4000.2550,,,158.9950,,,
4000.3475,,504.0863,,,,
4000.9215,,,,,,184.8572
4001.2138,,,,396.6975,,
5000.0337,,500.1569,,,,
5000.0422,,,,151.1771,,
5000.1337,,,391.0474,,,
5000.1675,573.9727,,,,,
5000.2163,,,,,509.8993,
5000.2890,,,,,,168.1063
6000.0887,,,382.0172,,,
6000.1740,,,,,,174.0200
6000.5100,,504.7596,,,,
6000.9113,,,,,470.6729,
6001.0784,,,,445.5383,,
6001.4749,543.2897,,,,,
7000.1163,,511.2013,,,,
7000.1763,,,362.9682,,,
7000.1800,,,,,503.3681,
7000.1977,488.6241,,,,,
7000.8240,,,,,,168.8902
7001.1754,,,,103.9899,,
8000.0117,497.0924,,,,,
8000.0288,,,174.0257,,,
8000.1090,,,,,,181.1295
8000.2388,,,,,453.9733,
8000.3638,,485.8797,,,,
8002.1929,,,,411.5812,,
9000.0100,,503.1780,,,,
9000.0713,,,489.9792,,,
9000.1150,,,,,482.0597,
9000.1730,477.9229,,,,,
9000.2740,,,,,,162.9731
9000.8413,,,,164.2220,,
10000.1737,,,381.9608,,,
10000.4430,474.8718,,,,,
10000.5100,,,,,483.8089,
10000.6712,,506.6650,,,,
10000.8990,,,,,,191.8801
10001.2787,,,,325.8575,,
11000.1588,,,381.0057,,,
11000.2530,505.0960,,,,,
11000.3315,,,,,,165.0937
11000.4312,,,,,493.0388,
11000.5788,,497.0460,,,,
11001.4012,,,,233.9713,,
12000.1030,500.0750,,,,,
12000.2075,,,,,494.1106,
