time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,0.1362,,,,,
1000.0900,,0.4753,,,,
1000.5785,,,,0.5045,,
1000.6788,,,0.4302,,,
1000.8090,,,,,,0.0269
1000.9588,,,,,0.5209,
2000.1200,0.2914,,,,,
2000.2591,,,,0.3835,,
2000.3512,,,,,0.5099,
2000.4050,,0.4688,,,,
2000.4565,,,,,,0.1638
2000.7838,,,0.4470,,,
3000.0725,0.3012,,,,,
3000.1490,,,,,,0.1647
3000.2238,,,0.4054,,,
3000.4513,,,,0.4030,,
3000.5188,,0.5044,,,,
3000.9237,,,,,0.5069,
4000.0188,,,,,0.5256,
4000.1200,0.2852,,,,,
4000.2550,,,0.2654,,,
4000.3475,,0.5068,,,,
4000.9215,,,,,,0.1770
4001.2138,,,,0.6028,,
5000.0337,,0.5052,,,,
5000.0422,,,,0.3344,,
5000.1337,,,0.5369,,,
5000.1675,0.3393,,,,,
5000.2163,,,,,0.5295,
5000.2890,,,,,,0.1610
6000.0887,,,0.5158,,,
6000.1740,,,,,,0.1666
6000.5100,,0.5091,,,,
6000.9113,,,,,0.5220,
6001.0784,,,,0.6781,,
6001.4749,0.3207,,,,,
7000.1163,,0.5084,,,,
7000.1763,,,0.4991,,,
7000.1800,,,,,0.5118,
7000.1977,0.5502,,,,,
7000.8240,,,,,,0.1617
7001.1754,,,,0.2288,,
8000.0117,0.5725,,,,,
8000.0288,,,0.3167,,,
8000.1090,,,,,,0.1734
8000.2388,,,,,0.4903,
8000.3638,,0.4716,,,,
8002.1929,,,,0.7569,,
9000.0100,,0.4919,,,,
9000.0713,,,0.6087,,,
9000.1150,,,,,0.5408,
9000.1730,0.5755,,,,,
9000.2740,,,,,,0.1560
9000.8413,,,,0.2890,,
10000.1737,,,0.5267,,,
10000.4430,0.6061,,,,,
10000.5100,,,,,0.5246,
10000.6712,,0.5035,,,,
10000.8990,,,,,,0.1837
10001.2787,,,,0.7225,,
11000.1588,,,0.5662,,,
11000.2530,0.5051,,,,,
11000.3315,,,,,,0.1581
11000.4312,,,,,0.5011,
11000.5788,,0.5059,,,,
