time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,0.0000,,,,,
1000.0900,,0.0000,,,,
1000.5785,,,,0.0000,,
1000.6788,,,58.0000,,,
1000.8090,,,,,,3.0000
1000.9588,,,,,4.0000,
2000.1200,0.0000,,,,,
2000.2591,,,,72.0000,,
2000.3512,,,,,3.0000,
2000.4050,,2.0000,,,,
2000.4565,,,,,,2.0000
2000.7838,,,124.0000,,,
3000.0725,0.0000,,,,,
3000.1490,,,,,,2.0000
3000.2238,,,111.0000,,,
3000.4513,,,,119.0000,,
3000.5188,,3.0000,,,,
3000.9237,,,,,0.0000,
4000.0188,,,,,0.0000,
4000.1200,0.0000,,,,,
4000.2550,,,27.0000,,,
4000.3475,,4.0000,,,,
4000.9215,,,,,,4.0000
4001.2138,,,,52.0000,,
5000.0337,,8.0000,,,,
5000.0422,,,,130.0000,,
5000.1337,,,30.0000,,,
5000.1675,0.0000,,,,,
5000.2163,,,,,0.0000,
5000.2890,,,,,,10.0000
6000.0887,,,10.0000,,,
6000.1740,,,,,,13.0000
6000.5100,,3.0000,,,,
6000.9113,,,,,0.0000,
6001.0784,,,,13.0000,,
6001.4749,0.0000,,,,,
7000.1163,,3.0000,,,,
7000.1763,,,22.0000,,,
7000.1800,,,,,3.0000,
7000.1977,0.0000,,,,,
7000.8240,,,,,,13.0000
7001.1754,,,,138.0000,,
8000.0117,0.0000,,,,,
8000.0288,,,216.0000,,,
8000.1090,,,,,,14.0000
8000.2388,,,,,0.0000,
8000.3638,,1.0000,,,,
8002.1929,,,,0.0000,,
9000.0100,,0.0000,,,,
9000.0713,,,22.0000,,,
9000.1150,,,,,4.0000,
9000.1730,0.0000,,,,,
9000.2740,,,,,,24.0000
9000.8413,,,,122.0000,,
10000.1737,,,18.0000,,,
10000.4430,0.0000,,,,,
10000.5100,,,,,0.0000,
10000.6712,,6.0000,,,,
10000.8990,,,,,,10.0000
10001.2787,,,,23.0000,,
11000.1588,,,142.0000,,,
11000.2530,9.0000,,,,,
11000.3315,,,,,,31.0000
11000.4312,,,,,6.0000,
11000.5788,,5.0000,,,,
11001.4012,,,,119.0000,,
12000.1030,8.0000,,,,,
12000.2075,,,,,4.0000,
12000.2612,,,115.0000,,,
12000.4040,,,,,,40.0000
12000.5378,,,,42.0000,,
12000.9487,,7.0000,,,,
13000.1065,,,,,,24.0000
13000.3037,,,691.0000,,,
13000.3817,8.0000,,,,,
13000.6612,,6.0000,,,,
13000.9103,,,,257.0000,,
13000.9762,,,,,8.0000,
14000.1055,8.0000,,,,,
14000.1562,,7.0000,,,,
14000.2200,,,307.0000,,,
14000.8137,,,,,6.0000,
14000.8815,,,,,,37.0000
14001.3253,,,,195.0000,,
15000.2015,,,,,,43.0000
15000.2955,6.0000,,,,,
15000.3638,,4.0000,,,,
15000.3700,,,305.0000,,,
15000.9513,,,,,4.0000,
15001.5214,,,,0.0000,,
16000.0315,,,,,,74.0000
16000.1575,,9.0000,,,,
16000.1600,,,32.0000,,,
16000.1900,,,,,4.0000,
16000.4255,3.0000,,,,,
16001.3699,,,,232.0000,,
17000.1063,,,32.0000,,,
17000.1190,,,,,,116.0000
17000.1725,,,,,7.0000,
17000.2924,,,,254.0000,,
17000.3187,,7.0000,,,,
17000.6317,12.0000,,,,,
18000.1813,,,,,4.0000,
18000.2412,,,392.0000,,,
18000.2625,,7.0000,,,,
18000.6065,,,,,,99.0000
18000.7517,13.0000,,,,,
18001.3049,,,,84.0000,,
19000.2515,,,,,,114.0000
19000.2875,,,758.0000,,,
19000.4087,,7.0000,,,,
19000.6767,13.0000,,,,,
19000.7400,,,,,4.0000,
19000.9344,,,,117.0000,,
20000.0438,,,,,4.0000,
20000.1162,,5.0000,,,,
20000.2615,,,,,,176.0000
20000.2637,,,91.0000,,,
20000.5930,10.0000,,,,,
20000.5982,,,,267.0000,,
21000.0013,,,121.0000,,,
21000.2650,,6.0000,,,,
21000.2665,,,,,,426.0000
21000.5342,11.0000,,,,,
21000.6888,,,,,3.0000,
21001.1682,,,,145.0000,,
22000.0367,12.0000,,,,,
22000.1875,,,698.0000,,,
22000.2238,,,,,4.0000,
22000.2463,,6.0000,,,,
22000.2765,,,,,,549.0000
22000.5585,,,,40.0000,,
23000.0062,,,1297.0000,,,
23000.1130,18.0000,,,,,
23000.2310,,,,355.0000,,
23000.3625,,5.0000,,,,
23000.4000,,,,,4.0000,
23000.9315,,,,,,583.0000
24000.3237,,,101.0000,,,
24000.5513,,8.0000,,,,
24000.5590,,,,,,639.0000
24000.9485,,,,513.0000,,
24000.9617,18.0000,,,,,
24001.0075,,,,,6.0000,
25000.1350,,,4.0000,,,
25000.2497,,,,547.0000,,
25000.4888,,,,,5.0000,
25000.5767,19.0000,,,,,
25000.6065,,,,,,788.0000
25000.6188,,8.0000,,,,
26000.3675,,8.0000,,,,
26000.3763,,,15.0000,,,
26000.4890,,,,,,947.0000
26000.7155,21.0000,,,,,
26000.7863,,,,,6.0000,
26001.0047,,,,439.0000,,
27000.1705,22.0000,,,,,
27000.2190,,,,,,985.0000
27000.3825,,,31.0000,,,
27000.8438,,4.0000,,,,
27000.9613,,,,,5.0000,
27001.2010,,,,268.0000,,
28000.0890,,,,,,991.0000
28000.1188,,8.0000,,,,
28000.3363,,,29.0000,,,
28000.4113,,,,,6.0000,
28000.4880,22.0000,,,,,
28001.5185,,,,36.0000,,
29000.2012,,,23.0000,,,
29000.2715,,,,,,1114.0000
29000.3254,,,,188.0000,,
29000.4487,,,,,5.0000,
29000.5167,28.0000,,,,,
29000.7125,,9.0000,,,,
30000.2200,,,,,7.0000,
30000.2287,,,3.0000,,,
30000.4829,,,,458.0000,,
30000.6392,28.0000,,,,,
30000.9390,,,,,,1254.0000
30000.9637,,7.0000,,,,
31000.2287,,,0.0000,,,
31000.3979,,,,531.0000,,
31000.6755,18.0000,,,,,
31000.6838,,5.0000,,,,
31000.8025,,,,,9.0000,
31000.8090,,,,,,649.0000
32000.0025,,,125.0000,,,
32000.0840,,,,,,601.0000
32000.2775,,,,,6.0000,
32000.3855,83.0000,,,,,
32000.5700,,4.0000,,,,
32001.2416,,,,474.0000,,
33000.0200,,4.0000,,,,
33000.0825,,,490.0000,,,
33000.1367,88.0000,,,,,
33000.6165,,,,,,617.0000
33000.8525,,,,,7.0000,
33001.3829,,,,342.0000,,
34000.2550,,,832.0000,,,
34000.2930,86.0000,,,,,
34000.3890,,,,,,584.0000
34000.5441,,,,126.0000,,
34000.8587,,,,,6.0000,
34000.9662,,7.0000,,,,
35000.1781,,,,78.0000,,
35000.2462,,,,,2.0000,
35000.3763,,,283.0000,,,
35000.5315,,,,,,671.0000
35000.6630,80.0000,,,,,
35000.8800,,6.0000,,,,
36000.0056,,,,264.0000,,
36000.1125,,,,,6.0000,
36000.4890,,,,,,634.0000
36000.6000,,,164.0000,,,
36000.6255,57.0000,,,,,
36000.7562,,4.0000,,,,
37000.1712,,,168.0000,,,
37000.2018,,,,208.0000,,
37000.4015,,,,,,701.0000
37000.7267,17.0000,,,,,
37000.7325,,3.0000,,,,
37001.0150,,,,,4.0000,
38000.0400,,,528.0000,,,
38000.3015,,,,,,689.0000
38000.4017,203.0000,,,,,
38000.5150,,6.0000,,,,
38000.9362,,,,,4.0000,
38002.0029,,,,0.0000,,
39000.0290,,,,,,724.0000
39000.1374,,,,227.0000,,
39000.1612,,,,,6.0000,
39000.2500,,,832.0000,,,
39000.3605,207.0000,,,,,
39000.8913,,5.0000,,,,
40000.3565,,,,,,660.0000
40000.4800,,3.0000,,,,
40000.4967,188.0000,,,,,
40000.5049,,,,247.0000,,
40000.5088,,,,,5.0000,
40000.7862,,,92.0000,,,
41000.1790,,,,,,333.0000
41000.2538,,,63.0000,,,
41000.2724,,,,68.0000,,
41000.3725,,4.0000,,,,
41000.4413,,,,,6.0000,
41000.4855,33.0000,,,,,
42000.1455,0.0000,,,,,
42000.3662,,,19.0000,,,
42000.5490,,,,,,332.0000
42000.8262,,,,,7.0000,
42001.0200,,7.0000,,,,
42001.0452,,,,120.0000,,
43000.1215,,,,,,327.0000
43000.1338,,,37.0000,,,
43000.1641,0.0000,,,,,
43000.2115,,,,24.0000,,
43000.3200,,,,,6.0000,
43000.3475,,7.0000,,,,
44000.1087,,,52.0000,,,
44000.1621,1.0000,,,,,
44000.2903,,,,137.0000,,
44000.4915,,,,,,309.0000
44000.5725,,,,,4.0000,
44000.8325,,4.0000,,,,
45000.0908,0.0000,,,,,
45000.1937,,,120.0000,,,
45000.6065,,,,,,299.0000
45000.6600,,,,,6.0000,
45000.8225,,7.0000,,,,
45002.2783,,,,0.0000,,
46000.0212,,,93.0000,,,
46000.4525,,,,,5.0000,
46000.5713,,7.0000,,,,
46000.6214,4.0000,,,,,
46000.7840,,,,,,271.0000
46001.3443,,,,140.0000,,
47000.1300,,5.0000,,,,
47000.3135,0.0000,,,,,
47000.3815,,,,,,295.0000
47000.5700,,,56.0000,,,
47000.6250,,,,,4.0000,
47001.7147,,,,0.0000,,
48000.0750,,,91.0000,,,
48000.3012,,,,,3.0000,
48000.3662,,5.0000,,,,
48000.5344,2.0000,,,,,
48000.8915,,,,,,218.0000
48001.0560,,,,127.0000,,
49000.0040,,,,,,242.0000
49000.1288,,,,,8.0000,
49000.2812,,,37.0000,,,
49000.4075,,4.0000,,,,
49000.6171,,,,0.0000,,
49002.4158,0.0000,,,,,
