time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,7,4,95,60,6,23
2000.0000,33,6,60,93,5,481
3000.0000,28,5,161,141,6,487
4000.0000,26,7,257,146,7,462
5000.0000,17,8,372,140,7,513
6000.0000,10,6,446,141,5,509
7000.0000,5,6,457,136,7,522
8000.0000,5,9,192,144,7,439
9000.0000,5,8,190,151,9,486
10000.0000,4,7,258,122,8,491
11000.0000,11,12,174,158,9,545
12000.0000,14,11,134,238,11,1041
13000.0000,15,12,130,262,10,992
14000.0000,16,10,131,170,11,940
15000.0000,17,12,135,294,11,1025
16000.0000,19,12,148,284,12,985
17000.0000,21,10,125,202,12,1009
18000.0000,23,11,131,287,11,991
19000.0000,28,10,134,229,10,946
20000.0000,30,13,142,240,12,1013
21000.0000,34,10,135,287,11,1387
22000.0000,39,11,60,190,11,1935
23000.0000,42,13,69,425,12,2018
24000.0000,47,12,51,549,12,1970
25000.0000,55,11,55,577,11,1977
26000.0000,61,11,55,457,13,2033
27000.0000,69,12,57,252,11,1984
28000.0000,79,11,61,357,11,2016
29000.0000,88,12,56,530,11,1910
30000.0000,102,11,49,579,13,2036
31000.0000,114,12,116,490,12,1558
32000.0000,130,11,122,336,11,969
33000.0000,168,12,139,245,10,985
34000.0000,183,11,154,299,11,1024
35000.0000,202,11,128,229,11,997
36000.0000,208,11,130,273,10,997
37000.0000,245,12,119,300,11,1005
38000.0000,242,10,148,182,11,985
39000.0000,262,11,133,279,11,1015
40000.0000,272,11,140,277,10,976
41000.0000,230,11,122,194,11,777
42000.0000,45,10,282,224,11,479
43000.0000,13,10,349,134,9,499
44000.0000,6,11,284,132,11,469
45000.0000,6,10,244,161,10,474
46000.0000,7,11,266,118,10,502
47000.0000,6,10,97,139,10,515
48000.0000,5,10,168,140,10,456
49000.0000,5,10,162,139,10,478
