time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.0200,0.3421,34.1386,20.4677,0.5026,6.3807
2000.0000,0.7964,1.2712,20.9456,43.4579,0.5380,167.2239
3000.0000,0.7227,0.5070,106.0003,54.0023,0.4208,186.2513
4000.0000,0.9414,1.9647,211.6799,68.9303,2.6136,163.2476
5000.0000,0.5114,3.3207,311.1319,98.2020,1.6243,187.6598
6000.0000,0.2266,1.0047,408.3414,57.5727,0.4094,173.9570
7000.0000,0.3445,0.8344,147.5124,52.9031,0.9142,180.9382
8000.0000,0.3965,2.7635,64.4281,88.1479,0.6755,168.0507
9000.0000,0.6197,3.8884,76.1677,85.7093,2.6938,165.7576
10000.0000,0.3939,3.5069,102.4689,50.8399,3.4049,174.4994
11000.0000,4.7825,4.7528,72.2080,101.2026,4.5579,212.9981
12000.0000,6.8835,5.9531,58.1620,97.9398,5.3658,388.4955
13000.0000,8.3976,5.3126,62.6543,223.9444,5.7424,378.9082
14000.0000,8.7409,6.1049,62.1119,45.7495,5.5338,356.3003
15000.0000,9.5118,5.3191,62.1687,231.5447,5.9205,368.6480
16000.0000,10.3923,6.0519,71.6120,200.6911,5.2980,367.1502
17000.0000,10.9647,5.1099,59.6614,52.5796,5.9072,386.0151
18000.0000,13.2689,5.9969,56.6496,256.6904,5.2152,386.3195
19000.0000,15.0986,5.2204,67.6642,121.8237,5.9379,357.9463
20000.0000,17.3946,6.2251,62.3305,94.4691,5.3306,373.9080
21000.0000,20.8041,5.7924,53.2212,249.3568,6.0428,573.8727
22000.0000,25.0280,5.2667,29.3784,41.6921,5.3007,704.8207
23000.0000,28.2745,7.0533,27.2720,244.7937,6.9682,712.7836
24000.0000,31.2392,6.3897,21.6387,495.5968,6.0942,722.0538
25000.0000,35.2405,6.1569,23.1415,531.1873,5.8790,726.9958
26000.0000,40.9166,5.4877,24.1796,368.7519,5.6795,696.2149
27000.0000,45.9602,6.5282,25.5002,71.0549,6.7754,700.9219
28000.0000,51.6299,6.4697,28.4534,141.9329,6.1590,727.1533
29000.0000,57.9115,6.1842,22.6445,472.2848,5.7582,685.6105
30000.0000,66.0287,5.1965,18.7515,541.6658,5.7117,733.3644
31000.0000,71.7281,6.8338,38.5421,411.9403,6.7672,597.1314
32000.0000,66.0460,5.4944,56.3624,183.5890,6.1906,383.5368
33000.0000,65.8957,5.7729,69.5886,78.1066,5.8779,357.7741
34000.0000,96.9136,5.4124,65.9077,262.6523,5.2404,391.5627
35000.0000,98.4815,5.8057,56.0985,92.1538,5.9725,388.9286
36000.0000,96.9699,5.1843,63.3181,140.2049,5.0879,360.2167
37000.0000,101.6811,6.0489,53.2195,249.0938,6.0531,357.7126
38000.0000,85.0571,5.3513,70.2136,48.7617,5.0746,402.9753
39000.0000,76.8919,5.8614,55.7088,212.3452,6.0530,391.1939
40000.0000,103.1976,5.5352,62.5430,186.0620,4.9667,377.6065
41000.0000,68.8627,5.6142,51.0427,57.1159,6.3313,319.0034
42000.0000,2.8881,5.2348,129.1453,197.7512,5.4638,175.7955
43000.0000,0.3141,5.1520,138.6282,52.6616,5.0492,181.4050
44000.0000,0.9190,5.1648,132.3333,68.1013,5.1447,175.6353
45000.0000,0.5720,5.1852,93.7615,111.4369,5.0913,160.9476
46000.0000,0.8897,5.0284,85.4990,51.5083,5.1710,186.4676
47000.0000,0.6684,5.0729,45.8925,69.9216,5.1930,183.1421
48000.0000,0.5801,5.0152,60.9705,96.5549,5.1073,174.7729
49000.0000,0.4360,5.1417,62.8504,55.4277,5.0030,161.2670
