time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0,0,0,0,0,0
2000.0000,0,0,0,0,0,0
3000.0000,0,0,52,0,0,0
4000.0000,0,0,161,0,0,0
5000.0000,0,0,257,9,0,0
6000.0000,0,0,372,0,0,0
7000.0000,0,0,0,0,0,0
8000.0000,0,0,0,0,0,0
9000.0000,0,0,0,0,0,0
10000.0000,0,0,0,0,0,0
11000.0000,0,0,0,0,0,0
12000.0000,0,1,0,0,0,0
13000.0000,0,0,0,167,1,0
14000.0000,0,1,0,0,0,0
15000.0000,0,0,0,100,1,0
16000.0000,0,1,0,88,0,0
17000.0000,0,0,0,0,1,0
18000.0000,0,1,0,201,0,0
19000.0000,0,1,0,0,1,0
20000.0000,0,0,0,0,0,0
21000.0000,0,1,0,188,1,0
22000.0000,0,1,0,0,0,0
23000.0000,0,0,0,48,2,0
24000.0000,0,2,0,424,1,0
25000.0000,0,1,0,457,1,0
26000.0000,0,1,0,251,0,0
27000.0000,0,0,0,0,2,0
28000.0000,0,2,0,0,1,0
29000.0000,0,1,0,357,1,0
30000.0000,0,1,0,488,0,0
31000.0000,0,0,0,335,2,0
32000.0000,0,1,0,29,1,0
33000.0000,0,0,0,0,1,0
34000.0000,0,1,0,229,0,0
35000.0000,0,0,0,0,1,0
36000.0000,0,1,0,0,0,0
37000.0000,0,0,0,181,1,0
38000.0000,0,1,0,0,0,0
39000.0000,0,0,0,83,1,0
40000.0000,0,1,0,79,0,0
41000.0000,0,0,0,0,2,0
42000.0000,0,0,8,132,1,0
43000.0000,0,0,0,0,0,0
44000.0000,0,0,0,0,0,0
45000.0000,0,0,0,0,0,0
46000.0000,0,0,0,0,0,0
47000.0000,0,0,0,0,0,0
48000.0000,0,0,0,0,0,0
49000.0000,0,0,0,0,0,0
