time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.3004,0.8452,26.5613,20.5982,0.8865,2.9028
2000.0000,3.8136,1.5267,14.3445,34.3825,0.8633,137.6467
3000.0000,3.4384,1.0409,31.2364,47.6421,0.7504,143.2410
4000.0000,3.6767,1.8645,28.1338,55.0454,1.5837,130.7249
5000.0000,2.1906,1.7314,33.1990,31.8175,1.6312,144.1822
6000.0000,1.0309,1.3786,20.5547,51.4692,0.7240,147.2145
7000.0000,0.7925,1.3641,155.9601,44.0251,1.2884,151.6127
8000.0000,0.8163,1.9665,47.3506,42.5329,1.1276,132.0260
9000.0000,1.0334,1.4754,51.4349,56.4206,1.7234,147.9523
10000.0000,0.8286,1.3751,73.7274,42.7185,1.5973,144.2069
11000.0000,2.2670,1.8611,43.6441,48.8576,1.9395,155.4766
12000.0000,2.7348,1.5758,35.2873,92.2150,1.9029,318.4219
13000.0000,2.7936,1.8340,33.7583,25.2239,1.5310,304.4654
14000.0000,3.0832,1.5712,36.6785,51.8811,2.0534,295.9797
15000.0000,3.5733,1.8294,37.0357,53.8525,1.6367,317.4040
16000.0000,3.8881,1.6890,42.1514,55.0025,2.0482,316.7373
17000.0000,4.7509,1.6708,34.2141,62.2776,1.5347,329.4905
18000.0000,5.6790,1.6092,35.2091,21.5169,1.8671,308.5597
19000.0000,6.3604,1.5748,35.5836,74.4611,1.5487,292.5115
20000.0000,7.0738,1.8413,38.8581,93.5394,2.1188,321.8811
21000.0000,8.6201,1.6376,33.4034,27.2110,1.6243,493.7981
22000.0000,9.5901,1.5474,16.9441,61.5912,2.0001,625.4289
23000.0000,10.3995,1.9869,17.3188,108.9134,1.5852,666.9200
24000.0000,12.3577,1.6367,13.2410,30.5061,1.7084,644.4813
25000.0000,14.9681,1.7172,13.9333,37.1285,1.5524,642.1394
26000.0000,16.8487,1.6231,14.5183,55.7357,2.4205,657.7763
27000.0000,19.3879,2.1991,16.1532,83.8239,1.4766,646.3630
28000.0000,22.0976,1.5653,16.2341,122.0212,1.6186,650.5271
29000.0000,27.1156,1.7403,13.7690,44.3771,1.5294,619.3842
30000.0000,31.1700,1.6118,12.6714,24.0880,2.3870,646.9483
31000.0000,35.0319,1.9650,26.4241,42.6420,1.5272,479.6381
32000.0000,40.8811,1.5972,32.5856,84.5461,1.6572,312.8587
33000.0000,54.1434,1.9243,38.2589,88.6620,1.4996,311.4845
34000.0000,61.6559,1.5659,39.6561,18.9213,2.0367,325.3028
35000.0000,67.8462,1.9153,33.5764,80.6896,1.5319,316.7340
36000.0000,68.3432,1.4973,35.3226,97.8500,1.8426,312.2779
37000.0000,82.9748,1.9017,32.4818,34.9203,1.6485,317.7941
38000.0000,85.8144,1.4960,38.5997,55.7472,1.7804,310.1638
39000.0000,91.5504,1.8983,34.9211,55.2827,1.6101,320.3179
40000.0000,102.3190,1.6198,36.8042,54.7163,1.7091,314.2730
41000.0000,72.9919,1.9004,32.4354,60.8040,1.6747,231.8652
42000.0000,8.0786,1.6664,79.9110,25.7067,1.6565,142.5598
43000.0000,1.3454,1.7020,126.6380,44.0856,1.7109,144.5374
44000.0000,1.2817,1.7347,77.1663,48.3015,1.7903,132.8381
45000.0000,1.0194,1.7088,67.8397,47.6573,1.7168,138.5595
46000.0000,1.3848,1.6482,74.0456,42.3520,1.7514,144.9736
47000.0000,1.0708,1.5497,26.7627,49.6347,1.7654,147.0530
48000.0000,1.0141,1.6143,46.6916,38.5020,1.7165,131.8732
49000.0000,0.8672,1.6390,39.7369,49.0361,1.7491,134.2789
