time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000
2000.0000,9.0000,0.0000,144.0000,101.0000,0.0000,332.0000
3000.0000,0.0000,0.0000,501.0000,310.0000,0.0000,330.0000
4000.0000,0.0000,0.0000,520.0000,409.0000,0.0000,292.0000
5000.0000,0.0000,0.0000,510.0000,400.0000,0.0000,360.0000
6000.0000,0.0000,0.0000,485.0000,486.0000,0.0000,360.0000
7000.0000,0.0000,0.0000,341.0000,372.0000,0.0000,376.0000
8000.0000,0.0000,0.0000,181.0000,378.0000,0.0000,280.0000
9000.0000,0.0000,0.0000,96.0000,452.0000,0.0000,307.0000
10000.0000,0.0000,0.0000,143.0000,477.0000,0.0000,333.0000
11000.0000,0.0000,0.0000,207.0000,452.0000,0.0000,346.0000
12000.0000,144.0000,271.0000,611.0000,937.0000,302.0000,812.0000
13000.0000,490.0000,473.0000,654.0000,950.0000,727.0000,732.0000
14000.0000,550.0000,518.0000,624.0000,1032.0000,977.0000,723.0000
15000.0000,500.0000,500.0000,586.0000,981.0000,860.0000,797.0000
16000.0000,535.0000,530.0000,564.0000,1006.0000,1020.0000,705.0000
17000.0000,502.0000,516.0000,575.0000,996.0000,790.0000,775.0000
18000.0000,423.0000,502.0000,614.0000,939.0000,1004.0000,766.0000
19000.0000,517.0000,529.0000,572.0000,997.0000,713.0000,719.0000
20000.0000,480.0000,517.0000,567.0000,995.0000,965.0000,739.0000
21000.0000,571.0000,583.0000,617.0000,985.0000,804.0000,837.0000
22000.0000,1422.0000,1477.0000,1618.0000,1917.0000,1959.0000,1766.0000
23000.0000,1447.0000,1484.0000,1773.0000,2030.0000,1630.0000,1648.0000
24000.0000,1539.0000,1520.0000,1847.0000,2038.0000,2006.0000,1768.0000
25000.0000,1500.0000,1478.0000,1836.0000,2054.0000,2054.0000,1732.0000
26000.0000,1489.0000,1483.0000,1840.0000,1975.0000,2010.0000,1795.0000
27000.0000,1412.0000,1514.0000,1788.0000,1940.0000,1708.0000,1750.0000
28000.0000,1477.0000,1517.0000,1796.0000,2002.0000,1967.0000,1705.0000
29000.0000,1452.0000,1515.0000,1820.0000,1999.0000,1970.0000,1772.0000
30000.0000,1480.0000,1464.0000,1896.0000,1997.0000,1946.0000,1668.0000
31000.0000,1377.0000,1420.0000,1830.0000,1969.0000,1787.0000,1752.0000
32000.0000,494.0000,589.0000,764.0000,1046.0000,1012.0000,714.0000
33000.0000,365.0000,454.0000,637.0000,1048.0000,1017.0000,726.0000
34000.0000,470.0000,517.0000,578.0000,969.0000,981.0000,747.0000
35000.0000,472.0000,467.0000,643.0000,993.0000,766.0000,800.0000
36000.0000,407.0000,436.0000,669.0000,992.0000,974.0000,751.0000
37000.0000,422.0000,516.0000,654.0000,978.0000,779.0000,691.0000
38000.0000,323.0000,564.0000,575.0000,999.0000,948.0000,766.0000
39000.0000,345.0000,484.0000,565.0000,964.0000,734.0000,747.0000
40000.0000,372.0000,541.0000,586.0000,966.0000,987.0000,749.0000
41000.0000,300.0000,461.0000,580.0000,963.0000,786.0000,692.0000
42000.0000,0.0000,95.0000,298.0000,508.0000,500.0000,345.0000
43000.0000,0.0000,17.0000,264.0000,477.0000,332.0000,318.0000
44000.0000,0.0000,3.0000,199.0000,379.0000,270.0000,335.0000
45000.0000,0.0000,9.0000,124.0000,484.0000,279.0000,295.0000
46000.0000,0.0000,5.0000,141.0000,469.0000,274.0000,336.0000
47000.0000,0.0000,2.0000,147.0000,401.0000,305.0000,340.0000
48000.0000,0.0000,2.0000,124.0000,399.0000,291.0000,323.0000
49000.0000,0.0000,1.0000,175.0000,466.0000,268.0000,306.0000
