time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,280.0000,450.0000,315.0000,179.0000,475.0000,18.0000
2000.0000,514.0000,504.0000,81.0000,300.0000,523.0000,169.0000
3000.0000,513.0000,482.0000,0.0000,270.0000,487.0000,171.0000
4000.0000,545.0000,502.0000,0.0000,452.0000,500.0000,177.0000
5000.0000,562.0000,509.0000,0.0000,357.0000,503.0000,164.0000
6000.0000,546.0000,507.0000,0.0000,251.0000,477.0000,168.0000
7000.0000,474.0000,510.0000,372.0000,377.0000,501.0000,168.0000
8000.0000,511.0000,492.0000,344.0000,473.0000,488.0000,178.0000
9000.0000,525.0000,505.0000,385.0000,229.0000,500.0000,191.0000
10000.0000,483.0000,509.0000,240.0000,318.0000,499.0000,167.0000
11000.0000,515.0000,496.0000,478.0000,515.0000,492.0000,189.0000
12000.0000,501.0000,491.0000,407.0000,103.0000,490.0000,267.0000
13000.0000,503.0000,491.0000,340.0000,469.0000,493.0000,260.0000
14000.0000,503.0000,491.0000,463.0000,391.0000,489.0000,266.0000
15000.0000,507.0000,490.0000,367.0000,226.0000,492.0000,274.0000
16000.0000,507.0000,490.0000,407.0000,598.0000,489.0000,236.0000
17000.0000,510.0000,488.0000,443.0000,211.0000,490.0000,236.0000
18000.0000,506.0000,490.0000,351.0000,380.0000,488.0000,264.0000
19000.0000,511.0000,491.0000,404.0000,618.0000,493.0000,263.0000
20000.0000,512.0000,490.0000,423.0000,100.0000,488.0000,234.0000
21000.0000,511.0000,488.0000,323.0000,454.0000,491.0000,214.0000
22000.0000,510.0000,485.0000,218.0000,463.0000,487.0000,223.0000
23000.0000,513.0000,488.0000,211.0000,33.0000,489.0000,252.0000
24000.0000,516.0000,486.0000,220.0000,281.0000,488.0000,239.0000
25000.0000,515.0000,486.0000,170.0000,495.0000,489.0000,234.0000
26000.0000,518.0000,486.0000,189.0000,607.0000,486.0000,234.0000
27000.0000,522.0000,486.0000,201.0000,594.0000,487.0000,271.0000
28000.0000,523.0000,491.0000,203.0000,27.0000,487.0000,250.0000
29000.0000,524.0000,487.0000,184.0000,233.0000,489.0000,251.0000
30000.0000,529.0000,486.0000,173.0000,444.0000,486.0000,280.0000
31000.0000,540.0000,486.0000,258.0000,556.0000,487.0000,265.0000
32000.0000,568.0000,492.0000,332.0000,706.0000,488.0000,285.0000
33000.0000,522.0000,491.0000,414.0000,110.0000,488.0000,270.0000
34000.0000,563.0000,490.0000,465.0000,421.0000,486.0000,273.0000
35000.0000,587.0000,489.0000,335.0000,577.0000,492.0000,250.0000
36000.0000,601.0000,492.0000,405.0000,108.0000,488.0000,264.0000
37000.0000,613.0000,490.0000,364.0000,496.0000,490.0000,286.0000
38000.0000,634.0000,490.0000,385.0000,420.0000,488.0000,266.0000
39000.0000,660.0000,490.0000,451.0000,216.0000,492.0000,270.0000
40000.0000,680.0000,490.0000,367.0000,600.0000,488.0000,270.0000
41000.0000,746.0000,492.0000,382.0000,210.0000,493.0000,307.0000
42000.0000,694.0000,492.0000,0.0000,467.0000,492.0000,194.0000
43000.0000,519.0000,496.0000,367.0000,343.0000,490.0000,184.0000
44000.0000,511.0000,493.0000,314.0000,446.0000,495.0000,205.0000
45000.0000,505.0000,495.0000,201.0000,285.0000,494.0000,164.0000
46000.0000,526.0000,494.0000,534.0000,319.0000,490.0000,176.0000
47000.0000,534.0000,494.0000,348.0000,446.0000,494.0000,172.0000
48000.0000,507.0000,494.0000,350.0000,327.0000,492.0000,170.0000
49000.0000,488.0000,494.0000,279.0000,262.0000,492.0000,177.0000
