time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,0.0000,,,,,
1000.0900,,0.0000,,,,
1000.5785,,,,0.0000,,
1000.6788,,,0.9993,,,
1000.8090,,,,,,1.9984
1000.9588,,,,,0.0000,
2000.1200,8.9997,,,,,
2000.2591,,,,269.0859,,
2000.3512,,,,,0.0000,
2000.4050,,0.0000,,,,
2000.4565,,,,,,309.1090
2000.7838,,,78.9917,,,
3000.0725,0.0000,,,,,
3000.1490,,,,,,290.0892
3000.2238,,,112.0628,,,
3000.4513,,,,463.9108,,
3000.5188,,0.0000,,,,
3000.9237,,,,,0.0000,
4000.0188,,,,,0.0000,
4000.1200,0.0000,,,,,
4000.2550,,,332.9896,,,
4000.3475,,0.0000,,,,
4000.9215,,,,,,317.7545
4001.2138,,,,453.6541,,
5000.0337,,0.0000,,,,
5000.0422,,,,486.5701,,
5000.1337,,,237.0287,,,
5000.1675,0.0000,,,,,
5000.2163,,,,,0.0000,
5000.2890,,,,,,351.2221
6000.0887,,,118.0053,,,
6000.1740,,,,,,334.0384
6000.5100,,0.0000,,,,
6000.9113,,,,,0.0000,
6001.0784,,,,476.5062,,
6001.4749,0.0000,,,,,
7000.1163,,0.0000,,,,
7000.1763,,,141.9876,,,
7000.1800,,,,,0.0000,
7000.1977,0.0000,,,,,
7000.8240,,,,,,313.7960
7001.1754,,,,495.9519,,
8000.0117,0.0000,,,,,
8000.0288,,,113.0167,,,
8000.1090,,,,,,331.2368
8000.2388,,,,,0.0000,
8000.3638,,0.0000,,,,
8002.1929,,,,405.5873,,
9000.0100,,0.0000,,,,
9000.0713,,,151.9935,,,
9000.1150,,,,,0.0000,
9000.1730,0.0000,,,,,
9000.2740,,,,,,317.9475
9000.8413,,,,439.5942,,
10000.1737,,,166.9829,,,
10000.4430,0.0000,,,,,
10000.5100,,,,,0.0000,
10000.6712,,0.0000,,,,
10000.8990,,,,,,347.7826
10001.2787,,,,444.8055,,
11000.1588,,,144.0022,,,
11000.2530,0.0000,,,,,
11000.3315,,,,,,344.1953
11000.4312,,,,,0.0000,
11000.5788,,0.0000,,,,
11001.4012,,,,493.9395,,
12000.1030,91.0137,,,,,
12000.2075,,,,,233.0521,
12000.2612,,,442.9546,,,
12000.4040,,,,,,755.9452
12000.5378,,,,987.8530,,
12000.9487,,269.9001,,,,
13000.1065,,,,,,731.2175
13000.3037,,,848.9639,,,
13000.3817,532.8515,,,,,
13000.6612,,493.1418,,,,
13000.9103,,,,961.6418,,
13000.9762,,,,,736.4339,
14000.1055,517.1429,,,,,
14000.1562,,486.2456,,,,
14000.2200,,,704.0590,,,
14000.8137,,,,,856.1391,
14000.8815,,,,,,723.4393
14001.3253,,,,955.6034,,
15000.2015,,,,,,721.4906
15000.2955,493.9062,,,,,
15000.3638,,514.8932,,,,
15000.3700,,,610.9084,,,
15000.9513,,,,,970.8665,
15001.5214,,,,1024.7990,,
16000.0315,,,,,,730.1241
16000.1575,,542.1118,,,,
16000.1600,,,579.1216,,,
16000.1900,,,,,837.6377,
16000.4255,472.9385,,,,,
16001.3699,,,,1028.1557,,
17000.1063,,,651.0350,,,
17000.1190,,,,,,790.9308
17000.1725,,,,,994.0174,
17000.2924,,,,977.0528,,
17000.3187,,550.9112,,,,
17000.6317,423.9126,,,,,
18000.1813,,,,,785.9931,
18000.2412,,,834.8873,,,
18000.2625,,577.0325,,,,
18000.6065,,,,,,758.6302
18000.7517,498.9401,,,,,
18001.3049,,,,934.0543,,
19000.2515,,,,,,774.2749
19000.2875,,,982.9545,,,
19000.4087,,487.9286,,,,
19000.6767,529.0397,,,,,
19000.7400,,,,,962.4622,
19000.9344,,,,964.3573,,
20000.0438,,,,,765.5330,
20000.1162,,491.1437,,,,
20000.2615,,,,,,734.9927
20000.2637,,,877.0208,,,
20000.5930,481.0403,,,,,
20000.5982,,,,976.3283,,
21000.0013,,,671.1762,,,
21000.2650,,628.9065,,,,
21000.2665,,,,,,811.9959
21000.5342,548.0322,,,,,
21000.6888,,,,,1029.3361,
21001.1682,,,,1061.3950,,
22000.0367,1487.7402,,,,,
22000.1875,,,1935.6395,,,
22000.2238,,,,,1699.7904,
22000.2463,,1420.0266,,,,
22000.2765,,,,,,1784.9822
22000.5585,,,,2004.2220,,
23000.0062,,,1928.3495,,,
23000.1130,1501.8855,,,,,
23000.2310,,,,2024.6631,,
23000.3625,,1466.8295,,,,
23000.4000,,,,,1921.6613,
23000.9315,,,,,,1782.8322
24000.3237,,,1771.4376,,,
24000.5513,,1472.7220,,,,
24000.5590,,,,,,1756.6544
24000.9485,,,,1947.6026,,
24000.9617,1561.6745,,,,,
24001.0075,,,,,2053.7523,
25000.1350,,,1771.3343,,,
25000.2497,,,,1957.3677,,
25000.4888,,,,,1962.0178,
25000.5767,1386.5338,,,,,
25000.6065,,,,,,1688.9198
25000.6188,,1507.8982,,,,
26000.3675,,1570.3946,,,,
26000.3763,,,1690.5921,,,
26000.4890,,,,,,1771.2081
26000.7155,1441.8000,,,,,
26000.7863,,,,,1839.4528,
26001.0047,,,,2030.4670,,
27000.1705,1449.7901,,,,,
27000.2190,,,,,,1757.4745
27000.3825,,,1826.9886,,,
27000.8438,,1507.2822,,,,
27000.9613,,,,,1892.6688,
27001.2010,,,,1959.6154,,
28000.0890,,,,,,1712.2226
28000.1188,,1484.0760,,,,
28000.3363,,,1785.0826,,,
28000.4113,,,,,1993.0962,
28000.4880,1400.5553,,,,,
28001.5185,,,,1999.3652,,
29000.2012,,,1869.2523,,,
29000.2715,,,,,,1708.6882
29000.3254,,,,1994.3795,,
29000.4487,,,,,2079.9220,
29000.5167,1470.9577,,,,,
29000.7125,,1516.0998,,,,
30000.2200,,,,,1868.4274,
30000.2287,,,1764.9515,,,
30000.4829,,,,1958.6915,,
30000.6392,1476.8191,,,,,
30000.9390,,,,,,1766.8206
30000.9637,,1540.6129,,,,
31000.2287,,,1696.0000,,,
31000.3979,,,,2030.1726,,
31000.6755,1375.9501,,,,,
31000.6838,,1454.4072,,,,
31000.8025,,,,,1841.9271,
31000.8090,,,,,,1785.2321
32000.0025,,,737.1668,,,
32000.0840,,,,,,718.5209
32000.2775,,,,,1027.5395,
32000.3855,494.1433,,,,,
32000.5700,,570.0648,,,,
32001.2416,,,,1099.0727,,
33000.0200,,541.2977,,,,
33000.0825,,,882.9294,,,
33000.1367,479.1192,,,,,
33000.6165,,,,,,735.6083
33000.8525,,,,,1013.4173,
33001.3829,,,,987.8605,,
34000.2550,,,1052.8184,,,
34000.2930,539.9156,,,,,
34000.3890,,,,,,726.1652
34000.5441,,,,966.8109,,
34000.8587,,,,,967.9940,
34000.9662,,530.4980,,,,
35000.1781,,,,1028.3764,,
35000.2462,,,,,873.5350,
35000.3763,,,778.9056,,,
35000.5315,,,,,,674.9038
35000.6630,459.8299,,,,,
35000.8800,,495.0427,,,,
36000.0056,,,,1025.1768,,
36000.1125,,,,,988.1322,
36000.4890,,,,,,732.0311
36000.6000,,,622.8606,,,
36000.6255,488.0183,,,,,
36000.7562,,515.0637,,,,
37000.1712,,,574.2462,,,
37000.2018,,,,1071.7897,,
37000.4015,,,,,,717.0627
37000.7267,450.9543,,,,,
37000.7325,,544.0129,,,,
37001.0150,,,,,818.2615,
38000.0400,,,967.1269,,,
38000.3015,,,,,,754.0754
38000.4017,396.1287,,,,,
38000.5150,,487.1059,,,,
38000.9362,,,,,949.0747,
38002.0029,,,,1046.1159,,
39000.0290,,,,,,727.1982
39000.1374,,,,973.8166,,
39000.1612,,,,,822.6375,
39000.2500,,,1001.7896,,,
39000.3605,418.0172,,,,,
39000.8913,,534.7988,,,,
40000.3565,,,,,,723.7630
40000.4800,,511.2102,,,,
40000.4967,479.9346,,,,,
40000.5049,,,,988.6367,,
40000.5088,,,,,1003.6512,
40000.7862,,,741.6023,,,
41000.1790,,,,,,655.1163
41000.2538,,,518.2760,,,
41000.2724,,,,985.2291,,
41000.3725,,460.0495,,,,
41000.4413,,,,,789.0533,
41000.4855,343.0039,,,,,
42000.1455,6.0020,,,,,
42000.3662,,,174.9803,,,
42000.5490,,,,,,312.8842
42000.8262,,,,,502.8064,
42001.0200,,76.9502,,,,
42001.0452,,,,528.5915,,
43000.1215,,,,,,304.1300
43000.1338,,,125.0291,,,
43000.1641,0.0000,,,,,
43000.2115,,,,456.3805,,
43000.3200,,,,,297.1504,
43000.3475,,8.0054,,,,
44000.1087,,,125.0031,,,
44000.1621,0.0000,,,,,
44000.2903,,,,533.9579,,
44000.4915,,,,,,304.8872
44000.5725,,,,,212.9462,
44000.8325,,1.9990,,,,
45000.0908,0.0000,,,,,
45000.1937,,,103.9912,,,
45000.6065,,,,,,314.9638
45000.6600,,,,,239.9790,
45000.8225,,4.0000,,,,
45002.2783,,,,428.1488,,
46000.0212,,,93.0160,,,
46000.4525,,,,,211.0438,
46000.5713,,3.0008,,,,
46000.6214,0.0000,,,,,
46000.7840,,,,,,339.9397
46001.3443,,,,509.4758,,
47000.1300,,0.0000,,,,
47000.3135,0.0000,,,,,
47000.3815,,,,,,332.1337
47000.5700,,,154.9150,,,
47000.6250,,,,,236.9591,
47001.7147,,,,475.8238,,
48000.0750,,,155.0768,,,
48000.3012,,,,,318.1030,
48000.3662,,0.0000,,,,
48000.5344,0.0000,,,,,
48000.8915,,,,,,349.8216
48001.0560,,,,496.3269,,
49000.0040,,,,,,312.2771
49000.1288,,,,,299.0516,
49000.2812,,,149.9691,,,
49000.4075,,0.0000,,,,
49000.6171,,,,474.2081,,
49002.4158,0.0000,,,,,
