time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0825,200.0000,,,,,
1000.0900,,0.0000,,,,
1000.5785,,,,353.0000,,
1000.6788,,,182.0000,,,
1000.8090,,,,,,446.0000
1000.9588,,,,,7.0000,
2000.1200,171.0000,,,,,
2000.2591,,,,471.0000,,
2000.3512,,,,,23.0000,
2000.4050,,4.0000,,,,
2000.4565,,,,,,444.0000
2000.7838,,,296.0000,,,
3000.0725,140.0000,,,,,
3000.1490,,,,,,489.0000
3000.2238,,,379.0000,,,
3000.4513,,,,515.0000,,
3000.5188,,20.0000,,,,
3000.9237,,,,,13.0000,
4000.0188,,,,,0.0000,
4000.1200,109.0000,,,,,
4000.2550,,,391.0000,,,
4000.3475,,54.0000,,,,
4000.9215,,,,,,490.0000
4001.2138,,,,489.0000,,
5000.0337,,59.0000,,,,
5000.0422,,,,519.0000,,
5000.1337,,,233.0000,,,
5000.1675,57.0000,,,,,
5000.2163,,,,,0.0000,
5000.2890,,,,,,468.0000
6000.0887,,,233.0000,,,
6000.1740,,,,,,450.0000
6000.5100,,44.0000,,,,
6000.9113,,,,,0.0000,
6001.0784,,,,513.0000,,
6001.4749,1.0000,,,,,
7000.1163,,5.0000,,,,
7000.1763,,,230.0000,,,
7000.1800,,,,,24.0000,
7000.1977,0.0000,,,,,
7000.8240,,,,,,471.0000
7001.1754,,,,432.0000,,
8000.0117,0.0000,,,,,
8000.0288,,,431.0000,,,
8000.1090,,,,,,459.0000
8000.2388,,,,,0.0000,
8000.3638,,6.0000,,,,
8002.1929,,,,479.0000,,
9000.0100,,0.0000,,,,
9000.0713,,,297.0000,,,
9000.1150,,,,,10.0000,
9000.1730,2.0000,,,,,
9000.2740,,,,,,507.0000
9000.8413,,,,452.0000,,
10000.1737,,,254.0000,,,
10000.4430,2.0000,,,,,
10000.5100,,,,,0.0000,
10000.6712,,19.0000,,,,
10000.8990,,,,,,450.0000
10001.2787,,,,540.0000,,
11000.1588,,,709.0000,,,
11000.2530,457.0000,,,,,
11000.3315,,,,,,949.0000
11000.4312,,,,,527.0000,
11000.5788,,514.0000,,,,
11001.4012,,,,989.0000,,
12000.1030,875.0000,,,,,
12000.2075,,,,,798.0000,
12000.2612,,,854.0000,,,
12000.4040,,,,,,925.0000
12000.5378,,,,971.0000,,
12000.9487,,724.0000,,,,
13000.1065,,,,,,918.0000
13000.3037,,,1014.0000,,,
13000.3817,836.0000,,,,,
13000.6612,,718.0000,,,,
13000.9103,,,,957.0000,,
13000.9762,,,,,1013.0000,
14000.1055,808.0000,,,,,
14000.1562,,763.0000,,,,
14000.2200,,,926.0000,,,
14000.8137,,,,,979.0000,
14000.8815,,,,,,891.0000
14001.3253,,,,1028.0000,,
15000.2015,,,,,,894.0000
15000.2955,824.0000,,,,,
15000.3638,,775.0000,,,,
15000.3700,,,916.0000,,,
15000.9513,,,,,1036.0000,
15001.5214,,,,1027.0000,,
16000.0315,,,,,,931.0000
16000.1575,,801.0000,,,,
16000.1600,,,858.0000,,,
16000.1900,,,,,999.0000,
16000.4255,831.0000,,,,,
16001.3699,,,,990.0000,,
17000.1063,,,839.0000,,,
17000.1190,,,,,,917.0000
17000.1725,,,,,940.0000,
17000.2924,,,,931.0000,,
17000.3187,,819.0000,,,,
17000.6317,879.0000,,,,,
18000.1813,,,,,972.0000,
18000.2412,,,987.0000,,,
18000.2625,,726.0000,,,,
18000.6065,,,,,,913.0000
18000.7517,872.0000,,,,,
18001.3049,,,,965.0000,,
19000.2515,,,,,,868.0000
19000.2875,,,1051.0000,,,
19000.4087,,758.0000,,,,
19000.6767,807.0000,,,,,
19000.7400,,,,,967.0000,
19000.9344,,,,991.0000,,
20000.0438,,,,,1001.0000,
20000.1162,,825.0000,,,,
20000.2615,,,,,,904.0000
20000.2637,,,884.0000,,,
20000.5930,808.0000,,,,,
20000.5982,,,,1049.0000,,
21000.0013,,,1945.0000,,,
21000.2650,,1680.0000,,,,
21000.2665,,,,,,1912.0000
21000.5342,1828.0000,,,,,
21000.6888,,,,,1878.0000,
21001.1682,,,,1987.0000,,
22000.0367,1811.0000,,,,,
22000.1875,,,1937.0000,,,
22000.2238,,,,,1924.0000,
22000.2463,,1730.0000,,,,
22000.2765,,,,,,1950.0000
22000.5585,,,,2025.0000,,
23000.0062,,,2003.0000,,,
23000.1130,1899.0000,,,,,
23000.2310,,,,1948.0000,,
23000.3625,,1731.0000,,,,
23000.4000,,,,,2063.0000,
23000.9315,,,,,,1934.0000
24000.3237,,,1936.0000,,,
24000.5513,,1745.0000,,,,
24000.5590,,,,,,1863.0000
24000.9485,,,,1965.0000,,
24000.9617,1728.0000,,,,,
24001.0075,,,,,1958.0000,
25000.1350,,,1768.0000,,,
25000.2497,,,,2021.0000,,
25000.4888,,,,,2028.0000,
25000.5767,1794.0000,,,,,
25000.6065,,,,,,1985.0000
25000.6188,,1803.0000,,,,
26000.3675,,1749.0000,,,,
26000.3763,,,1880.0000,,,
26000.4890,,,,,,1985.0000
26000.7155,1810.0000,,,,,
26000.7863,,,,,1902.0000,
26001.0047,,,,1974.0000,,
27000.1705,1764.0000,,,,,
27000.2190,,,,,,1946.0000
27000.3825,,,1855.0000,,,
27000.8438,,1729.0000,,,,
27000.9613,,,,,1986.0000,
27001.2010,,,,2010.0000,,
28000.0890,,,,,,1916.0000
28000.1188,,1757.0000,,,,
28000.3363,,,1944.0000,,,
28000.4113,,,,,2075.0000,
28000.4880,1836.0000,,,,,
28001.5185,,,,1990.0000,,
29000.2012,,,1850.0000,,,
29000.2715,,,,,,1999.0000
29000.3254,,,,1967.0000,,
29000.4487,,,,,1998.0000,
29000.5167,1857.0000,,,,,
29000.7125,,1782.0000,,,,
30000.2200,,,,,1876.0000,
30000.2287,,,1786.0000,,,
30000.4829,,,,2060.0000,,
30000.6392,1827.0000,,,,,
30000.9390,,,,,,2045.0000
30000.9637,,1774.0000,,,,
31000.2287,,,838.0000,,,
31000.3979,,,,1090.0000,,
31000.6755,892.0000,,,,,
31000.6838,,813.0000,,,,
31000.8025,,,,,1026.0000,
31000.8090,,,,,,961.0000
32000.0025,,,871.0000,,,
32000.0840,,,,,,978.0000
32000.2775,,,,,1027.0000,
32000.3855,916.0000,,,,,
32000.5700,,778.0000,,,,
32001.2416,,,,986.0000,,
33000.0200,,764.0000,,,,
33000.0825,,,1049.0000,,,
33000.1367,936.0000,,,,,
33000.6165,,,,,,972.0000
33000.8525,,,,,1044.0000,
33001.3829,,,,966.0000,,
34000.2550,,,1007.0000,,,
34000.2930,821.0000,,,,,
34000.3890,,,,,,907.0000
34000.5441,,,,1031.0000,,
34000.8587,,,,,909.0000,
34000.9662,,746.0000,,,,
35000.1781,,,,1037.0000,,
35000.2462,,,,,1038.0000,
35000.3763,,,912.0000,,,
35000.5315,,,,,,967.0000
35000.6630,835.0000,,,,,
35000.8800,,761.0000,,,,
36000.0056,,,,1062.0000,,
36000.1125,,,,,896.0000,
36000.4890,,,,,,951.0000
36000.6000,,,805.0000,,,
36000.6255,841.0000,,,,,
36000.7562,,766.0000,,,,
37000.1712,,,965.0000,,,
37000.2018,,,,1050.0000,,
37000.4015,,,,,,987.0000
37000.7267,812.0000,,,,,
37000.7325,,728.0000,,,,
37001.0150,,,,,994.0000,
38000.0400,,,1009.0000,,,
38000.3015,,,,,,960.0000
38000.4017,913.0000,,,,,
38000.5150,,787.0000,,,,
38000.9362,,,,,928.0000,
38002.0029,,,,986.0000,,
39000.0290,,,,,,964.0000
39000.1374,,,,996.0000,,
39000.1612,,,,,1045.0000,
39000.2500,,,996.0000,,,
39000.3605,925.0000,,,,,
39000.8913,,741.0000,,,,
40000.3565,,,,,,928.0000
40000.4800,,771.0000,,,,
40000.4967,833.0000,,,,,
40000.5049,,,,989.0000,,
40000.5088,,,,,893.0000,
40000.7862,,,765.0000,,,
41000.1790,,,,,,434.0000
41000.2538,,,330.0000,,,
41000.2724,,,,534.0000,,
41000.3725,,320.0000,,,,
41000.4413,,,,,529.0000,
41000.4855,284.0000,,,,,
42000.1455,37.0000,,,,,
42000.3662,,,221.0000,,,
42000.5490,,,,,,439.0000
42000.8262,,,,,427.0000,
42001.0200,,267.0000,,,,
42001.0452,,,,503.0000,,
43000.1215,,,,,,442.0000
43000.1338,,,231.0000,,,
43000.1641,0.0000,,,,,
43000.2115,,,,545.0000,,
43000.3200,,,,,383.0000,
43000.3475,,236.0000,,,,
44000.1087,,,240.0000,,,
44000.1621,2.0000,,,,,
44000.2903,,,,451.0000,,
44000.4915,,,,,,444.0000
44000.5725,,,,,406.0000,
44000.8325,,249.0000,,,,
45000.0908,0.0000,,,,,
45000.1937,,,300.0000,,,
45000.6065,,,,,,434.0000
45000.6600,,,,,372.0000,
45000.8225,,229.0000,,,,
45002.2783,,,,529.0000,,
46000.0212,,,356.0000,,,
46000.4525,,,,,397.0000,
46000.5713,,206.0000,,,,
46000.6214,8.0000,,,,,
46000.7840,,,,,,438.0000
46001.3443,,,,486.0000,,
47000.1300,,219.0000,,,,
47000.3135,2.0000,,,,,
47000.3815,,,,,,472.0000
47000.5700,,,275.0000,,,
47000.6250,,,,,425.0000,
47001.7147,,,,531.0000,,
48000.0750,,,278.0000,,,
48000.3012,,,,,405.0000,
48000.3662,,205.0000,,,,
48000.5344,2.0000,,,,,
48000.8915,,,,,,389.0000
48001.0560,,,,480.0000,,
49000.0040,,,,,,477.0000
49000.1288,,,,,405.0000,
49000.2812,,,248.0000,,,
49000.4075,,234.0000,,,,
49000.6171,,,,520.0000,,
49002.4158,0.0000,,,,,
