time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,209,13,231,306,23,479
2000.0000,209,19,513,453,16,486
3000.0000,193,11,540,519,15,514
4000.0000,154,52,525,520,39,505
5000.0000,115,62,519,508,43,525
6000.0000,52,17,539,511,12,516
7000.0000,11,23,510,492,27,523
8000.0000,13,49,348,501,32,470
9000.0000,13,51,367,523,60,505
10000.0000,10,52,475,558,81,504
11000.0000,527,498,771,956,604,993
12000.0000,877,740,856,994,936,1049
13000.0000,927,794,820,1035,1026,1025
14000.0000,929,759,811,1037,1059,1009
15000.0000,915,800,786,1043,1054,1040
16000.0000,1005,809,755,1013,1077,1008
17000.0000,934,774,786,1030,1015,1027
18000.0000,915,787,808,1007,1015,1028
19000.0000,914,803,752,1030,977,992
20000.0000,915,768,772,1044,1040,1031
21000.0000,1736,1740,1739,1933,1963,1915
22000.0000,1970,1799,1877,2044,2037,1966
23000.0000,1970,1774,1956,2068,2023,2031
24000.0000,1994,1793,1937,2092,2100,2011
25000.0000,1978,1748,1934,2064,2069,2035
26000.0000,1914,1801,1979,1980,2041,2056
27000.0000,2003,1794,1899,2010,1977,2005
28000.0000,1935,1793,1900,2032,2046,2053
29000.0000,1983,1756,1970,2073,1992,2029
30000.0000,1983,1753,1997,2012,2021,2055
31000.0000,1779,1714,1924,1978,1936,2026
32000.0000,937,828,904,1073,1035,1008
33000.0000,925,761,813,1064,1041,1014
34000.0000,931,767,822,1057,1027,1057
35000.0000,876,721,839,1027,982,1048
36000.0000,891,763,853,1040,1044,1006
37000.0000,898,817,832,1032,974,1044
38000.0000,892,822,750,1044,983,1031
39000.0000,886,793,788,1008,987,1043
40000.0000,837,790,793,980,1037,1005
41000.0000,796,769,787,979,1036,976
42000.0000,222,337,474,521,556,483
43000.0000,47,261,484,501,526,527
44000.0000,16,261,404,569,494,484
45000.0000,17,264,429,558,504,483
46000.0000,20,261,433,511,522,518
47000.0000,15,254,279,507,526,516
48000.0000,14,251,349,501,506,464
49000.0000,12,250,313,514,530,483
