time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,128.5437,0.8147,123.8975,171.4780,1.8844,223.1725
2000.0000,191.3327,4.4483,347.8708,351.5267,1.9213,435.2661
3000.0000,163.0127,1.2154,520.6283,461.7311,1.1769,446.3195
4000.0000,124.4080,13.7950,504.0614,490.9409,25.4085,447.7530
5000.0000,80.9483,29.9108,501.5390,479.1016,13.8820,470.3619
6000.0000,26.5604,3.0635,506.7782,477.2344,1.0377,457.2975
7000.0000,1.2408,2.8526,406.3960,466.7033,4.8762,437.3306
8000.0000,1.2464,23.3059,277.9620,458.1309,3.5545,434.2876
9000.0000,2.2804,38.6902,276.9245,504.0809,35.5958,435.8829
10000.0000,1.3618,29.9276,318.3650,535.9136,64.7162,444.4294
11000.0000,249.7981,251.7810,578.0524,730.6391,313.5229,755.0791
12000.0000,722.4847,665.1947,793.1737,964.9201,794.8302,958.3735
13000.0000,852.3136,760.4420,758.4601,1010.5790,920.4684,918.1346
14000.0000,855.3478,729.4297,755.0450,1018.2760,1012.4743,942.5560
15000.0000,853.5759,772.7727,734.8136,1023.5520,993.3588,933.1134
16000.0000,909.4897,766.7030,698.3857,987.0521,1031.2636,925.1732
17000.0000,863.4300,759.0285,734.5949,1007.7022,942.5341,967.2075
18000.0000,853.1809,750.2281,744.2660,954.5909,965.8071,937.3440
19000.0000,833.4531,775.8888,692.7305,1009.3467,881.7923,910.3973
20000.0000,820.7366,749.7627,720.9349,1018.0365,998.7228,949.6957
21000.0000,1338.6760,1264.6912,1232.6987,1441.9593,1407.7176,1423.5763
22000.0000,1845.2350,1765.2677,1797.1443,1987.0291,1947.2997,1919.1313
23000.0000,1865.9328,1711.9087,1890.4699,2028.7497,1847.9836,1951.1678
24000.0000,1899.0471,1759.5703,1896.5107,2050.2540,2031.2958,1954.3648
25000.0000,1889.6911,1713.0082,1886.5461,2023.1030,2028.8882,1946.7356
26000.0000,1813.2341,1759.4479,1921.3537,1937.9077,1958.1694,2013.4809
27000.0000,1874.6051,1754.6903,1856.8202,1979.1270,1884.3518,1942.6667
28000.0000,1839.9402,1758.7333,1869.8384,2009.3215,1997.8646,1955.7199
29000.0000,1884.5555,1724.2784,1928.1270,2030.3921,1968.6291,1923.8549
30000.0000,1869.0500,1715.1310,1968.3795,1972.5136,1963.6244,1963.7495
31000.0000,1373.1953,1278.1437,1439.6012,1498.3284,1455.3313,1389.2760
32000.0000,840.8170,754.3937,826.9620,1043.5514,1013.7889,926.5994
33000.0000,855.5207,726.0703,757.2802,1028.6755,1012.9046,934.6405
34000.0000,859.4738,736.2026,744.8766,1016.8089,992.0071,972.1871
35000.0000,805.8727,683.6033,798.7187,988.0272,911.6269,967.7946
36000.0000,799.8788,709.4094,796.6269,996.6633,1007.3778,931.1310
37000.0000,817.5503,782.3364,760.9002,995.4605,897.3500,928.9035
38000.0000,809.1652,786.9501,702.9912,1010.4261,949.2581,954.0350
39000.0000,800.2197,763.4709,730.9000,982.4321,926.8807,971.6976
40000.0000,778.6674,761.4852,745.2767,947.7643,988.7859,932.2373
41000.0000,481.9993,540.3563,516.2449,781.7129,698.5912,680.9466
42000.0000,108.8573,276.4109,385.6066,490.4064,522.0000,431.8570
43000.0000,21.1038,242.1479,399.6488,483.6627,425.6070,454.2552
44000.0000,3.7937,247.2346,335.1961,508.8869,427.2392,437.3039
45000.0000,2.0271,238.2115,314.1244,500.0910,426.0802,419.8763
46000.0000,4.8102,239.8551,312.9942,491.8853,441.3370,458.2301
47000.0000,2.3853,235.6893,235.7119,475.9929,434.0302,458.0329
48000.0000,2.2567,230.5648,278.0498,471.8094,431.9539,427.1813
49000.0000,1.3731,235.3269,267.6616,489.5607,456.9247,433.5737
