time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,0,0,0,0,0,0
2000.0000,163,0,196,254,0,404
3000.0000,118,0,495,375,0,410
4000.0000,98,0,492,460,11,418
5000.0000,41,0,483,460,0,435
6000.0000,0,0,481,431,0,419
7000.0000,0,0,262,422,0,382
8000.0000,0,0,227,422,0,401
9000.0000,0,24,217,470,1,385
10000.0000,0,7,209,488,53,412
11000.0000,0,16,399,517,52,475
12000.0000,525,497,706,941,602,875
13000.0000,787,724,700,962,822,842
14000.0000,802,703,701,1002,942,885
15000.0000,806,733,674,1002,935,805
16000.0000,848,734,643,966,915,819
17000.0000,796,747,679,966,893,897
18000.0000,798,726,683,918,889,856
19000.0000,791,747,629,984,822,848
20000.0000,748,729,673,983,932,848
21000.0000,838,754,703,979,931,965
22000.0000,1733,1733,1707,1935,1804,1855
23000.0000,1775,1667,1840,1999,1748,1851
24000.0000,1835,1717,1856,2012,1966,1891
25000.0000,1795,1678,1846,1972,1992,1861
26000.0000,1731,1714,1835,1913,1818,1971
27000.0000,1745,1723,1812,1915,1800,1847
28000.0000,1758,1729,1824,1983,1963,1894
29000.0000,1770,1692,1875,1994,1944,1852
30000.0000,1782,1665,1917,1945,1912,1886
31000.0000,867,830,884,1055,1011,982
32000.0000,750,697,755,1024,991,864
33000.0000,794,696,708,971,987,855
34000.0000,783,702,694,966,921,892
35000.0000,747,658,754,953,865,893
36000.0000,743,655,747,934,976,876
37000.0000,745,752,661,964,833,843
38000.0000,749,738,646,981,924,891
39000.0000,714,736,682,946,897,921
40000.0000,724,733,698,918,947,857
41000.0000,219,332,294,515,503,472
42000.0000,38,247,295,468,495,393
43000.0000,0,227,292,460,357,411
44000.0000,0,230,274,452,381,391
45000.0000,0,220,235,449,373,361
46000.0000,0,229,222,464,397,428
47000.0000,0,216,185,438,375,422
48000.0000,0,218,215,443,388,401
49000.0000,0,214,214,458,420,401
