time_ms,CSCT,DCT,MRSMBA,ACDQT,TAD,ABP
1000.0000,58.8397,2.1029,65.3196,84.4551,4.3055,144.7785
2000.0000,11.9298,5.3488,97.4589,66.0979,3.2111,25.6811
3000.0000,19.3787,2.4891,8.9878,49.4006,2.6122,26.4130
4000.0000,14.2461,15.1790,6.5438,15.8599,6.2716,20.1160
5000.0000,17.9068,16.3197,7.9459,14.1057,13.5344,25.8969
6000.0000,14.4265,4.4266,13.6085,22.2649,2.1892,28.2010
7000.0000,1.9350,5.0116,84.5673,21.0211,6.5695,47.1275
8000.0000,1.9338,15.1293,31.1303,24.0581,6.9164,16.2907
9000.0000,2.8385,5.5072,38.7050,14.2528,17.4146,32.5593
10000.0000,2.1958,12.0531,78.7466,15.7120,5.6003,26.2749
11000.0000,162.4358,144.4917,106.2956,134.8673,157.8365,136.5645
12000.0000,92.5442,67.6219,32.2733,10.3485,99.6161,55.8007
13000.0000,45.8974,16.1454,31.5492,14.6197,73.0315,55.0114
14000.0000,35.6865,16.7892,21.3384,6.1338,30.6369,34.8247
15000.0000,31.3142,18.3849,26.9757,8.0214,40.7442,70.6497
16000.0000,48.8230,21.1177,26.1388,9.4280,39.9589,49.5867
17000.0000,41.2139,5.0802,27.0555,16.5587,42.4996,42.2379
18000.0000,30.2641,13.4518,31.6907,20.6234,23.9760,48.1748
19000.0000,31.2458,11.2902,29.3752,8.7739,51.2904,38.7487
20000.0000,55.5539,10.2252,25.0387,10.2439,22.6232,58.5705
21000.0000,290.6516,292.2585,301.4992,286.5655,318.4280,303.2219
22000.0000,65.9977,17.2370,40.7423,18.3625,63.3428,24.0999
23000.0000,54.8013,22.7858,28.0938,15.1669,87.7225,58.8171
24000.0000,41.3972,16.1681,15.7710,14.4761,31.7688,31.0888
25000.0000,46.9559,13.0284,14.9166,21.1660,18.7862,55.6381
26000.0000,55.8126,21.3769,31.3043,12.2390,53.7445,18.7124
27000.0000,66.3262,14.8955,18.1650,19.4930,59.8327,46.5086
28000.0000,47.5006,14.2846,15.7358,11.2595,20.1478,50.2340
29000.0000,58.0461,15.3421,23.4977,17.5372,9.5987,45.8996
30000.0000,61.2216,20.8966,16.6173,12.4019,26.6575,50.2065
31000.0000,288.3993,250.0587,299.9986,261.0810,256.3868,285.2455
32000.0000,55.5341,44.3926,44.4111,11.0525,8.8097,46.1140
33000.0000,36.4040,18.6621,29.9864,23.7477,12.6832,46.2894
34000.0000,43.3630,16.1395,31.4754,23.6785,20.4906,48.7679
35000.0000,37.6485,15.0283,19.9145,20.7520,34.8145,45.1531
36000.0000,44.4975,24.8533,26.5596,28.5643,16.5290,42.1377
37000.0000,45.1277,13.3290,45.9933,17.4036,39.7286,61.7652
38000.0000,39.3371,22.8764,22.5289,14.2990,14.7278,33.5740
39000.0000,45.1205,14.0704,24.3181,15.3958,19.1042,35.7423
40000.0000,31.9990,12.1192,22.0097,12.9525,21.8298,45.9816
41000.0000,136.6903,125.5965,130.8228,128.1796,163.7172,134.0856
42000.0000,54.9703,23.3047,60.1472,12.7093,16.9682,26.3615
43000.0000,14.1059,6.9263,59.4674,7.5825,51.0299,33.1185
44000.0000,4.2361,7.5795,33.6249,41.2932,34.8106,19.8895
45000.0000,3.0739,12.4921,51.8538,34.0087,42.2710,37.0164
46000.0000,6.4282,7.4231,53.1801,8.8135,36.3547,24.8106
47000.0000,2.9030,11.6900,21.1847,18.9160,48.2228,27.8184
48000.0000,3.3473,7.4529,29.9915,16.1977,37.3566,16.9247
49000.0000,2.1501,6.7305,25.8501,14.3340,31.4287,25.5234
