time_s,CSCT,CSCT_Est
1.0,290.0,1.0
2.0,530.0,5.0
3.0,537.0,4.0
4.0,535.0,1.0
5.0,548.0,0.0
6.0,560.0,0.0
7.0,554.0,0.0
8.0,518.0,0.0
9.0,521.0,0.0
10.0,525.0,0.0
11.0,508.0,7.0
12.0,500.0,38.0
13.0,502.0,36.0
14.0,503.0,31.0
15.0,500.0,35.0
16.0,504.0,45.0
17.0,504.0,49.0
18.0,506.0,23.0
19.0,507.0,35.0
20.0,510.0,44.0
21.0,509.0,124.0
22.0,506.0,229.0
23.0,507.0,213.0
24.0,510.0,209.0
25.0,509.0,206.0
26.0,512.0,192.0
27.0,511.0,202.0
28.0,516.0,211.0
29.0,516.0,202.0
30.0,518.0,252.0
31.0,524.0,38.0
32.0,537.0,31.0
33.0,542.0,17.0
34.0,548.0,25.0
35.0,520.0,40.0
36.0,547.0,51.0
37.0,560.0,32.0
38.0,582.0,14.0
39.0,596.0,30.0
40.0,572.0,43.0
41.0,675.0,6.0
42.0,694.0,0.0
43.0,499.0,0.0
44.0,536.0,0.0
45.0,442.0,0.0
46.0,507.0,0.0
47.0,549.0,0.0
48.0,501.0,0.0
49.0,496.0,0.0
