time_ms,CSCT,CSCT_Oracle
1000.0000,287.0000,264.0000
2000.0000,558.0000,500.0000
3000.0000,526.0000,578.0000
4000.0000,567.0000,563.0000
5000.0000,522.0000,551.0000
6000.0000,509.0000,554.0000
7000.0000,488.0000,516.0000
8000.0000,539.0000,481.0000
9000.0000,529.0000,458.0000
10000.0000,486.0000,548.0000
11000.0000,507.0000,515.0000
12000.0000,500.0000,504.0000
13000.0000,502.0000,506.0000
14000.0000,498.0000,506.0000
15000.0000,504.0000,511.0000
16000.0000,503.0000,512.0000
17000.0000,505.0000,507.0000
18000.0000,505.0000,514.0000
19000.0000,508.0000,514.0000
20000.0000,506.0000,518.0000
21000.0000,508.0000,517.0000
22000.0000,506.0000,515.0000
23000.0000,508.0000,521.0000
24000.0000,511.0000,522.0000
25000.0000,510.0000,523.0000
26000.0000,512.0000,524.0000
27000.0000,514.0000,530.0000
28000.0000,515.0000,528.0000
29000.0000,518.0000,535.0000
30000.0000,522.0000,542.0000
31000.0000,523.0000,554.0000
32000.0000,535.0000,570.0000
33000.0000,544.0000,571.0000
34000.0000,553.0000,613.0000
35000.0000,518.0000,628.0000
36000.0000,560.0000,664.0000
37000.0000,564.0000,679.0000
38000.0000,586.0000,701.0000
39000.0000,598.0000,727.0000
40000.0000,612.0000,776.0000
41000.0000,671.0000,776.0000
42000.0000,716.0000,667.0000
43000.0000,579.0000,551.0000
44000.0000,473.0000,517.0000
45000.0000,465.0000,553.0000
46000.0000,487.0000,494.0000
47000.0000,495.0000,486.0000
48000.0000,498.0000,504.0000
49000.0000,481.0000,528.0000
