tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,1.0000,0.9351,1.0000,1.0000,1.0000,1.0000
0.0100,1.0000,0.9434,1.0000,1.0000,1.0000,1.0000
0.0200,0.9999,0.9357,1.0000,1.0000,1.0000,1.0000
0.0300,1.0000,0.9502,1.0000,1.0000,1.0000,1.0000
0.0400,1.0000,0.9299,1.0000,1.0000,1.0000,1.0000
0.0500,1.0000,0.9299,1.0000,1.0000,1.0000,1.0000
0.0600,1.0000,0.9281,1.0000,1.0000,1.0000,1.0000
0.0700,0.9999,0.9350,1.0000,1.0000,1.0000,1.0000
0.0800,0.9999,0.9419,1.0000,1.0000,1.0000,1.0000
0.0900,1.0000,0.9330,1.0000,1.0000,1.0000,1.0000
0.1000,1.0000,0.9427,1.0000,1.0000,1.0000,1.0000
