tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,9.6057,2.0011,2.5499,2.0062,29.8359,2.0138
0.0100,9.3243,2.0169,2.5411,2.0218,30.4037,2.0413
0.0200,9.1564,2.1330,2.5302,2.0458,29.8084,2.0618
0.0300,7.8740,2.1005,2.5507,2.0667,28.3078,2.0845
0.0400,9.2116,2.2476,2.5307,2.0873,28.6721,2.0920
0.0500,9.0785,2.2814,2.5459,2.1158,28.2777,2.1225
0.0600,8.7778,2.2229,2.5295,2.1158,26.7584,2.1402
0.0700,9.0082,2.3844,2.5511,2.1453,26.4384,2.1680
0.0800,8.0855,2.5040,2.4949,2.1780,26.2950,2.1921
0.0900,9.0848,2.5113,2.5452,2.1941,26.2912,2.2112
0.1000,8.2832,2.5819,2.5534,2.2165,25.6407,2.2259
