tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,160.3000,377.4000,833.2000,485.2000,82.9000,486.5000
0.0100,159.4000,378.5000,830.1000,482.6000,81.5000,481.4000
0.0200,163.0000,356.5000,837.2000,478.6000,83.0000,478.7000
0.0300,190.5000,368.2000,827.5000,475.1000,87.4000,474.8000
0.0400,165.9000,338.0000,836.6000,471.8000,86.3000,473.7000
0.0500,164.3000,333.7000,833.8000,467.2000,87.5000,468.6000
0.0600,172.8000,342.8000,843.3000,467.2000,92.3000,465.7000
0.0700,171.2000,322.1000,829.5000,462.5000,93.3000,461.9000
0.0800,182.4000,309.5000,843.2000,457.4000,93.9000,458.2000
0.0900,167.5000,306.1000,831.0000,455.0000,94.1000,455.4000
0.1000,176.2000,301.6000,830.5000,451.7000,96.3000,453.8000
