tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,0.9462,0.8741,0.7235,0.8386,0.9723,0.8384
0.0100,0.9467,0.8743,0.7236,0.8385,0.9730,0.8401
0.0200,0.9458,0.8814,0.7198,0.8405,0.9723,0.8415
0.0300,0.9360,0.8768,0.7256,0.8414,0.9706,0.8427
0.0400,0.9450,0.8872,0.7237,0.8426,0.9713,0.8412
0.0500,0.9453,0.8887,0.7190,0.8422,0.9710,0.8464
0.0600,0.9426,0.8864,0.7201,0.8440,0.9694,0.8468
0.0700,0.9425,0.8931,0.7235,0.8450,0.9690,0.8470
0.0800,0.9393,0.8972,0.7212,0.8477,0.9685,0.8471
0.0900,0.9446,0.8983,0.7236,0.8492,0.9683,0.8492
0.1000,0.9411,0.9002,0.7254,0.8506,0.9680,0.8486
