tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,9875.9641,9814.5210,9999.7763,9999.6475,9898.3400,10000.0475
0.0100,9709.0777,9906.3645,9999.4700,9998.1775,9876.2975,10000.2775
0.0200,9647.2761,9411.0747,9997.7275,9999.4963,9929.6338,10000.7712
0.0300,9979.8417,10000.3971,9999.9550,9999.8263,9930.5287,10000.4100
0.0400,9786.4245,9141.0699,9999.9713,9998.1075,9930.8988,10000.3762
0.0500,9975.4353,9963.7561,10000.4350,9999.9050,9939.0588,9998.6450
0.0600,9736.0951,9412.8488,10000.0888,9996.2450,9977.7125,10000.2775
0.0700,9891.2306,9996.9738,9999.6675,9999.6238,9999.0987,9999.2738
0.0800,9694.9139,9996.8913,10000.0525,9999.1537,9992.4750,10000.4813
0.0900,9766.6779,9954.4559,10000.3975,9999.1763,9999.3925,10001.0112
0.1000,9612.7257,9995.7638,9999.4312,9999.5212,9822.5037,9999.7987
