tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,5619784.0000,4640246.0000,1185435.0000,5997937.0000,1280629.0000,6077088.0000
0.0100,5937294.0000,4668660.0000,1186399.0000,5933123.0000,1280071.0000,6070372.0000
0.0200,5807810.0000,6689678.0000,1178580.0000,5699167.0000,1266260.0000,6260346.0000
0.0300,5332318.0000,4763506.0000,1191449.0000,5810807.0000,1256923.0000,5898183.0000
0.0400,5684912.0000,6637071.0000,1184776.0000,6098498.0000,1255629.0000,6052748.0000
0.0500,5666108.0000,6696727.0000,1181246.0000,6021799.0000,1253880.0000,6091221.0000
0.0600,5508046.0000,6512628.0000,1177213.0000,5853270.0000,1243828.0000,6126363.0000
0.0700,5487736.0000,6720575.0000,1187225.0000,5925136.0000,1234163.0000,5865511.0000
0.0800,5525612.0000,6620044.0000,1183357.0000,5959365.0000,1224383.0000,6151033.0000
0.0900,5416986.0000,6608311.0000,1189490.0000,5685110.0000,1216007.0000,6143265.0000
0.1000,5473574.0000,6508831.0000,1181450.0000,5901883.0000,1217617.0000,6349142.0000
