tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,338536.0000,377902.0000,424041.0000,324411.0000,542630.0000,321754.0000
0.0100,326766.0000,381708.0000,421270.0000,324832.0000,543246.0000,323755.0000
0.0200,328130.0000,378599.0000,424854.0000,325479.0000,542190.0000,323391.0000
0.0300,329758.0000,385236.0000,421134.0000,326429.0000,541574.0000,324272.0000
0.0400,335984.0000,377566.0000,423125.0000,326932.0000,541706.0000,324934.0000
0.0500,327932.0000,377870.0000,425308.0000,328186.0000,541420.0000,326441.0000
0.0600,333454.0000,378565.0000,425437.0000,328137.0000,539990.0000,326920.0000
0.0700,339064.0000,380552.0000,422564.0000,329555.0000,539330.0000,327466.0000
0.0800,324236.0000,383481.0000,420900.0000,330799.0000,539374.0000,327898.0000
0.0900,334554.0000,380356.0000,421556.0000,331025.0000,539506.0000,328962.0000
0.1000,320870.0000,385232.0000,423381.0000,331859.0000,538714.0000,328952.0000
