tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,5281248.0000,4262344.0000,761394.0000,5673526.0000,737999.0000,5755334.0000
0.0100,5610528.0000,4286952.0000,765129.0000,5608291.0000,736825.0000,5746617.0000
0.0200,5479680.0000,6311079.0000,753726.0000,5373688.0000,724070.0000,5936955.0000
0.0300,5002560.0000,4378270.0000,770315.0000,5484378.0000,715349.0000,5573911.0000
0.0400,5348928.0000,6259505.0000,761651.0000,5771566.0000,713923.0000,5727814.0000
0.0500,5338176.0000,6318857.0000,755938.0000,5693613.0000,712460.0000,5764780.0000
0.0600,5174592.0000,6134063.0000,751776.0000,5525133.0000,703838.0000,5799443.0000
0.0700,5148672.0000,6340023.0000,764661.0000,5595581.0000,694833.0000,5538045.0000
0.0800,5201376.0000,6236563.0000,762457.0000,5628566.0000,685009.0000,5823135.0000
0.0900,5082432.0000,6227955.0000,767934.0000,5354085.0000,676501.0000,5814303.0000
0.1000,5152704.0000,6123599.0000,758069.0000,5570024.0000,678903.0000,6020190.0000
